date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,102.85,103.35,100.35,101.9,40962
2022-01-04 00:00:00+05:30,103.5,103.5,99.5,100.65,32829
2022-01-05 00:00:00+05:30,101.5,102.95,97.9,98.35,86162
2022-01-06 00:00:00+05:30,98.4,102,97.35,101.55,31690
2022-01-07 00:00:00+05:30,100.1,103,100.1,101.3,17845
2022-01-10 00:00:00+05:30,102.05,109.8,100.45,107.15,96777
2022-01-11 00:00:00+05:30,106,111,106,107.3,49106
2022-01-12 00:00:00+05:30,113.8,113.8,104,106.65,52216
2022-01-13 00:00:00+05:30,107.4,109,105,105.75,19548
2022-01-14 00:00:00+05:30,105.75,107.95,103.95,104.65,19520
2022-01-17 00:00:00+05:30,108.8,115,104.05,112.3,234434
2022-01-18 00:00:00+05:30,114.9,115.15,107.5,108.15,81166
2022-01-19 00:00:00+05:30,108.15,109.15,105.8,107.3,29666
2022-01-20 00:00:00+05:30,106.35,109,106,107.15,18127
2022-01-21 00:00:00+05:30,105,107.5,103,104.3,28781
2022-01-24 00:00:00+05:30,104.15,104.3,93.9,96.05,85333
2022-01-25 00:00:00+05:30,98.5,99.7,96.3,97.25,26340
2022-01-27 00:00:00+05:30,97.95,98,93.25,94.85,56999
2022-01-28 00:00:00+05:30,95.25,100.8,94.2,95.3,52356
2022-01-31 00:00:00+05:30,96.85,98.4,95,97.25,17553
2022-02-01 00:00:00+05:30,97.4,98.5,95.4,96.3,10573
2022-02-02 00:00:00+05:30,97,98.95,95.65,98.8,20590
2022-02-03 00:00:00+05:30,98.1,100.75,97.25,98.7,34552
2022-02-04 00:00:00+05:30,98.7,104,97.7,101,40638
2022-02-07 00:00:00+05:30,101.1,102.7,97.25,97.85,19129
2022-02-08 00:00:00+05:30,98.3,99.45,94.95,96.7,12985
2022-02-09 00:00:00+05:30,98.35,100.25,94.2,95.15,32238
2022-02-10 00:00:00+05:30,97,97.5,92.2,94.4,44251
2022-02-11 00:00:00+05:30,92.05,98,92.05,95.3,22380
2022-02-14 00:00:00+05:30,95.9,95.9,90.15,91.35,34647
2022-02-15 00:00:00+05:30,90,96,88.35,94.6,26107
2022-02-16 00:00:00+05:30,94.8,95.95,91.05,92.6,17050
2022-02-17 00:00:00+05:30,92.9,94.35,90.7,91.2,41210
2022-02-18 00:00:00+05:30,92.5,93,88.1,89.45,14685
2022-02-21 00:00:00+05:30,88.25,90.45,81.5,83.75,41009
2022-02-22 00:00:00+05:30,81.5,87.95,78.7,82.95,48135
2022-02-23 00:00:00+05:30,82.9,89.7,80.6,85.95,25738
2022-02-24 00:00:00+05:30,83,87.5,81.3,82.2,55472
2022-02-25 00:00:00+05:30,87.1,88.9,85,85.9,196366
2022-02-28 00:00:00+05:30,82.65,94.45,82.5,89.85,67270
2022-03-02 00:00:00+05:30,87.5,91.85,84.8,89.45,31053
2022-03-03 00:00:00+05:30,90.8,93.85,89.05,89.25,196342
2022-03-04 00:00:00+05:30,91.5,93.45,85,86.5,46470
2022-03-07 00:00:00+05:30,85,85,82,83.15,35384
2022-03-08 00:00:00+05:30,84.2,88,83.45,86.8,7771
2022-03-09 00:00:00+05:30,89.4,89.9,84.6,87.85,20550
2022-03-10 00:00:00+05:30,89,91.7,88,88.75,16234
2022-03-11 00:00:00+05:30,88.75,92,88,90.65,11057
2022-03-14 00:00:00+05:30,92.8,92.8,90,90.8,10790
2022-03-15 00:00:00+05:30,90,91.6,86.4,88.05,23058
2022-03-16 00:00:00+05:30,88.15,92.75,88.1,89.85,11350
2022-03-17 00:00:00+05:30,91.05,91.1,88.5,90.05,14154
2022-03-21 00:00:00+05:30,92.4,92.4,88.05,88.85,17162
2022-03-22 00:00:00+05:30,90.75,91,88.45,89.05,7925
2022-03-23 00:00:00+05:30,88.3,89.85,85.5,86.35,32602
2022-03-24 00:00:00+05:30,87,88.95,76.5,77.95,168804
2022-03-25 00:00:00+05:30,78,81.55,78,78.3,67837
2022-03-28 00:00:00+05:30,78,79.8,74.3,76.95,86179
2022-03-29 00:00:00+05:30,77.3,78.85,75.1,75.8,49262
2022-03-30 00:00:00+05:30,76.8,78,75.45,76.75,36238
2022-03-31 00:00:00+05:30,77.3,78,72.3,72.9,84250
2022-04-01 00:00:00+05:30,73.45,87.45,73.45,87.45,179188
2022-04-04 00:00:00+05:30,91.1,100.9,87.5,95.9,586836
2022-04-05 00:00:00+05:30,96.35,96.45,92.45,94.85,90697
2022-04-06 00:00:00+05:30,94.65,98,92.5,94,88275
2022-04-07 00:00:00+05:30,93.05,94.8,93.05,93.75,29091
2022-04-08 00:00:00+05:30,93.5,97,92.75,94.85,42051
