date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,1006.8,1035,1001,1006.1,498016
2022-01-04 00:00:00+05:30,1012,1012.4,960,985.45,334590
2022-01-05 00:00:00+05:30,985.45,1008.95,972.85,982.05,159824
2022-01-06 00:00:00+05:30,975,1004,970.25,1000.95,187095
2022-01-07 00:00:00+05:30,992,1010,965.65,988,332016
2022-01-10 00:00:00+05:30,992.1,1004,973.85,1000.05,126183
2022-01-11 00:00:00+05:30,1000,1000,980.55,987.25,291976
2022-01-12 00:00:00+05:30,991.8,1033.9,972.45,988.95,693872
2022-01-13 00:00:00+05:30,992,1007.7,980.25,997,114331
2022-01-14 00:00:00+05:30,994,1002.9,970,972.6,505081
2022-01-17 00:00:00+05:30,973,992,954.25,960.3,172611
2022-01-18 00:00:00+05:30,964,976.7,936.95,942.15,276351
2022-01-19 00:00:00+05:30,942.3,951.9,925.25,931.4,659313
2022-01-20 00:00:00+05:30,933.9,944.4,922.05,929.25,295659
2022-01-21 00:00:00+05:30,903,912.9,878.7,887.75,487129
2022-01-24 00:00:00+05:30,873.55,878,842,851.75,346127
2022-01-25 00:00:00+05:30,835.1,866.95,824.95,845.25,174754
2022-01-27 00:00:00+05:30,842,844.45,812.1,828.95,219985
2022-01-28 00:00:00+05:30,830.65,864,829.05,854,163939
2022-01-31 00:00:00+05:30,854.6,894,846.15,881.6,185850
2022-02-01 00:00:00+05:30,889.2,892.5,867.35,879.6,116115
2022-02-02 00:00:00+05:30,879.6,899.95,872,879.9,128462
2022-02-03 00:00:00+05:30,883.05,885.15,863.6,870.9,73406
2022-02-04 00:00:00+05:30,878.05,912,870.9,903.4,235183
2022-02-07 00:00:00+05:30,903.4,905,865.35,887.7,185017
2022-02-08 00:00:00+05:30,873.55,889.5,857.05,863.65,129770
2022-02-09 00:00:00+05:30,869,878,844.05,869.4,119004
2022-02-10 00:00:00+05:30,870.15,880.65,851,871.2,177341
2022-02-11 00:00:00+05:30,870,872.25,842.4,858.35,148886
2022-02-14 00:00:00+05:30,829,853.1,815.5,835.4,218011
2022-02-15 00:00:00+05:30,830.1,853.7,828.45,840.5,431235
2022-02-16 00:00:00+05:30,850,872.1,847,865.8,108204
2022-02-17 00:00:00+05:30,862,868.05,850.05,860.95,86174
2022-02-18 00:00:00+05:30,852.1,878.9,852.1,871.1,319561
2022-02-21 00:00:00+05:30,860,876.65,848.65,865.05,811878
2022-02-22 00:00:00+05:30,845,865.4,828.65,853.15,275916
2022-02-23 00:00:00+05:30,845.35,879.2,845.35,854.1,122422
2022-02-24 00:00:00+05:30,810,851.5,808,829.75,201347
2022-02-25 00:00:00+05:30,838.35,872.1,838.35,869.7,131297
2022-02-28 00:00:00+05:30,855,860.15,792.3,804.55,577587
2022-03-02 00:00:00+05:30,791,793.95,762.7,787,360204
2022-03-03 00:00:00+05:30,799,799.05,752.95,766.45,379289
2022-03-04 00:00:00+05:30,753,759.2,708.6,715,1679899
2022-03-07 00:00:00+05:30,694.65,718,686,709.8,890612
2022-03-08 00:00:00+05:30,710,746,703.4,742.8,216545
2022-03-09 00:00:00+05:30,756,789.8,725,780.05,177438
2022-03-10 00:00:00+05:30,799,806,759.65,777.65,176167
2022-03-11 00:00:00+05:30,775.1,796.9,762.1,780.2,106545
2022-03-14 00:00:00+05:30,781.9,812,774.45,805.9,100040
2022-03-15 00:00:00+05:30,814.15,814.15,787.1,801.4,187821
2022-03-16 00:00:00+05:30,816,816,772.5,778.65,150331
2022-03-17 00:00:00+05:30,796.6,799,770.05,775.95,146659
2022-03-21 00:00:00+05:30,784,809,775,779.7,114141
2022-03-22 00:00:00+05:30,783,792,745.85,763.45,369328
2022-03-23 00:00:00+05:30,774.5,774.5,759,761.55,74741
2022-03-24 00:00:00+05:30,760,770.95,755.75,764,74673
2022-03-25 00:00:00+05:30,765,768.25,750,760.95,90278
2022-03-28 00:00:00+05:30,756.1,773,743.1,767.45,229717
2022-03-29 00:00:00+05:30,768,784.95,760.05,768.35,111137
2022-03-30 00:00:00+05:30,772.2,793,769.25,783.05,178887
2022-03-31 00:00:00+05:30,777.1,803,777.1,797.75,192989
2022-04-01 00:00:00+05:30,797.75,805,786.5,787.9,103509
2022-04-04 00:00:00+05:30,793.8,824.7,790.75,802.6,204358
2022-04-05 00:00:00+05:30,808,824,801.55,812.65,301629
2022-04-06 00:00:00+05:30,823,823,803.05,808.9,293943
2022-04-07 00:00:00+05:30,807,807.75,780,798.5,206022
2022-04-08 00:00:00+05:30,804.9,807.95,793.05,806.6,306710
