date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,846.5,855,828.3,835.25,229126
2022-01-04 00:00:00+05:30,837,867.65,835.2,844.9,187428
2022-01-05 00:00:00+05:30,844,851.35,837.2,845.15,117729
2022-01-06 00:00:00+05:30,836.5,848,830,830.55,135431
2022-01-07 00:00:00+05:30,839.5,841.75,814.95,823.8,216891
2022-01-10 00:00:00+05:30,833,842,822,828.85,145959
2022-01-11 00:00:00+05:30,828,837.55,821.35,824.4,158673
2022-01-12 00:00:00+05:30,826.7,832,811.9,818.15,183595
2022-01-13 00:00:00+05:30,823,832.45,815.1,816.95,108548
2022-01-14 00:00:00+05:30,819.9,853.25,815,844.85,247417
2022-01-17 00:00:00+05:30,844.75,890.95,830,863.9,333041
2022-01-18 00:00:00+05:30,864.95,864.95,831,835.15,153521
2022-01-19 00:00:00+05:30,837,846.4,826,834.45,126971
2022-01-20 00:00:00+05:30,834.45,844.75,824.2,826.65,82541
2022-01-21 00:00:00+05:30,825,828.8,808,812.7,94760
2022-01-24 00:00:00+05:30,812.75,820,758,768.25,229388
2022-01-25 00:00:00+05:30,767.9,767.9,703.25,721.25,667205
2022-01-27 00:00:00+05:30,700,708.7,669.3,674.85,346430
2022-01-28 00:00:00+05:30,679,688,650,653.25,464855
2022-01-31 00:00:00+05:30,664.95,733,661.05,725.15,904700
2022-02-01 00:00:00+05:30,733,768.45,730.1,762.3,530165
2022-02-02 00:00:00+05:30,766,766,733,739.25,221582
2022-02-03 00:00:00+05:30,740,748,726.95,731.25,124528
2022-02-04 00:00:00+05:30,728,752,720.2,727.3,242711
2022-02-07 00:00:00+05:30,728,733,701.8,705.3,177902
2022-02-08 00:00:00+05:30,709,713.1,686.85,690.8,140105
2022-02-09 00:00:00+05:30,695.05,706.85,677,685.9,108566
2022-02-10 00:00:00+05:30,690,694.95,663.1,666.35,200134
2022-02-11 00:00:00+05:30,660,665.35,642.5,646.75,259893
2022-02-14 00:00:00+05:30,622,638.4,620,629.1,143220
2022-02-15 00:00:00+05:30,630,639.95,610.6,628.3,194837
2022-02-16 00:00:00+05:30,628.3,654.95,628.3,632.25,261544
2022-02-17 00:00:00+05:30,637,643,611.6,613.65,227936
2022-02-18 00:00:00+05:30,603,608.95,583,588,337939
2022-02-21 00:00:00+05:30,580,582.85,560,562.3,345964
2022-02-22 00:00:00+05:30,538,586,538,561.05,527916
2022-02-23 00:00:00+05:30,570.1,575.8,541,545.35,258257
2022-02-24 00:00:00+05:30,533,533.95,460,477.85,872200
2022-02-25 00:00:00+05:30,484.7,540.5,482.4,521.95,742912
2022-02-28 00:00:00+05:30,510,547.5,506.1,540,784118
2022-03-02 00:00:00+05:30,530,556.95,528,549.5,453954
2022-03-03 00:00:00+05:30,550,583.9,550,556.8,477727
2022-03-04 00:00:00+05:30,550,557.4,539,542.55,320697
2022-03-07 00:00:00+05:30,522,527.3,500,507,229309
2022-03-08 00:00:00+05:30,503,517,493,500.2,229031
2022-03-09 00:00:00+05:30,509.6,534.2,496.95,526.75,454414
2022-03-10 00:00:00+05:30,537.7,594,535.7,576.45,591364
2022-03-11 00:00:00+05:30,576.45,581.95,560.2,566.05,287875
2022-03-14 00:00:00+05:30,559,562.75,545,548.15,155335
2022-03-15 00:00:00+05:30,549,564.75,536,555.6,294245
2022-03-16 00:00:00+05:30,564.5,582.9,562,566.3,251205
2022-03-17 00:00:00+05:30,576,597,571,576.65,247981
2022-03-21 00:00:00+05:30,580.35,580.35,556,572.05,229555
2022-03-22 00:00:00+05:30,573.75,587.9,567.1,577.65,185288
2022-03-23 00:00:00+05:30,580,622.2,577.55,613.15,773590
2022-03-24 00:00:00+05:30,609,636,603,621.8,332512
2022-03-25 00:00:00+05:30,624.5,647.45,615,619,326255
2022-03-28 00:00:00+05:30,619.05,623.45,581.55,601.65,352290
2022-03-29 00:00:00+05:30,604.5,610.65,585.55,600.25,272746
2022-03-30 00:00:00+05:30,605.8,608,595,599.7,185674
2022-03-31 00:00:00+05:30,601,627.9,572.6,579.6,343323
2022-04-01 00:00:00+05:30,584.65,625.95,577.65,622.2,296238
2022-04-04 00:00:00+05:30,622,644.85,622,633.05,173902
2022-04-05 00:00:00+05:30,637.75,660.4,633.4,637.65,260131
2022-04-06 00:00:00+05:30,628,659.8,625.45,649.65,165987
2022-04-07 00:00:00+05:30,651,661.85,621.75,624.45,149094
2022-04-08 00:00:00+05:30,628,630.7,615,620.05,95574
