date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,21.25,21.7,21.25,21.45,2900536
2022-01-04 00:00:00+05:30,21.55,21.7,21.4,21.5,2837091
2022-01-05 00:00:00+05:30,21.5,22.1,21.4,21.75,5080177
2022-01-06 00:00:00+05:30,21.6,21.85,21.2,21.6,3022148
2022-01-07 00:00:00+05:30,21.65,21.95,21.4,21.55,3904175
2022-01-10 00:00:00+05:30,21.55,22.6,21.55,22.25,12669772
2022-01-11 00:00:00+05:30,22.35,22.35,21.65,21.8,3683016
2022-01-12 00:00:00+05:30,21.85,22.1,21.65,21.7,3328521
2022-01-13 00:00:00+05:30,21.8,22.25,21.55,21.7,4062731
2022-01-14 00:00:00+05:30,21.65,21.9,21.5,21.65,2407036
2022-01-17 00:00:00+05:30,21.7,21.8,21.5,21.55,2427813
2022-01-18 00:00:00+05:30,21.6,21.7,21.25,21.35,3411825
2022-01-19 00:00:00+05:30,21.4,21.75,21.2,21.6,3746570
2022-01-20 00:00:00+05:30,21.55,21.75,21.3,21.35,2619039
2022-01-21 00:00:00+05:30,21.3,21.35,21,21.05,2889436
2022-01-24 00:00:00+05:30,21.05,21.1,20,20.25,5058548
2022-01-25 00:00:00+05:30,20.3,21,20.1,20.85,4092534
2022-01-27 00:00:00+05:30,20.55,21.9,20.5,21.75,8181526
2022-01-28 00:00:00+05:30,22,22.75,21.45,21.6,16609071
2022-01-31 00:00:00+05:30,22.1,22.2,21.55,21.75,4016569
2022-02-01 00:00:00+05:30,22.1,22.25,21.2,21.4,6654528
2022-02-02 00:00:00+05:30,21.6,21.85,21.35,21.7,7329585
2022-02-03 00:00:00+05:30,21.75,22.7,21.65,22,10433882
2022-02-04 00:00:00+05:30,22,22.05,21.4,21.55,3613692
2022-02-07 00:00:00+05:30,21.5,22.05,21.4,21.5,4776528
2022-02-08 00:00:00+05:30,21.65,21.9,21.05,21.15,4025042
2022-02-09 00:00:00+05:30,21.2,21.45,21.1,21.2,2185186
2022-02-10 00:00:00+05:30,21.5,21.5,21.1,21.15,2696555
2022-02-11 00:00:00+05:30,20.75,21.15,20.75,20.8,2391016
2022-02-14 00:00:00+05:30,20.4,20.5,20,20.05,3182244
2022-02-15 00:00:00+05:30,20.2,20.5,19.7,20.4,3672389
2022-02-16 00:00:00+05:30,20.45,20.7,20.45,20.55,2238798
2022-02-17 00:00:00+05:30,20.65,20.8,20.25,20.3,1480503
2022-02-18 00:00:00+05:30,20.1,20.25,20,20.05,2048638
2022-02-21 00:00:00+05:30,19.95,20.15,19.65,19.7,2298219
2022-02-22 00:00:00+05:30,19,19.3,18.2,19,3564880
2022-02-23 00:00:00+05:30,19.05,19.5,19.05,19.2,2111003
2022-02-24 00:00:00+05:30,18.3,18.9,17.55,17.65,5544223
2022-02-25 00:00:00+05:30,18,18.9,17.95,18.1,6131025
2022-02-28 00:00:00+05:30,18.2,18.4,17.85,18.2,3696326
2022-03-02 00:00:00+05:30,18.1,18.45,18,18.35,2232821
2022-03-03 00:00:00+05:30,18.5,18.7,18.3,18.4,2285898
2022-03-04 00:00:00+05:30,18.25,18.6,18.15,18.2,2863958
2022-03-07 00:00:00+05:30,18,18.1,17.5,17.8,2759436
2022-03-08 00:00:00+05:30,17.9,18.2,17.75,18.1,2758280
2022-03-09 00:00:00+05:30,18.15,18.65,18.1,18.5,2491004
2022-03-10 00:00:00+05:30,18.65,19.1,18.6,18.8,3099067
2022-03-11 00:00:00+05:30,18.85,18.95,18.55,18.7,1932003
2022-03-14 00:00:00+05:30,18.9,18.9,18.5,18.6,1582521
2022-03-15 00:00:00+05:30,18.65,18.85,18.35,18.45,1949039
2022-03-16 00:00:00+05:30,18.6,18.65,18.4,18.5,1535301
2022-03-17 00:00:00+05:30,18.55,18.7,18.5,18.55,1763414
2022-03-21 00:00:00+05:30,18.95,19.55,18.7,19.05,4702114
2022-03-22 00:00:00+05:30,19.15,19.25,18.85,19,2519962
2022-03-23 00:00:00+05:30,19.1,19.3,18.75,18.85,2441553
2022-03-24 00:00:00+05:30,18.8,18.9,18.6,18.65,2393192
2022-03-25 00:00:00+05:30,18.75,18.75,18.45,18.5,2973173
2022-03-28 00:00:00+05:30,18.5,18.6,18,18.05,3190586
2022-03-29 00:00:00+05:30,18.25,18.3,17.65,17.85,3376184
2022-03-30 00:00:00+05:30,18,19.4,17.95,18.85,4732314
2022-03-31 00:00:00+05:30,18.95,18.95,18.2,18.35,3608134
2022-04-01 00:00:00+05:30,18.4,19.05,18.35,18.9,3740575
2022-04-04 00:00:00+05:30,19,19.4,18.95,19.3,3330751
2022-04-05 00:00:00+05:30,19.35,19.6,19.3,19.45,2534900
2022-04-06 00:00:00+05:30,19.35,20.35,19.2,20.25,5318944
2022-04-07 00:00:00+05:30,20.35,21.55,20.1,20.5,12386430
2022-04-08 00:00:00+05:30,20.6,20.85,20.2,20.35,3542556
