date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,32.3,32.65,32.15,32.45,299317
2022-01-04 00:00:00+05:30,32.45,34.3,32.45,33.1,1234846
2022-01-05 00:00:00+05:30,33.2,33.4,32.6,32.8,428761
2022-01-06 00:00:00+05:30,32.75,34.1,31.95,33.5,1002066
2022-01-07 00:00:00+05:30,33.35,33.5,32.8,32.9,372058
2022-01-10 00:00:00+05:30,32.9,36,32.75,34.8,2402408
2022-01-11 00:00:00+05:30,34.9,36.45,34.3,35.1,2609852
2022-01-12 00:00:00+05:30,35.7,35.95,34.6,34.75,528969
2022-01-13 00:00:00+05:30,34.95,36,34.65,35.35,2008150
2022-01-14 00:00:00+05:30,35.9,36.4,35.1,35.5,802660
2022-01-17 00:00:00+05:30,35.5,36,34.75,34.95,454519
2022-01-18 00:00:00+05:30,35.4,35.4,33.5,33.9,565228
2022-01-19 00:00:00+05:30,33.65,34.25,33.1,33.3,365378
2022-01-20 00:00:00+05:30,33.3,34.2,32.6,33.2,432890
2022-01-21 00:00:00+05:30,33.25,33.75,32.2,32.45,385464
2022-01-24 00:00:00+05:30,32.2,32.45,31.05,31.75,351538
2022-01-25 00:00:00+05:30,31.1,32.5,31.05,31.6,459579
2022-01-27 00:00:00+05:30,32.35,35.45,32.2,33.7,1376465
2022-01-28 00:00:00+05:30,35.35,35.35,33.4,33.6,545430
2022-01-31 00:00:00+05:30,33.8,34.2,33,33.1,288892
2022-02-01 00:00:00+05:30,33.5,33.6,32.85,33.15,214226
2022-02-02 00:00:00+05:30,33.6,34.45,33.1,33.55,417073
2022-02-03 00:00:00+05:30,33.1,33.55,32.5,32.95,591070
2022-02-04 00:00:00+05:30,33,33.35,31.8,32.05,565089
2022-02-07 00:00:00+05:30,32.4,33,31.5,32.65,512333
2022-02-08 00:00:00+05:30,32.95,32.95,31.55,31.95,507174
2022-02-09 00:00:00+05:30,32.35,32.35,31.3,31.6,350898
2022-02-10 00:00:00+05:30,31.55,32.2,31.1,31.6,225457
2022-02-11 00:00:00+05:30,31.6,31.9,31.3,31.45,204515
2022-02-14 00:00:00+05:30,30.4,31.25,30,30.1,732501
2022-02-15 00:00:00+05:30,30.1,30.9,29.1,29.8,391640
2022-02-16 00:00:00+05:30,30.4,32.3,30,31.7,1329752
2022-02-17 00:00:00+05:30,31.7,31.95,28.3,29.55,910658
2022-02-18 00:00:00+05:30,29.3,29.95,28.6,29.2,462207
2022-02-21 00:00:00+05:30,29.15,29.15,27.9,28.05,349240
2022-02-22 00:00:00+05:30,26.7,28.05,26.7,27.05,420812
2022-02-23 00:00:00+05:30,27.3,28.05,27,27.2,270713
2022-02-24 00:00:00+05:30,26,27.8,23.5,26.15,1980354
2022-02-25 00:00:00+05:30,27,27.95,26.4,27.35,448151
2022-02-28 00:00:00+05:30,26.95,27.3,26.5,27.05,241393
2022-03-02 00:00:00+05:30,26.75,27.25,26.45,26.55,305010
2022-03-03 00:00:00+05:30,26.95,27,26.25,26.4,187870
2022-03-04 00:00:00+05:30,26.65,27.9,25.75,26.8,364387
2022-03-07 00:00:00+05:30,26.25,26.6,25.4,25.6,228162
2022-03-08 00:00:00+05:30,25.8,26.3,25.5,25.95,180776
2022-03-09 00:00:00+05:30,26.1,26.7,26,26.6,178158
2022-03-10 00:00:00+05:30,27.35,27.7,26.6,26.9,475961
2022-03-11 00:00:00+05:30,27,27.35,26.7,27.2,232663
2022-03-14 00:00:00+05:30,27.35,27.35,26.35,26.5,390754
2022-03-15 00:00:00+05:30,26.85,27,25.35,25.45,366808
2022-03-16 00:00:00+05:30,25.85,26,25.1,25.65,707720
2022-03-17 00:00:00+05:30,26.25,26.25,25.7,26,341521
2022-03-21 00:00:00+05:30,26.25,26.25,25.7,25.8,449439
2022-03-22 00:00:00+05:30,25.8,25.85,25.5,25.55,169107
2022-03-23 00:00:00+05:30,25.55,25.7,24.9,25,363717
2022-03-24 00:00:00+05:30,25,25.05,24.05,24.35,716086
2022-03-25 00:00:00+05:30,24.35,24.6,23.9,24.1,541071
2022-03-28 00:00:00+05:30,23.7,24.3,22.55,22.9,1574737
2022-03-29 00:00:00+05:30,22.75,23.15,21.9,22.4,1210119
2022-03-30 00:00:00+05:30,23.5,26.85,23.05,26.85,1594681
2022-03-31 00:00:00+05:30,27.9,29,25,25.85,3800527
2022-04-01 00:00:00+05:30,26.2,30.5,26.05,29.15,4484654
2022-04-04 00:00:00+05:30,29.35,31.6,29,31.05,1892921
2022-04-05 00:00:00+05:30,31.4,31.4,29.4,30.2,845093
2022-04-06 00:00:00+05:30,30.35,30.75,29.7,30.05,400829
2022-04-07 00:00:00+05:30,30.2,30.25,29.5,29.7,294732
2022-04-08 00:00:00+05:30,29,29.65,27,28.65,523412
