date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,28.5,29.6,28.3,29.6,31896
2022-01-04 00:00:00+05:30,31,31.05,29.15,29.5,79843
2022-01-05 00:00:00+05:30,30.15,30.95,30.15,30.95,56404
2022-01-06 00:00:00+05:30,32,32.45,30.8,32.35,81368
2022-01-07 00:00:00+05:30,33.9,33.95,32.7,33.95,107651
2022-01-10 00:00:00+05:30,34.8,35.6,33.95,35.4,150279
2022-01-11 00:00:00+05:30,36,37.15,35.45,37.15,50698
2022-01-12 00:00:00+05:30,39,39,35.3,35.3,167734
2022-01-13 00:00:00+05:30,35.3,35.8,33.55,34.2,50724
2022-01-14 00:00:00+05:30,33.3,34,32.6,33.45,32751
2022-01-17 00:00:00+05:30,33.3,35.1,31.8,34.5,60405
2022-01-18 00:00:00+05:30,33.75,36.2,33.75,36.2,49153
2022-01-19 00:00:00+05:30,38,38,36.1,36.75,62582
2022-01-20 00:00:00+05:30,36.8,37.45,34.95,35.65,31242
2022-01-21 00:00:00+05:30,36.95,36.95,33.9,33.9,47465
2022-01-24 00:00:00+05:30,33.85,33.85,32.25,32.25,20125
2022-01-25 00:00:00+05:30,30.65,31.2,30.65,30.65,23970
2022-01-27 00:00:00+05:30,29.2,30.65,29.15,29.75,49497
2022-01-28 00:00:00+05:30,30.55,31.2,29,30.65,34071
2022-01-31 00:00:00+05:30,31.5,31.95,30.7,30.75,24691
2022-02-01 00:00:00+05:30,32.2,32.2,29.3,30.6,24190
2022-02-02 00:00:00+05:30,31.5,32,30.65,31.55,32613
2022-02-03 00:00:00+05:30,31.5,33.1,30.3,31.05,55534
2022-02-04 00:00:00+05:30,31.95,32.25,30.55,31.65,15359
2022-02-07 00:00:00+05:30,32,34.35,30.25,33.4,22625
2022-02-08 00:00:00+05:30,35.75,35.75,30.95,31.4,26597
2022-02-09 00:00:00+05:30,31.5,34,31.5,32.6,9241
2022-02-10 00:00:00+05:30,32.6,33.65,30.55,31.35,18392
2022-02-11 00:00:00+05:30,32,32,28.25,29.15,30571
2022-02-14 00:00:00+05:30,29.95,29.95,26.25,26.3,108583
2022-02-15 00:00:00+05:30,26.85,27.3,25,25.85,48704
2022-02-16 00:00:00+05:30,26.75,27.1,25.15,27.1,20040
2022-02-17 00:00:00+05:30,28.35,28.35,27.05,27.65,6839
2022-02-18 00:00:00+05:30,27.6,27.6,26.5,27,8873
2022-02-21 00:00:00+05:30,27,27,25.65,25.75,9705
2022-02-22 00:00:00+05:30,24.55,25.95,24.5,25.6,43346
2022-02-23 00:00:00+05:30,25,25.95,24.55,25.25,9711
2022-02-24 00:00:00+05:30,25.25,25.8,24,24,28025
2022-02-25 00:00:00+05:30,24,25.2,22.85,24.3,30872
2022-02-28 00:00:00+05:30,24.45,25.5,23.7,25.5,9350
2022-03-02 00:00:00+05:30,26.75,26.75,25.75,26.1,12558
2022-03-03 00:00:00+05:30,27.15,27.2,25.4,26.35,7940
2022-03-04 00:00:00+05:30,25.75,26.95,25.1,26.75,26660
2022-03-07 00:00:00+05:30,26.75,28.05,25.6,27.65,21230
2022-03-08 00:00:00+05:30,28,28.5,26.3,27.45,61296
2022-03-09 00:00:00+05:30,28.3,28.3,26.75,26.9,8330
2022-03-10 00:00:00+05:30,26.9,28.05,26.5,26.9,23007
2022-03-11 00:00:00+05:30,27.55,27.6,26.55,27.35,8579
2022-03-14 00:00:00+05:30,28.25,28.7,27.35,28.45,16841
2022-03-15 00:00:00+05:30,28.9,29.85,28.55,28.95,33739
2022-03-16 00:00:00+05:30,29.85,30.2,28.2,29.6,15960
2022-03-17 00:00:00+05:30,30.35,30.35,28.6,28.8,19301
2022-03-21 00:00:00+05:30,29.4,29.4,27.4,28.25,40261
2022-03-22 00:00:00+05:30,28.25,28.6,27.15,27.7,7452
2022-03-23 00:00:00+05:30,28.1,28.3,26.35,26.4,31543
2022-03-24 00:00:00+05:30,26.35,27.7,25.25,25.7,28322
2022-03-25 00:00:00+05:30,26.35,26.45,24.5,24.9,41437
2022-03-28 00:00:00+05:30,25.05,25.05,24.05,24.3,7611
2022-03-29 00:00:00+05:30,24.25,24.9,24,24.5,8380
2022-03-30 00:00:00+05:30,24.5,25.2,23.35,23.75,26318
2022-03-31 00:00:00+05:30,23.05,24.7,23.05,23.2,28397
2022-04-01 00:00:00+05:30,23,24.15,23,23.8,25435
2022-04-04 00:00:00+05:30,24,24.95,24,24.95,10774
2022-04-05 00:00:00+05:30,25.7,26.15,25,26.05,24328
2022-04-06 00:00:00+05:30,26.4,27.35,26.15,27.35,46492
2022-04-07 00:00:00+05:30,28.45,29.1,27.45,28.4,51370
2022-04-08 00:00:00+05:30,31.1,31.1,26.15,28.35,33362
