date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,225,226,222,223.15,24229
2022-01-04 00:00:00+05:30,223.15,224.95,221.75,223.9,20356
2022-01-05 00:00:00+05:30,226,226,221,222.7,25598
2022-01-06 00:00:00+05:30,220,227.85,218.05,225.95,46770
2022-01-07 00:00:00+05:30,222.5,226.95,213.8,222.4,49566
2022-01-10 00:00:00+05:30,218.5,228,218,223.3,40783
2022-01-11 00:00:00+05:30,223.5,225.7,222,223.6,22102
2022-01-12 00:00:00+05:30,227,227,222.35,225.2,21931
2022-01-13 00:00:00+05:30,225.2,227.55,220.25,225.25,31886
2022-01-14 00:00:00+05:30,225,225.7,222,222.35,29055
2022-01-17 00:00:00+05:30,223.45,226.5,222.35,223.45,42185
2022-01-18 00:00:00+05:30,224.75,226,221.05,221.4,24182
2022-01-19 00:00:00+05:30,222.45,222.45,217.6,219.5,13692
2022-01-20 00:00:00+05:30,220,220.65,218.05,219.55,19600
2022-01-21 00:00:00+05:30,218,220,217,218,16858
2022-01-24 00:00:00+05:30,218,218,204.9,211,36776
2022-01-25 00:00:00+05:30,206.2,214.05,206.05,209.85,24829
2022-01-27 00:00:00+05:30,209.7,210,206,207.65,27169
2022-01-28 00:00:00+05:30,209.9,214.3,208.25,212.3,17753
2022-01-31 00:00:00+05:30,216,220.7,209.5,213.75,33116
2022-02-01 00:00:00+05:30,214,217.15,210.1,213.65,22324
2022-02-02 00:00:00+05:30,215.55,216.5,213.15,215.15,20473
2022-02-03 00:00:00+05:30,224.05,238.8,224.05,232.35,415605
2022-02-04 00:00:00+05:30,233.9,236.35,229,229.6,59448
2022-02-07 00:00:00+05:30,229.95,232.6,223.55,224.7,30532
2022-02-08 00:00:00+05:30,224,229.9,220,226.5,30464
2022-02-09 00:00:00+05:30,228.45,229.9,222.7,223.85,18697
2022-02-10 00:00:00+05:30,221.2,226.95,220.55,221.7,23479
2022-02-11 00:00:00+05:30,219.65,224.8,219.65,223.45,18881
2022-02-14 00:00:00+05:30,218,232,218,224.65,82002
2022-02-15 00:00:00+05:30,215,215,204,210.65,101432
2022-02-16 00:00:00+05:30,212.7,217.85,210.25,216.8,54995
2022-02-17 00:00:00+05:30,219.8,221,215.25,216.2,18290
2022-02-18 00:00:00+05:30,216.9,219.15,214,214.95,33478
2022-02-21 00:00:00+05:30,214,214.15,210.25,211.8,22978
2022-02-22 00:00:00+05:30,208.6,211,205.95,209.95,20896
2022-02-23 00:00:00+05:30,214.7,214.7,210.5,212.35,10401
2022-02-24 00:00:00+05:30,200.1,212,191.25,199.05,68273
2022-02-25 00:00:00+05:30,208,214.85,203.75,211.25,40388
2022-02-28 00:00:00+05:30,209,213.85,202.05,213.45,16768
2022-03-02 00:00:00+05:30,210,220.95,208.45,219.1,46000
2022-03-03 00:00:00+05:30,219,223.9,217.05,218.25,19436
2022-03-04 00:00:00+05:30,212,224.95,212,214.35,26285
2022-03-07 00:00:00+05:30,209.2,214.5,209.2,213.2,32472
2022-03-08 00:00:00+05:30,210.4,229.9,210.4,228.4,132871
2022-03-09 00:00:00+05:30,230.5,237.85,226.6,233.8,93013
2022-03-10 00:00:00+05:30,235,239,228.35,231.05,57358
2022-03-11 00:00:00+05:30,235,235,228.85,230.65,32836
2022-03-14 00:00:00+05:30,229,235,225.05,227.3,25566
2022-03-15 00:00:00+05:30,226,239.05,226,235.9,118658
2022-03-16 00:00:00+05:30,235.2,242.5,235.2,241.3,89766
2022-03-17 00:00:00+05:30,243.7,245.05,237.6,239.45,71865
2022-03-21 00:00:00+05:30,239.45,244.9,238,242.75,53451
2022-03-22 00:00:00+05:30,238,244.75,238,243.1,41276
2022-03-23 00:00:00+05:30,245,247.9,238.1,242.95,53036
2022-03-24 00:00:00+05:30,243.5,245,233,240.45,44934
2022-03-25 00:00:00+05:30,238.45,239.2,232.15,234.1,54248
2022-03-28 00:00:00+05:30,234,238.95,232.8,235.4,45233
2022-03-29 00:00:00+05:30,237.9,243,235,237.15,34870
2022-03-30 00:00:00+05:30,237.5,241,232.1,233,35659
2022-03-31 00:00:00+05:30,233,246,228,236.9,96554
2022-04-01 00:00:00+05:30,235.15,239,233,235.5,40619
2022-04-04 00:00:00+05:30,233,247,233,245.3,114473
2022-04-05 00:00:00+05:30,247.4,259,244.7,248.2,198953
2022-04-06 00:00:00+05:30,248.2,255,246.5,253.45,89876
2022-04-07 00:00:00+05:30,254,255.4,248.6,249.95,76409
2022-04-08 00:00:00+05:30,251.9,253.35,247.15,250.5,36363
