date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,44.7,44.85,43.25,44.05,458083
2022-01-04 00:00:00+05:30,44.65,46.25,43.25,46.1,1668680
2022-01-05 00:00:00+05:30,45.9,48.4,45.3,46.65,1357849
2022-01-06 00:00:00+05:30,45.9,47.9,45.1,47.4,965648
2022-01-07 00:00:00+05:30,47.7,48.35,45.55,46.1,639153
2022-01-10 00:00:00+05:30,46.85,46.95,45,45.4,522396
2022-01-11 00:00:00+05:30,46,46,44.3,44.4,414972
2022-01-12 00:00:00+05:30,45.1,46.6,44.4,45.95,1077307
2022-01-13 00:00:00+05:30,46,47.7,45.5,47.2,903308
2022-01-14 00:00:00+05:30,47.35,48.15,46.1,47.05,629105
2022-01-17 00:00:00+05:30,47,47.9,45.9,46.15,709887
2022-01-18 00:00:00+05:30,46.5,46.7,44.3,44.55,817074
2022-01-19 00:00:00+05:30,44.3,45.2,44.1,44.45,619263
2022-01-20 00:00:00+05:30,44.15,46.65,43.55,45.8,1040705
2022-01-21 00:00:00+05:30,45.3,46.95,44.4,44.75,704431
2022-01-24 00:00:00+05:30,45,45.7,42.55,42.6,557441
2022-01-25 00:00:00+05:30,41.75,43,40.5,42,1226407
2022-01-27 00:00:00+05:30,42,42.85,41.05,42.25,458819
2022-01-28 00:00:00+05:30,42.2,44.35,42.2,44.15,748952
2022-01-31 00:00:00+05:30,44.8,45.05,43.4,44.25,424343
2022-02-01 00:00:00+05:30,44.8,46.45,43.6,46.45,1017250
2022-02-02 00:00:00+05:30,47,48.75,46.5,48.75,2648066
2022-02-03 00:00:00+05:30,51.15,51.15,48.6,48.95,4271651
2022-02-04 00:00:00+05:30,48.5,48.55,46.55,46.6,1398562
2022-02-07 00:00:00+05:30,46.65,46.65,45.45,45.8,711324
2022-02-08 00:00:00+05:30,45.7,46.5,43.55,43.9,1372701
2022-02-09 00:00:00+05:30,44.1,45.45,43,43.85,553106
2022-02-10 00:00:00+05:30,44.15,45.25,43.5,44.45,596190
2022-02-11 00:00:00+05:30,43.7,44.2,43.05,43.4,365317
2022-02-14 00:00:00+05:30,42,42.25,41.25,41.25,824159
2022-02-15 00:00:00+05:30,41.5,41.6,39.6,40.95,620413
2022-02-16 00:00:00+05:30,41.3,42.95,41.3,42.95,354620
2022-02-17 00:00:00+05:30,43.25,43.95,41.95,42.2,531129
2022-02-18 00:00:00+05:30,41.9,42.95,41.5,41.8,364548
2022-02-21 00:00:00+05:30,41.8,41.8,39.75,40.05,417695
2022-02-22 00:00:00+05:30,38.1,39.8,38.1,38.95,677376
2022-02-23 00:00:00+05:30,39.15,40.85,39.15,40,299216
2022-02-24 00:00:00+05:30,38.5,38.9,38,38,390240
2022-02-25 00:00:00+05:30,38,39.35,37.3,38.4,586475
2022-02-28 00:00:00+05:30,38.25,38.8,37.35,38.4,466220
2022-03-02 00:00:00+05:30,38.05,39.8,38,39.05,384966
2022-03-03 00:00:00+05:30,40,40.1,38.65,38.95,217593
2022-03-04 00:00:00+05:30,38.5,39.2,38.3,38.45,157325
2022-03-07 00:00:00+05:30,38,38.25,36.6,37.5,309932
2022-03-08 00:00:00+05:30,37.85,38.45,36.5,38.1,460413
2022-03-09 00:00:00+05:30,38.5,40,38.05,40,412246
2022-03-10 00:00:00+05:30,41.5,42,40.7,41.3,1037499
2022-03-11 00:00:00+05:30,41,42.5,41,42.05,399177
2022-03-14 00:00:00+05:30,42.2,42.75,41.3,41.85,449038
2022-03-15 00:00:00+05:30,41.8,42.1,40.15,41.1,766907
2022-03-16 00:00:00+05:30,41.35,42.9,40.25,42.6,817166
2022-03-17 00:00:00+05:30,43.15,44.45,41.25,44.05,1223189
2022-03-21 00:00:00+05:30,44,44.6,42.9,43.35,441522
2022-03-22 00:00:00+05:30,42.75,43.5,41.6,42.55,789728
2022-03-23 00:00:00+05:30,42.55,43.7,42.1,42.8,456180
2022-03-24 00:00:00+05:30,42.25,43.35,42,42.15,457493
2022-03-25 00:00:00+05:30,42.8,43,40.6,40.9,638579
2022-03-28 00:00:00+05:30,41,42.9,40,42.15,868706
2022-03-29 00:00:00+05:30,42.85,42.85,40.2,40.55,937446
2022-03-30 00:00:00+05:30,41.45,42.1,40.7,40.95,605022
2022-03-31 00:00:00+05:30,41.4,41.9,40.55,40.85,449472
2022-04-01 00:00:00+05:30,40.6,42.85,40.55,42.8,663564
2022-04-04 00:00:00+05:30,43.35,44.5,42.9,43.95,594410
2022-04-05 00:00:00+05:30,44.5,45.3,44,44.45,670104
2022-04-06 00:00:00+05:30,44,44.5,43.5,43.9,474813
2022-04-07 00:00:00+05:30,44.3,45,43.05,43.4,628257
2022-04-08 00:00:00+05:30,43.7,45.3,43.15,44.8,868855
