date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,426.4,428.25,421.25,424.7,36063
2022-01-04 00:00:00+05:30,430,433.35,424.75,426.6,36690
2022-01-05 00:00:00+05:30,429.9,436.9,424.85,427.95,69768
2022-01-06 00:00:00+05:30,425.9,429.15,420,425.3,22657
2022-01-07 00:00:00+05:30,426.05,510.35,425.7,495.8,539631
2022-01-10 00:00:00+05:30,509,546.75,505,535.1,956592
2022-01-11 00:00:00+05:30,539,568.4,536.65,548.6,621168
2022-01-12 00:00:00+05:30,553.5,579,550,572.65,445715
2022-01-13 00:00:00+05:30,577.5,577.95,555.95,575.55,214846
2022-01-14 00:00:00+05:30,586,633.1,579.65,631.35,984439
2022-01-17 00:00:00+05:30,641.1,647.8,604,610.05,383927
2022-01-18 00:00:00+05:30,614.4,664,603,630.2,468459
2022-01-19 00:00:00+05:30,629.9,663.95,610,649.95,256929
2022-01-20 00:00:00+05:30,653,665,640.1,657.25,154495
2022-01-21 00:00:00+05:30,651,658.75,611.3,625.65,113830
2022-01-24 00:00:00+05:30,621.05,643.75,607.2,610.3,152554
2022-01-25 00:00:00+05:30,608,632.65,575.55,618.85,165353
2022-01-27 00:00:00+05:30,612,648.8,610.05,639.15,255395
2022-01-28 00:00:00+05:30,636,641.95,523.65,610.6,245170
2022-01-31 00:00:00+05:30,628.9,629.95,615.6,622.2,62839
2022-02-01 00:00:00+05:30,641.95,641.95,611.05,621.45,82214
2022-02-02 00:00:00+05:30,640,640,630.5,632.5,78276
2022-02-03 00:00:00+05:30,634.95,634.95,621.05,623.2,34956
2022-02-04 00:00:00+05:30,620,637,616.5,620.55,36419
2022-02-07 00:00:00+05:30,622.7,649.9,620.85,635.85,138339
2022-02-08 00:00:00+05:30,641,644.35,540.5,584.6,399625
2022-02-09 00:00:00+05:30,590.35,597.5,572.65,574.95,96532
2022-02-10 00:00:00+05:30,574.4,576.95,543.05,554.4,153120
2022-02-11 00:00:00+05:30,542,588,542,568.8,203143
2022-02-14 00:00:00+05:30,525,570.15,525,547.5,75385
2022-02-15 00:00:00+05:30,550,565.45,533.05,549.85,98090
2022-02-16 00:00:00+05:30,557,564.7,542.05,547.15,122507
2022-02-17 00:00:00+05:30,553.4,555,540,543.25,37169
2022-02-18 00:00:00+05:30,543.25,553.1,525.05,528.55,63479
2022-02-21 00:00:00+05:30,525,530.1,511.05,514.05,53931
2022-02-22 00:00:00+05:30,500.2,513,478.65,499.85,142599
2022-02-23 00:00:00+05:30,502.35,539,502.35,534.4,155313
2022-02-24 00:00:00+05:30,506.1,519.3,490,495.65,149289
2022-02-25 00:00:00+05:30,505,528.75,505,523,86925
2022-02-28 00:00:00+05:30,520,564,504.05,554.25,154485
2022-03-02 00:00:00+05:30,553.8,564,525,528.1,108619
2022-03-03 00:00:00+05:30,539.9,545,520.25,528.1,59245
2022-03-04 00:00:00+05:30,532.5,532.5,512.25,515.95,50269
2022-03-07 00:00:00+05:30,509.65,509.65,489.05,500.75,68316
2022-03-08 00:00:00+05:30,504.6,525,502.5,522,63586
2022-03-09 00:00:00+05:30,532,554,525.4,551.9,116859
2022-03-10 00:00:00+05:30,563,580,544.05,550.2,75304
2022-03-11 00:00:00+05:30,551.8,565,545.35,560.6,49091
2022-03-14 00:00:00+05:30,561,571.95,547.45,550.1,62616
2022-03-15 00:00:00+05:30,552,568.9,545.15,554.95,37709
2022-03-16 00:00:00+05:30,570,580,558.05,565.75,69435
2022-03-17 00:00:00+05:30,582.6,658.7,565,569.15,95369
2022-03-21 00:00:00+05:30,578.9,578.9,564,565.8,42335
2022-03-22 00:00:00+05:30,562,573.25,558.05,563.25,49297
2022-03-23 00:00:00+05:30,567,578,556.55,562.3,44684
2022-03-24 00:00:00+05:30,560,568.95,557.15,563.8,33361
2022-03-25 00:00:00+05:30,560,567.5,545.1,546.9,60203
2022-03-28 00:00:00+05:30,550.7,553.75,535.1,539.2,43742
2022-03-29 00:00:00+05:30,539.2,549.8,535,539.75,47257
2022-03-30 00:00:00+05:30,549,565,540.1,548.25,78110
2022-03-31 00:00:00+05:30,551.95,556.75,545.55,550.4,29535
2022-04-01 00:00:00+05:30,555,585,554.9,578.15,125155
2022-04-04 00:00:00+05:30,585.15,589.7,571,572.8,69926
2022-04-05 00:00:00+05:30,571,589.95,571,585.45,82705
2022-04-06 00:00:00+05:30,585,609.3,576.9,591.6,109020
2022-04-07 00:00:00+05:30,591.6,592,570.65,575.85,55354
2022-04-08 00:00:00+05:30,578.75,600,574.55,592.05,90852
