date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,301.4,314.85,300.15,304.85,531770
2022-01-04 00:00:00+05:30,306.7,314.3,300.3,309.5,316933
2022-01-05 00:00:00+05:30,307.9,319.75,305,316.95,344256
2022-01-06 00:00:00+05:30,313.1,340.95,306.2,337.35,982046
2022-01-07 00:00:00+05:30,339.65,340,323.05,327.45,741881
2022-01-10 00:00:00+05:30,330,373,328.75,362.2,2448894
2022-01-11 00:00:00+05:30,357,363.9,348.1,354.8,710579
2022-01-12 00:00:00+05:30,354.8,362.4,354.45,359.65,455046
2022-01-13 00:00:00+05:30,359.65,363.9,355.3,359.05,433642
2022-01-14 00:00:00+05:30,357.8,361,353.55,358.75,216897
2022-01-17 00:00:00+05:30,361.9,361.9,356.25,359.4,207250
2022-01-18 00:00:00+05:30,360,360.5,345.95,351.05,286305
2022-01-19 00:00:00+05:30,350.95,382.7,345.65,373.85,2180098
2022-01-20 00:00:00+05:30,379.9,379.9,369.05,371.9,346597
2022-01-21 00:00:00+05:30,367,374.25,360.55,370.1,304186
2022-01-24 00:00:00+05:30,365.5,373.35,306.95,329.15,667543
2022-01-25 00:00:00+05:30,319.25,328.55,310.25,319.2,451442
2022-01-27 00:00:00+05:30,319,336.1,315,319.25,444327
2022-01-28 00:00:00+05:30,329.35,332,310.55,312.7,246592
2022-01-31 00:00:00+05:30,320,339,315.25,331.4,955637
2022-02-01 00:00:00+05:30,335,341.95,332,340.95,424983
2022-02-02 00:00:00+05:30,342,388.7,341.9,381.9,3125738
2022-02-03 00:00:00+05:30,390,419.6,389.2,404.2,4682681
2022-02-04 00:00:00+05:30,397.5,419,393.85,412.8,1137373
2022-02-07 00:00:00+05:30,419,421,407.85,418.35,1091075
2022-02-08 00:00:00+05:30,420,422.3,390.95,406.2,461715
2022-02-09 00:00:00+05:30,414,414.85,398.25,400.05,156875
2022-02-10 00:00:00+05:30,396.05,399.45,380,389.3,582486
2022-02-11 00:00:00+05:30,377.45,405,375,394.1,420204
2022-02-14 00:00:00+05:30,366.35,388,366.35,384.1,228073
2022-02-15 00:00:00+05:30,385,390.2,360,370.95,476123
2022-02-16 00:00:00+05:30,373.45,384.35,364.05,370.65,369873
2022-02-17 00:00:00+05:30,373,379,369,375.3,214337
2022-02-18 00:00:00+05:30,377.45,404,377.45,393.6,1502204
2022-02-21 00:00:00+05:30,398.85,398.85,335.05,341.25,1338146
2022-02-22 00:00:00+05:30,330,336.4,320.65,325.9,666189
2022-02-23 00:00:00+05:30,326,364.7,325,351.55,3223909
2022-02-24 00:00:00+05:30,334.5,368.85,320,326.3,2285693
2022-02-25 00:00:00+05:30,345,354.7,320.55,327.75,1028625
2022-02-28 00:00:00+05:30,327.75,336.95,323,330.65,539161
2022-03-02 00:00:00+05:30,330.7,355.95,324,351.55,886179
2022-03-03 00:00:00+05:30,356.3,364.3,339,343,587623
2022-03-04 00:00:00+05:30,340,354.35,338,349.1,640809
2022-03-07 00:00:00+05:30,344.7,344.7,322,327.35,430775
2022-03-08 00:00:00+05:30,327.75,334,308.65,318.7,458967
2022-03-09 00:00:00+05:30,320.1,329.9,316.45,322.2,353486
2022-03-10 00:00:00+05:30,333.25,334.45,310,313.1,526918
2022-03-11 00:00:00+05:30,310,314.05,302.25,306.8,481307
2022-03-14 00:00:00+05:30,308,310.75,296.25,298.8,381487
2022-03-15 00:00:00+05:30,301.4,316.45,298.85,305.65,569818
2022-03-16 00:00:00+05:30,309.8,310.55,300.05,301.95,253669
2022-03-17 00:00:00+05:30,305.7,306.75,298.5,300.1,335167
2022-03-21 00:00:00+05:30,300.95,305.55,285.35,291.6,463441
2022-03-22 00:00:00+05:30,293.9,295.55,287.5,291.2,282508
2022-03-23 00:00:00+05:30,294.1,300,287.1,289.05,275013
2022-03-24 00:00:00+05:30,289,290,282.6,285.1,195161
2022-03-25 00:00:00+05:30,286,298,272.5,277.8,280481
2022-03-28 00:00:00+05:30,277,279.1,268.85,272.15,302091
2022-03-29 00:00:00+05:30,273.75,288,270.85,285.1,548721
2022-03-30 00:00:00+05:30,288.9,290.45,277,278.15,230602
2022-03-31 00:00:00+05:30,279,285.6,275.65,279.55,230901
2022-04-01 00:00:00+05:30,280.35,298,279.55,294,655145
2022-04-04 00:00:00+05:30,295.05,314.1,295.05,310.6,918980
2022-04-05 00:00:00+05:30,313.7,326.7,313,319.7,635856
2022-04-06 00:00:00+05:30,317,317.95,306.55,309.05,516034
2022-04-07 00:00:00+05:30,312,314.9,301,304.15,570780
2022-04-08 00:00:00+05:30,308,309.9,301.55,303.1,250129
