date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,110.95,116.45,109.8,111.35,3995569
2022-01-04 00:00:00+05:30,111.95,115.5,111.45,114.75,1760878
2022-01-05 00:00:00+05:30,115,116.35,113.6,115.55,1052370
2022-01-06 00:00:00+05:30,115.5,116,113.15,114.05,889967
2022-01-07 00:00:00+05:30,115.8,120,112.1,114.7,1668090
2022-01-10 00:00:00+05:30,115.9,121.5,115.5,120.35,1723226
2022-01-11 00:00:00+05:30,121,124.3,120.1,122.5,986622
2022-01-12 00:00:00+05:30,125,125,117.55,118.7,1163716
2022-01-13 00:00:00+05:30,119.5,122.9,119,121.85,718805
2022-01-14 00:00:00+05:30,121.3,122.5,119,119.5,598740
2022-01-17 00:00:00+05:30,119.5,120.7,118.1,118.35,517900
2022-01-18 00:00:00+05:30,119.4,119.4,114.2,115.15,1133638
2022-01-19 00:00:00+05:30,114.5,118.75,114.25,116.45,799417
2022-01-20 00:00:00+05:30,117.35,117.9,111.05,115.25,541055
2022-01-21 00:00:00+05:30,114.6,115.8,112,113.6,456657
2022-01-24 00:00:00+05:30,114.25,114.8,102.5,104.2,1483563
2022-01-25 00:00:00+05:30,104,111.75,102,105.9,1833488
2022-01-27 00:00:00+05:30,103,109.9,102.9,108.55,1023079
2022-01-28 00:00:00+05:30,109.5,111.35,108.3,108.85,740075
2022-01-31 00:00:00+05:30,114.5,114.8,107.15,109.5,717683
2022-02-01 00:00:00+05:30,109.85,112.9,109.6,112.3,545020
2022-02-02 00:00:00+05:30,113.05,114.75,112.5,114,668124
2022-02-03 00:00:00+05:30,114.7,115.15,112.5,114.2,549254
2022-02-04 00:00:00+05:30,113.95,116.1,111.3,114.5,996667
2022-02-07 00:00:00+05:30,114.75,116.05,110.45,114.1,945715
2022-02-08 00:00:00+05:30,111.1,115,111.1,114.05,512865
2022-02-09 00:00:00+05:30,114,119.55,114,117.35,1442972
2022-02-10 00:00:00+05:30,118,118.9,116.2,117.8,495097
2022-02-11 00:00:00+05:30,117.5,121.5,116,118.55,1063974
2022-02-14 00:00:00+05:30,116.95,116.95,112.5,113.15,474396
2022-02-15 00:00:00+05:30,113,116.95,111,116.05,1214468
2022-02-16 00:00:00+05:30,116.45,116.7,112,112.85,436853
2022-02-17 00:00:00+05:30,113.95,114.3,112.1,112.65,498629
2022-02-18 00:00:00+05:30,111.65,113,110.9,111.95,571883
2022-02-21 00:00:00+05:30,113,115.6,110.45,114.2,850698
2022-02-22 00:00:00+05:30,113.95,113.95,109.5,110.15,618993
2022-02-23 00:00:00+05:30,112.85,113.55,110.2,110.9,250699
2022-02-24 00:00:00+05:30,108,108.9,100.4,102.5,1124242
2022-02-25 00:00:00+05:30,107.45,117.9,103.65,105,646061
2022-02-28 00:00:00+05:30,105,110.4,102.3,106.65,826704
2022-03-02 00:00:00+05:30,105,107.8,103.15,103.5,467659
2022-03-03 00:00:00+05:30,106.4,106.4,103.05,105.15,632840
2022-03-04 00:00:00+05:30,102.9,107.35,102.55,106,637122
2022-03-07 00:00:00+05:30,106,106,100.05,101.1,403460
2022-03-08 00:00:00+05:30,101.2,104.15,100,103.1,537091
2022-03-09 00:00:00+05:30,106,107.95,104.2,106.6,1253951
2022-03-10 00:00:00+05:30,110.05,112.95,105.35,106.35,934473
2022-03-11 00:00:00+05:30,107.5,108.8,105.7,106.35,382816
2022-03-14 00:00:00+05:30,105.5,108,105.2,106.1,417418
2022-03-15 00:00:00+05:30,106.1,106.15,101.55,104,1293814
2022-03-16 00:00:00+05:30,106.25,109,104.75,107.6,1552748
2022-03-17 00:00:00+05:30,108.5,110.1,108.45,109.15,771384
2022-03-21 00:00:00+05:30,109.9,110.7,107.05,107.9,479182
2022-03-22 00:00:00+05:30,118,119.5,108.65,111.15,3758103
2022-03-23 00:00:00+05:30,111.95,113,109.6,110.3,855252
2022-03-24 00:00:00+05:30,109,111.4,106.35,110.35,784751
2022-03-25 00:00:00+05:30,110.35,110.75,107.6,110.3,911835
2022-03-28 00:00:00+05:30,110.3,110.3,107,107.2,418724
2022-03-29 00:00:00+05:30,107.1,108.8,104.75,105.75,606111
2022-03-30 00:00:00+05:30,105.8,108.55,105.8,107.5,482568
2022-03-31 00:00:00+05:30,107.5,108.25,106,106.5,501049
2022-04-01 00:00:00+05:30,106.5,109.6,106.45,108.9,408552
2022-04-04 00:00:00+05:30,109,116,108.8,112.5,1407397
2022-04-05 00:00:00+05:30,114.95,119.15,112,116.4,3875933
2022-04-06 00:00:00+05:30,115.5,117.5,113.15,114.95,668915
2022-04-07 00:00:00+05:30,114,115.5,113.25,113.6,531369
2022-04-08 00:00:00+05:30,115,122.3,113.3,119.4,3241008
