date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,764,768.85,761,764.35,48468
2022-01-04 00:00:00+05:30,774,774,752.35,756.7,94588
2022-01-05 00:00:00+05:30,750.3,771.65,743.55,758.65,95253
2022-01-06 00:00:00+05:30,757.95,768,743.75,762.8,51784
2022-01-07 00:00:00+05:30,755,765,750.25,753.25,27837
2022-01-10 00:00:00+05:30,757.05,759.25,741,745.05,42198
2022-01-11 00:00:00+05:30,748.6,751.85,735.15,740.25,33234
2022-01-12 00:00:00+05:30,741,744.8,730,740.35,27294
2022-01-13 00:00:00+05:30,744.1,748.8,736.1,741.4,18533
2022-01-14 00:00:00+05:30,739.1,749.9,736.05,742.55,23150
2022-01-17 00:00:00+05:30,744.45,748.75,738.65,745,29660
2022-01-18 00:00:00+05:30,751.65,755.35,731,738.75,36521
2022-01-19 00:00:00+05:30,738.75,763.25,731,748.8,66464
2022-01-20 00:00:00+05:30,753,768,742.85,755.05,46122
2022-01-21 00:00:00+05:30,752.7,761.2,731,734.6,33291
2022-01-24 00:00:00+05:30,738.5,744.9,695.4,708.05,48393
2022-01-25 00:00:00+05:30,695.25,731.1,694,725.2,24508
2022-01-27 00:00:00+05:30,726.9,728.85,705,710.7,30156
2022-01-28 00:00:00+05:30,710.1,725,694,696.2,153943
2022-01-31 00:00:00+05:30,690,712,689,698.5,58329
2022-02-01 00:00:00+05:30,709.25,709.25,686,696.4,38819
2022-02-02 00:00:00+05:30,702,707.9,695.2,699.15,32341
2022-02-03 00:00:00+05:30,702.8,711.45,687.55,703.15,40922
2022-02-04 00:00:00+05:30,700.9,718.7,700.9,715.7,25322
2022-02-07 00:00:00+05:30,725,725,701.15,703.7,29762
2022-02-08 00:00:00+05:30,702.9,707.8,695,697.7,22876
2022-02-09 00:00:00+05:30,699.75,706.8,695,696.55,14330
2022-02-10 00:00:00+05:30,695.2,703.85,695.2,699.45,12158
2022-02-11 00:00:00+05:30,697,702.95,686,688.65,32024
2022-02-14 00:00:00+05:30,687.35,705.3,672.3,696,45376
2022-02-15 00:00:00+05:30,692,709.6,692,697.85,43951
2022-02-16 00:00:00+05:30,701.15,706.55,691.7,705.35,26787
2022-02-17 00:00:00+05:30,708.7,708.7,692.1,699.9,32028
2022-02-18 00:00:00+05:30,698.6,707.85,692.5,702.55,101997
2022-02-21 00:00:00+05:30,702.55,709.95,676,693.8,83934
2022-02-22 00:00:00+05:30,685,689.95,675,685.05,43904
2022-02-23 00:00:00+05:30,688.25,707.7,659.75,678.55,86850
2022-02-24 00:00:00+05:30,660,670,623.05,636.25,49722
2022-02-25 00:00:00+05:30,639.45,659.7,639.45,651.9,72773
2022-02-28 00:00:00+05:30,650.1,688,650.1,675.55,161751
2022-03-02 00:00:00+05:30,684.8,689.95,666.1,669.65,51620
2022-03-03 00:00:00+05:30,678.6,711.3,669.7,697.3,73849
2022-03-04 00:00:00+05:30,696.35,696.35,670,673.75,83698
2022-03-07 00:00:00+05:30,669.95,674.9,657.25,663.65,42566
2022-03-08 00:00:00+05:30,667,683.25,660.7,675.6,48417
2022-03-09 00:00:00+05:30,679,688.85,676,682.65,26738
2022-03-10 00:00:00+05:30,699.45,728,690.15,720.95,140802
2022-03-11 00:00:00+05:30,717,729.45,712.3,721.2,47086
2022-03-14 00:00:00+05:30,721.2,729.9,711.2,723.75,53255
2022-03-15 00:00:00+05:30,723.75,748,694.95,706.3,73280
2022-03-16 00:00:00+05:30,715,731,707.35,728.8,52262
2022-03-17 00:00:00+05:30,735,745,706.6,714.75,75825
2022-03-21 00:00:00+05:30,717.9,734.45,714.75,722.25,33973
2022-03-22 00:00:00+05:30,721.45,725.9,710,712.4,51749
2022-03-23 00:00:00+05:30,721.95,721.95,713.25,718.5,17500
2022-03-24 00:00:00+05:30,722,722,697.55,704.5,44881
2022-03-25 00:00:00+05:30,709.9,715.45,705,709.85,26171
2022-03-28 00:00:00+05:30,714.9,718.75,700.3,709.75,60479
2022-03-29 00:00:00+05:30,713.3,713.3,687.6,690.1,27672
2022-03-30 00:00:00+05:30,693.6,698.65,678,683.4,18497
2022-03-31 00:00:00+05:30,686.85,695,684.5,688.7,38855
2022-04-01 00:00:00+05:30,684.55,714,672.95,704,103134
2022-04-04 00:00:00+05:30,707.55,717.3,698.85,707.55,56519
2022-04-05 00:00:00+05:30,711.1,745.2,710.15,731,145044
2022-04-06 00:00:00+05:30,726,739.9,723.55,732.65,50112
2022-04-07 00:00:00+05:30,736.35,736.35,712.35,714,24162
2022-04-08 00:00:00+05:30,724,724,710,714.5,17182
