date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,7.5,7.95,7.35,7.65,19528674
2022-01-04 00:00:00+05:30,7.7,7.95,7.7,7.8,12436205
2022-01-05 00:00:00+05:30,7.6,7.7,7.45,7.5,9310587
2022-01-06 00:00:00+05:30,8.1,8.2,7.75,7.9,21521415
2022-01-07 00:00:00+05:30,7.95,8.05,7.75,7.85,10115106
2022-01-10 00:00:00+05:30,7.9,8.4,7.9,8,27228933
2022-01-11 00:00:00+05:30,8.15,8.15,7.9,7.95,12610559
2022-01-12 00:00:00+05:30,8,8.05,7.8,7.9,11499481
2022-01-13 00:00:00+05:30,7.95,7.95,7.75,7.8,5441002
2022-01-14 00:00:00+05:30,7.8,7.8,7.4,7.65,15413223
2022-01-17 00:00:00+05:30,7.7,7.75,7.6,7.7,5084962
2022-01-18 00:00:00+05:30,7.7,7.75,7.5,7.55,4761149
2022-01-19 00:00:00+05:30,7.55,7.85,7.45,7.6,5331416
2022-01-20 00:00:00+05:30,7.65,7.8,7.5,7.55,5061952
2022-01-21 00:00:00+05:30,7.55,7.65,7.5,7.55,4912940
2022-01-24 00:00:00+05:30,7.55,7.55,7,7.15,6960731
2022-01-25 00:00:00+05:30,7,7.5,6.95,7.35,7042561
2022-01-27 00:00:00+05:30,7.4,7.6,7.3,7.35,4480889
2022-01-28 00:00:00+05:30,7.35,7.45,7.35,7.35,3844465
2022-01-31 00:00:00+05:30,7.4,7.5,7.3,7.35,3467266
2022-02-01 00:00:00+05:30,7.4,8.2,7.35,7.5,12133496
2022-02-02 00:00:00+05:30,7.6,7.7,7.45,7.5,4810257
2022-02-03 00:00:00+05:30,7.45,7.5,7.3,7.35,4560428
2022-02-04 00:00:00+05:30,7.35,7.35,7.2,7.25,4191002
2022-02-07 00:00:00+05:30,7.25,7.3,7.1,7.15,4076609
2022-02-08 00:00:00+05:30,7.2,7.35,7.15,7.2,4566978
2022-02-09 00:00:00+05:30,7.25,7.3,7.15,7.25,3620587
2022-02-10 00:00:00+05:30,7.25,7.3,7.15,7.15,3075377
2022-02-11 00:00:00+05:30,7.1,7.15,7.05,7.15,2879026
2022-02-14 00:00:00+05:30,7.05,7.15,6.85,6.9,5127808
2022-02-15 00:00:00+05:30,6.95,7.1,6.85,7,3826505
2022-02-16 00:00:00+05:30,7.1,7.3,7,7.1,5601238
2022-02-17 00:00:00+05:30,7.1,7.2,7,7.05,2310440
2022-02-18 00:00:00+05:30,7.1,7.1,6.95,7,1932946
2022-02-21 00:00:00+05:30,7,7,6.85,6.9,3430737
2022-02-22 00:00:00+05:30,6.8,6.85,6.65,6.7,4073115
2022-02-23 00:00:00+05:30,6.75,7.2,6.75,7.05,5983514
2022-02-24 00:00:00+05:30,6.95,6.95,6.25,6.4,7906068
2022-02-25 00:00:00+05:30,6.4,7,6.4,6.85,7668670
2022-02-28 00:00:00+05:30,7.25,7.5,7.05,7.2,14125767
2022-03-02 00:00:00+05:30,7.3,7.6,7.15,7.25,11838948
2022-03-03 00:00:00+05:30,7.4,7.45,7.05,7.15,7309414
2022-03-04 00:00:00+05:30,7.1,7.3,6.85,6.9,13140519
2022-03-07 00:00:00+05:30,6.85,6.9,6.55,6.55,10429581
2022-03-08 00:00:00+05:30,6.65,6.95,6.65,6.9,13945689
2022-03-09 00:00:00+05:30,6.9,7.1,6.9,6.95,5370384
2022-03-10 00:00:00+05:30,7.05,7.1,6.9,6.95,4389542
2022-03-11 00:00:00+05:30,6.95,6.95,6.7,6.8,6671926
2022-03-14 00:00:00+05:30,6.85,6.9,6.6,6.7,7044192
2022-03-15 00:00:00+05:30,6.65,6.8,6.5,6.55,6764443
2022-03-16 00:00:00+05:30,6.6,6.7,6.45,6.55,6072264
2022-03-17 00:00:00+05:30,6.6,6.6,5.55,6.05,35724382
2022-03-21 00:00:00+05:30,6.1,6.2,5.75,5.8,16254702
2022-03-22 00:00:00+05:30,5.8,5.8,4.9,5.15,28351695
2022-03-23 00:00:00+05:30,5.15,6.05,5,5.9,36796716
2022-03-24 00:00:00+05:30,6,6.45,5.9,6,33079310
2022-03-25 00:00:00+05:30,6.1,6.3,5.7,5.9,19743774
2022-03-28 00:00:00+05:30,6.1,6.1,5.45,5.5,12823791
2022-03-29 00:00:00+05:30,5.5,5.5,4.4,4.45,89741637
2022-03-30 00:00:00+05:30,4.9,4.9,4.4,4.55,39501554
2022-03-31 00:00:00+05:30,4.8,4.8,4.5,4.55,13484702
2022-04-01 00:00:00+05:30,4.6,5.05,4.6,4.95,24917650
2022-04-04 00:00:00+05:30,5.15,5.25,5.05,5.15,13016455
2022-04-05 00:00:00+05:30,5.2,5.25,5.1,5.15,7191156
2022-04-06 00:00:00+05:30,5.15,5.15,5.05,5.05,7316581
2022-04-07 00:00:00+05:30,5.1,5.2,4.75,4.9,17563632
2022-04-08 00:00:00+05:30,4.95,5.05,4.7,4.75,15608420
