date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,97.65,98.2,96.65,97.15,700893
2022-01-04 00:00:00+05:30,97.8,97.9,96.55,97.1,850644
2022-01-05 00:00:00+05:30,97.1,107.8,96.55,104.65,5362401
2022-01-06 00:00:00+05:30,102,118,102,115.2,6879535
2022-01-07 00:00:00+05:30,115.5,120,112.55,119.25,6269003
2022-01-10 00:00:00+05:30,120.5,129.55,120.05,128.25,6063230
2022-01-11 00:00:00+05:30,129.25,129.25,122.55,124,3781564
2022-01-12 00:00:00+05:30,124.25,125.3,118.8,121.5,2149272
2022-01-13 00:00:00+05:30,122.25,129.9,117.15,126.1,2908102
2022-01-14 00:00:00+05:30,127.3,138,127,136.8,3448051
2022-01-17 00:00:00+05:30,138.7,142.8,137,140.1,2617272
2022-01-18 00:00:00+05:30,140.8,142.35,136.25,136.55,1735002
2022-01-19 00:00:00+05:30,136.95,137.5,129.3,130.55,1144738
2022-01-20 00:00:00+05:30,131.5,133.8,126,127.4,1944083
2022-01-21 00:00:00+05:30,126.55,129.6,123.5,124.85,2004024
2022-01-24 00:00:00+05:30,125.1,126.1,110.7,115.5,1823709
2022-01-25 00:00:00+05:30,114,122,109.3,115.85,1769044
2022-01-27 00:00:00+05:30,117,122.5,114.5,117.1,3425265
2022-01-28 00:00:00+05:30,121.85,125,118.35,118.9,2038632
2022-01-31 00:00:00+05:30,119.55,122.4,115,115.55,1027404
2022-02-01 00:00:00+05:30,116,117.9,114.4,116.2,1152726
2022-02-02 00:00:00+05:30,117.25,122.7,117,122,3280194
2022-02-03 00:00:00+05:30,123.1,127.5,119.65,125.95,2052382
2022-02-04 00:00:00+05:30,126.85,126.85,122.5,123.25,705439
2022-02-07 00:00:00+05:30,124.05,126.4,120.55,121.1,844345
2022-02-08 00:00:00+05:30,121.1,124.85,118.1,123.7,1255340
2022-02-09 00:00:00+05:30,124.5,129.35,124.2,128.05,1629587
2022-02-10 00:00:00+05:30,129,129,124.7,126,810836
2022-02-11 00:00:00+05:30,124.9,128.95,123.2,127,1133407
2022-02-14 00:00:00+05:30,125,125,118.25,123.75,1584500
2022-02-15 00:00:00+05:30,123.2,126.5,119.25,125.35,1734035
2022-02-16 00:00:00+05:30,126.7,127.4,121.05,122.45,1085000
2022-02-17 00:00:00+05:30,123.3,123.75,119.75,120.05,604300
2022-02-18 00:00:00+05:30,119,121.4,118.25,119.6,456629
2022-02-21 00:00:00+05:30,115.35,120.55,115.35,119.4,1037452
2022-02-22 00:00:00+05:30,115.9,117.5,110.1,111.65,993326
2022-02-23 00:00:00+05:30,114.5,119.5,114.05,115.35,805907
2022-02-24 00:00:00+05:30,109.95,112.6,101,106.95,1382838
2022-02-25 00:00:00+05:30,115,116.9,109.6,116.05,1210782
2022-02-28 00:00:00+05:30,116,119.4,110,113.35,429911
2022-03-02 00:00:00+05:30,112.95,113.9,111,111.85,630286
2022-03-03 00:00:00+05:30,113.95,114.2,109.5,110.4,743432
2022-03-04 00:00:00+05:30,109.5,114,106.55,109.35,445802
2022-03-07 00:00:00+05:30,105.1,108,103.35,105.5,548617
2022-03-08 00:00:00+05:30,106,110.95,106,109.65,359260
2022-03-09 00:00:00+05:30,110.75,113,108.55,111.85,573577
2022-03-10 00:00:00+05:30,115.9,120.9,112.55,119.15,1322031
2022-03-11 00:00:00+05:30,117.6,124,117.45,120.95,768912
2022-03-14 00:00:00+05:30,121.45,129.05,121.45,127.4,1030881
2022-03-15 00:00:00+05:30,127.95,128.55,120.1,121.45,739056
2022-03-16 00:00:00+05:30,122.8,125,120.15,121.4,246155
2022-03-17 00:00:00+05:30,122.95,126.4,122.05,123.75,498565
2022-03-21 00:00:00+05:30,123.9,130.65,123.35,125.95,802503
2022-03-22 00:00:00+05:30,126.5,127.85,123,125.75,422507
2022-03-23 00:00:00+05:30,126.75,134.6,126.6,128.25,2259601
2022-03-24 00:00:00+05:30,132,134.85,126.4,127.7,2695546
2022-03-25 00:00:00+05:30,127.7,129.9,127.7,128.55,610516
2022-03-28 00:00:00+05:30,129.15,129.2,122.25,127.75,981723
2022-03-29 00:00:00+05:30,127.9,131.8,124.95,126.8,2222280
2022-03-30 00:00:00+05:30,127,128,123.8,125.05,558885
2022-03-31 00:00:00+05:30,125.4,128.9,125.35,126.5,752878
2022-04-01 00:00:00+05:30,127.3,130.8,126.8,127.85,1099803
2022-04-04 00:00:00+05:30,128.85,129.8,127.95,128.85,875863
2022-04-05 00:00:00+05:30,130.1,134.4,129,129.6,2241833
2022-04-06 00:00:00+05:30,130.25,130.9,128.05,130.15,878095
2022-04-07 00:00:00+05:30,129,131,127.05,128.85,645805
2022-04-08 00:00:00+05:30,128.5,134.85,127.55,130.4,2040027
