date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,9.65,9.7,9.35,9.6,245285
2022-01-04 00:00:00+05:30,9.4,10.05,9.4,9.7,396003
2022-01-05 00:00:00+05:30,9.25,9.65,9.25,9.45,295375
2022-01-06 00:00:00+05:30,9.75,9.85,9.6,9.75,376544
2022-01-07 00:00:00+05:30,9.95,9.95,9.6,9.75,353373
2022-01-10 00:00:00+05:30,9.9,10.2,9.65,10.15,549549
2022-01-11 00:00:00+05:30,10.3,10.65,9.9,10,317623
2022-01-12 00:00:00+05:30,10,10.25,9.6,10.05,379115
2022-01-13 00:00:00+05:30,10.05,10.05,9.75,9.95,330870
2022-01-14 00:00:00+05:30,9.95,10,9.7,9.9,146590
2022-01-17 00:00:00+05:30,9.95,10,9.75,9.9,177108
2022-01-18 00:00:00+05:30,9.95,9.95,9.8,9.85,114926
2022-01-19 00:00:00+05:30,9.75,9.9,9.6,9.75,137639
2022-01-20 00:00:00+05:30,9.8,9.8,9.65,9.8,71657
2022-01-21 00:00:00+05:30,9.9,9.9,9.65,9.7,90356
2022-01-24 00:00:00+05:30,9.8,9.8,9.25,9.25,180759
2022-01-25 00:00:00+05:30,9,9.4,8.8,9.2,194940
2022-01-27 00:00:00+05:30,9.5,9.5,9.1,9.25,104936
2022-01-28 00:00:00+05:30,9.15,9.55,9.15,9.25,74841
2022-01-31 00:00:00+05:30,9.55,9.55,9.25,9.35,57355
2022-02-01 00:00:00+05:30,9.35,9.8,9.05,9.3,305931
2022-02-02 00:00:00+05:30,9.35,9.55,9.35,9.4,60906
2022-02-03 00:00:00+05:30,9.65,9.65,9.25,9.3,127128
2022-02-04 00:00:00+05:30,9.35,9.35,9.05,9.15,146572
2022-02-07 00:00:00+05:30,9.15,9.25,8.85,9.05,61307
2022-02-08 00:00:00+05:30,9.1,9.3,8.9,9,101168
2022-02-09 00:00:00+05:30,9,9.25,9,9.05,43164
2022-02-10 00:00:00+05:30,9.15,9.2,9,9.15,60118
2022-02-11 00:00:00+05:30,9.25,9.25,8.95,9,58045
2022-02-14 00:00:00+05:30,9,9.25,8.7,8.75,96719
2022-02-15 00:00:00+05:30,8.95,9.15,8.65,8.75,101729
2022-02-16 00:00:00+05:30,9,9.15,8.85,9,130697
2022-02-17 00:00:00+05:30,9.15,9.15,8.95,9.05,46759
2022-02-18 00:00:00+05:30,8.95,9.05,8.5,8.75,55488
2022-02-21 00:00:00+05:30,8.6,8.85,8.45,8.55,52912
2022-02-22 00:00:00+05:30,8.25,8.65,8.25,8.3,44457
2022-02-23 00:00:00+05:30,8.25,9.1,8.25,9.05,190729
2022-02-24 00:00:00+05:30,9.5,9.5,8.15,8.2,198982
2022-02-25 00:00:00+05:30,8.1,9,8.1,8.9,135109
2022-02-28 00:00:00+05:30,8.9,9.75,8.9,9.65,489588
2022-03-02 00:00:00+05:30,10,10.25,9.5,9.65,502224
2022-03-03 00:00:00+05:30,10.05,10.05,8.7,9.3,227588
2022-03-04 00:00:00+05:30,9.8,9.85,9.3,9.8,267440
2022-03-07 00:00:00+05:30,9.85,9.9,8.85,8.95,253524
2022-03-08 00:00:00+05:30,9.15,9.75,9,9.45,114371
2022-03-09 00:00:00+05:30,9.65,9.85,9.1,9.3,126170
2022-03-10 00:00:00+05:30,9.3,9.7,9.3,9.3,112403
2022-03-11 00:00:00+05:30,9.25,9.3,8.95,9.15,148344
2022-03-14 00:00:00+05:30,8.9,9.15,8.8,8.95,107391
2022-03-15 00:00:00+05:30,8.85,9.2,8.6,8.7,118158
2022-03-16 00:00:00+05:30,8.75,9.15,8.7,8.75,95702
2022-03-17 00:00:00+05:30,8.65,8.9,8.35,8.5,302468
2022-03-21 00:00:00+05:30,8.4,8.6,8.35,8.35,93041
2022-03-22 00:00:00+05:30,8.2,8.35,7.8,7.95,397365
2022-03-23 00:00:00+05:30,7.9,8.7,7.9,8.7,274308
2022-03-24 00:00:00+05:30,9.1,9.55,8.7,9.1,650033
2022-03-25 00:00:00+05:30,9.3,9.3,8.3,8.55,320528
2022-03-28 00:00:00+05:30,8.55,8.55,8.15,8.2,81239
2022-03-29 00:00:00+05:30,8.05,8.2,7.7,7.85,175149
2022-03-30 00:00:00+05:30,7.95,8.6,7.95,8.25,218631
2022-03-31 00:00:00+05:30,8.3,8.45,8,8.05,111305
2022-04-01 00:00:00+05:30,8,8.65,8,8.55,147628
2022-04-04 00:00:00+05:30,8.65,8.85,8.4,8.6,98754
2022-04-05 00:00:00+05:30,8.55,8.7,8.45,8.6,99831
2022-04-06 00:00:00+05:30,8.6,8.6,8.25,8.55,80408
2022-04-07 00:00:00+05:30,8.65,8.8,8.4,8.55,144671
2022-04-08 00:00:00+05:30,8.25,8.6,8.25,8.55,110305
