date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,641,641,622,625.75,868
2022-01-04 00:00:00+05:30,642.1,642.1,544.4,609.55,5720
2022-01-05 00:00:00+05:30,627.25,628,610,621.75,585
2022-01-06 00:00:00+05:30,609.05,621.6,609.05,619.45,491
2022-01-07 00:00:00+05:30,611.25,625,606,609.95,1218
2022-01-10 00:00:00+05:30,624.45,624.75,606,609.5,1049
2022-01-11 00:00:00+05:30,611.3,617.5,607.25,611.55,547
2022-01-12 00:00:00+05:30,640,640,595.05,618.5,840
2022-01-13 00:00:00+05:30,618.5,623.95,605.15,616.55,451
2022-01-14 00:00:00+05:30,607.6,620.75,606.25,618.4,918
2022-01-17 00:00:00+05:30,618.4,620.3,610,611.1,953
2022-01-18 00:00:00+05:30,612.1,621.95,611,612.95,405
2022-01-19 00:00:00+05:30,610,614.85,608.3,610.7,299
2022-01-20 00:00:00+05:30,611.35,618.8,600,610.05,234
2022-01-21 00:00:00+05:30,609,609,605.1,606.75,208
2022-01-24 00:00:00+05:30,605.05,615,580,581.8,960
2022-01-25 00:00:00+05:30,581,595.3,571,587.7,951
2022-01-27 00:00:00+05:30,554.3,650,554.3,607.95,2924
2022-01-28 00:00:00+05:30,638,638,604,604,287
2022-01-31 00:00:00+05:30,619.35,619.35,600,606.7,336
2022-02-01 00:00:00+05:30,610,610,600.45,604.4,165
2022-02-02 00:00:00+05:30,617.65,617.65,605.8,612.9,232
2022-02-03 00:00:00+05:30,625.2,625.2,607,611.05,123
2022-02-04 00:00:00+05:30,603,610,603,605.25,170
2022-02-07 00:00:00+05:30,605.55,617.3,591,593.55,264
2022-02-08 00:00:00+05:30,621.75,622,596.65,603.1,353
2022-02-09 00:00:00+05:30,603.5,612.4,600,603.15,276
2022-02-10 00:00:00+05:30,601.05,622,595,601.55,721
2022-02-11 00:00:00+05:30,612.05,615.55,575,590.2,639
2022-02-14 00:00:00+05:30,590.2,602.75,575.05,582.5,317
2022-02-15 00:00:00+05:30,587.55,609.45,555,577.55,568
2022-02-16 00:00:00+05:30,588,598,582,584.1,463
2022-02-17 00:00:00+05:30,608.2,608.2,556.6,570.75,466
2022-02-18 00:00:00+05:30,572.8,588.9,571,575.6,201
2022-02-21 00:00:00+05:30,577.05,577.05,534.5,542.2,748
2022-02-22 00:00:00+05:30,542.65,576.55,534.5,565.15,1016
2022-02-23 00:00:00+05:30,588,588,570.1,571.1,346
2022-02-24 00:00:00+05:30,543,574.9,530.15,530.35,669
2022-02-25 00:00:00+05:30,525.1,559.9,525.1,544.35,429
2022-02-28 00:00:00+05:30,544.95,578,542.75,569.75,232
2022-03-02 00:00:00+05:30,572,574.75,540.1,548.15,913
2022-03-03 00:00:00+05:30,546.3,554.75,523,542.05,245
2022-03-04 00:00:00+05:30,558.8,558.8,524.25,533.95,263
2022-03-07 00:00:00+05:30,534.2,575,519,551.1,405
2022-03-08 00:00:00+05:30,559.75,573,559.75,571.2,349
2022-03-09 00:00:00+05:30,594.5,594.5,563,568.6,230
2022-03-10 00:00:00+05:30,588,588,573,581.55,88
2022-03-11 00:00:00+05:30,579.45,584.75,565.65,570.75,217
2022-03-14 00:00:00+05:30,576.45,576.7,564.35,569,90
2022-03-15 00:00:00+05:30,576,588.95,557,564.3,173
2022-03-16 00:00:00+05:30,585.1,586,561,576,117
2022-03-17 00:00:00+05:30,586,588,565.2,571.5,495
2022-03-21 00:00:00+05:30,571.25,577.75,564,569.35,216
2022-03-22 00:00:00+05:30,583.4,583.4,565,566.7,118
2022-03-23 00:00:00+05:30,579.25,584.8,561,565.35,907
2022-03-24 00:00:00+05:30,577.6,580,557,561.9,128
2022-03-25 00:00:00+05:30,563.55,574.95,560,564.55,292
2022-03-28 00:00:00+05:30,570.7,570.95,560.5,565,48
2022-03-29 00:00:00+05:30,560.15,568.75,560.05,565,350
2022-03-30 00:00:00+05:30,573.5,575,561,561.8,534
2022-03-31 00:00:00+05:30,570,570,522.6,539.2,868
2022-04-01 00:00:00+05:30,569,587,533.35,581.7,701
2022-04-04 00:00:00+05:30,575.9,585,568.65,583.05,133
2022-04-05 00:00:00+05:30,583.05,585,556.85,571,425
2022-04-06 00:00:00+05:30,584,589.45,570.65,583.25,177
2022-04-07 00:00:00+05:30,570.15,589.45,561,576.25,385
2022-04-08 00:00:00+05:30,583.65,585,570,585,72
