date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,815.25,829,815.25,820.95,67009
2022-01-04 00:00:00+05:30,825.9,873.9,825,851.15,358457
2022-01-05 00:00:00+05:30,854,887.85,853,866.65,324514
2022-01-06 00:00:00+05:30,858,870,844,848.25,154626
2022-01-07 00:00:00+05:30,853.6,861.05,752.1,761.1,923484
2022-01-10 00:00:00+05:30,761,763.45,734.9,737.65,172085
2022-01-11 00:00:00+05:30,741,746.7,723,725.1,137294
2022-01-12 00:00:00+05:30,735.25,754.5,729.95,746.75,128673
2022-01-13 00:00:00+05:30,751.95,764.45,743.05,757.6,123608
2022-01-14 00:00:00+05:30,760,764.8,747,748.65,88805
2022-01-17 00:00:00+05:30,750.8,754,737.15,740.35,31964
2022-01-18 00:00:00+05:30,746.3,747,723.4,725.7,36329
2022-01-19 00:00:00+05:30,720,748.75,712.3,737.35,50435
2022-01-20 00:00:00+05:30,742.7,742.7,723.95,727.95,27100
2022-01-21 00:00:00+05:30,726.95,728.4,713,716.25,25622
2022-01-24 00:00:00+05:30,709.05,714.95,678,685.2,55140
2022-01-25 00:00:00+05:30,685,698.05,666,690.9,39860
2022-01-27 00:00:00+05:30,690.9,698,678.85,690.65,31149
2022-01-28 00:00:00+05:30,696.5,711.85,692.3,696.5,24278
2022-01-31 00:00:00+05:30,696.5,704.4,686,689.4,28095
2022-02-01 00:00:00+05:30,683.35,699,683.35,691.8,20430
2022-02-02 00:00:00+05:30,691.8,705,691.65,703.35,29900
2022-02-03 00:00:00+05:30,703.95,705.55,681.05,690.2,19629
2022-02-04 00:00:00+05:30,690,699.15,686.55,690.45,19733
2022-02-07 00:00:00+05:30,690.45,696.25,680.05,686.05,15252
2022-02-08 00:00:00+05:30,686,691,644.1,660.45,63782
2022-02-09 00:00:00+05:30,667.85,671,659.15,668.6,23857
2022-02-10 00:00:00+05:30,671.25,675,663.05,670.15,10789
2022-02-11 00:00:00+05:30,667.65,667.75,660,661.75,12942
2022-02-14 00:00:00+05:30,655,655,623,626.85,34846
2022-02-15 00:00:00+05:30,627,644.5,616.85,633.55,24943
2022-02-16 00:00:00+05:30,637.95,658.05,637.95,650.95,43073
2022-02-17 00:00:00+05:30,655,662.75,630.6,638.25,32067
2022-02-18 00:00:00+05:30,638,667.75,632.15,651.05,36801
2022-02-21 00:00:00+05:30,644.1,644.1,631.3,633.75,17679
2022-02-22 00:00:00+05:30,630,630.65,603.05,613,34442
2022-02-23 00:00:00+05:30,609.3,626.45,605.85,609.95,23767
2022-02-24 00:00:00+05:30,600,600.3,561.05,568.7,40631
2022-02-25 00:00:00+05:30,581,619,581,612.85,40264
2022-02-28 00:00:00+05:30,608.5,620.95,600.3,616.05,23766
2022-03-02 00:00:00+05:30,605.05,626.85,605.05,617.05,27910
2022-03-03 00:00:00+05:30,622.4,631,620.15,624.05,17031
2022-03-04 00:00:00+05:30,624,625.5,612.4,619.5,17337
2022-03-07 00:00:00+05:30,615.5,615.5,589.55,600.9,21129
2022-03-08 00:00:00+05:30,612.95,617.95,601,612.35,16364
2022-03-09 00:00:00+05:30,614.05,642,614.05,629.6,45707
2022-03-10 00:00:00+05:30,636,651.9,636,646.85,45599
2022-03-11 00:00:00+05:30,646.7,648.7,632.8,637.7,15203
2022-03-14 00:00:00+05:30,640,644,633.35,638.45,15201
2022-03-15 00:00:00+05:30,639.5,639.5,622,624.1,14037
2022-03-16 00:00:00+05:30,631,634.9,625.85,632.65,18227
2022-03-17 00:00:00+05:30,660,666,644,648.4,63901
2022-03-21 00:00:00+05:30,653.9,668.5,649.4,665.4,40745
2022-03-22 00:00:00+05:30,667.5,692,660.05,690.25,56660
2022-03-23 00:00:00+05:30,700,707,693,699.75,46604
2022-03-24 00:00:00+05:30,691.25,715,691.25,706.95,38673
2022-03-25 00:00:00+05:30,709.05,718.85,694,695.85,27516
2022-03-28 00:00:00+05:30,699,713.45,686,691.75,56275
2022-03-29 00:00:00+05:30,694,715,693.9,712.05,56736
2022-03-30 00:00:00+05:30,720,729.4,706.65,710.75,48940
2022-03-31 00:00:00+05:30,713.95,720,709,713.8,26772
2022-04-01 00:00:00+05:30,718,735,715,726.9,49967
2022-04-04 00:00:00+05:30,729,749,729,738.4,61811
2022-04-05 00:00:00+05:30,742,750,739,741.7,45365
2022-04-06 00:00:00+05:30,745,760,720.1,731.5,61172
2022-04-07 00:00:00+05:30,732.4,741.3,691,715.2,83959
2022-04-08 00:00:00+05:30,716,735,712.6,723.8,40477
