date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,73.9,74.45,73.4,73.85,425676
2022-01-04 00:00:00+05:30,74,75.5,73.2,73.75,858813
2022-01-05 00:00:00+05:30,73.75,75.1,73.3,74.05,642842
2022-01-06 00:00:00+05:30,73.7,77,73.1,76.55,1643101
2022-01-07 00:00:00+05:30,78.5,78.5,74.35,74.85,1807868
2022-01-10 00:00:00+05:30,74.75,81.9,74.5,80.85,5122864
2022-01-11 00:00:00+05:30,81.5,88.8,78.8,86.1,17796401
2022-01-12 00:00:00+05:30,87,88.8,83.1,86,4463076
2022-01-13 00:00:00+05:30,85.95,94.6,84.4,93.15,14530367
2022-01-14 00:00:00+05:30,92.3,111.75,91.55,109.85,34951978
2022-01-17 00:00:00+05:30,109.65,115.5,104.55,109.4,19657203
2022-01-18 00:00:00+05:30,109.95,109.95,100.4,101.55,5507279
2022-01-19 00:00:00+05:30,100.3,106.3,100.3,104.65,3998480
2022-01-20 00:00:00+05:30,104,113,102.3,111.2,7079753
2022-01-21 00:00:00+05:30,109,111.8,105,106.65,3515246
2022-01-24 00:00:00+05:30,107.8,107.8,96,96,2742028
2022-01-25 00:00:00+05:30,94,104.2,92.3,100.65,3239428
2022-01-27 00:00:00+05:30,99.6,110.7,97.05,110.7,4985424
2022-01-28 00:00:00+05:30,116,121.75,115,119.95,6841491
2022-01-31 00:00:00+05:30,121.9,122.9,110.5,114,5670492
2022-02-01 00:00:00+05:30,115.9,117.8,110.7,114.15,2490744
2022-02-02 00:00:00+05:30,113.95,120.7,113.95,117.4,2480363
2022-02-03 00:00:00+05:30,118,125.35,115.5,122.7,5125888
2022-02-04 00:00:00+05:30,125,134.95,122.45,132.5,7406942
2022-02-07 00:00:00+05:30,136.7,141.9,131.65,134.05,9041511
2022-02-08 00:00:00+05:30,134.95,136.45,122.7,132.35,7821629
2022-02-09 00:00:00+05:30,133.8,135.7,129.25,134.7,3530180
2022-02-10 00:00:00+05:30,135.3,143,134.7,139.9,7347699
2022-02-11 00:00:00+05:30,138,138.95,131,132.6,2993552
2022-02-14 00:00:00+05:30,125.8,129.85,121.75,122.95,3164053
2022-02-15 00:00:00+05:30,123.5,140.9,122,138.35,6169456
2022-02-16 00:00:00+05:30,140.55,152.1,139.75,142.55,18193333
2022-02-17 00:00:00+05:30,143.2,146.65,138.15,139.95,5201181
2022-02-18 00:00:00+05:30,139.85,142.55,134.25,135.45,3360515
2022-02-21 00:00:00+05:30,137.5,142.9,132.2,136.4,7419578
2022-02-22 00:00:00+05:30,127.1,134.55,127.1,129.15,5032755
2022-02-23 00:00:00+05:30,131.8,142,131.45,140.2,8964661
2022-02-24 00:00:00+05:30,130.5,136,125,126.55,8795607
2022-02-25 00:00:00+05:30,134.2,137.6,131.05,132.75,4450441
2022-02-28 00:00:00+05:30,133.5,134.7,130.1,132.65,3563862
2022-03-02 00:00:00+05:30,132.5,139.5,131,137.25,4208485
2022-03-03 00:00:00+05:30,140.25,162,140.25,155.75,30025219
2022-03-04 00:00:00+05:30,157.7,168.95,150.25,161.85,29680354
2022-03-07 00:00:00+05:30,161.75,172.8,159,167.6,21086058
2022-03-08 00:00:00+05:30,166,174.25,158.1,160.15,8411892
2022-03-09 00:00:00+05:30,161,171.5,159.35,163.9,9466245
2022-03-10 00:00:00+05:30,165,171.75,163.05,166.3,5538484
2022-03-11 00:00:00+05:30,165,170.2,165,167.1,3116209
2022-03-14 00:00:00+05:30,168,175.8,165.5,169.7,6352659
2022-03-15 00:00:00+05:30,171.45,173.25,163.25,166.45,3199279
2022-03-16 00:00:00+05:30,168,171.5,162.05,163.4,3078302
2022-03-17 00:00:00+05:30,165.75,167.65,162.75,164.4,1786806
2022-03-21 00:00:00+05:30,165.45,168.45,162.25,164.1,2680208
2022-03-22 00:00:00+05:30,164,169.9,161.1,162.15,3122103
2022-03-23 00:00:00+05:30,163.75,167.5,160.1,162,2726112
2022-03-24 00:00:00+05:30,167,179.85,161.85,177.3,13809579
2022-03-25 00:00:00+05:30,180,192.3,180,189.2,20082092
2022-03-28 00:00:00+05:30,190.15,196.2,182.25,191.8,10514812
2022-03-29 00:00:00+05:30,192.35,197.8,187.6,191.05,7338924
2022-03-30 00:00:00+05:30,191.65,195,189.2,190.9,4383931
2022-03-31 00:00:00+05:30,191.6,194.25,188.1,189.75,2337520
2022-04-01 00:00:00+05:30,190.85,198.75,189.5,192.25,5169914
2022-04-04 00:00:00+05:30,193.25,203,192.65,199.5,5981699
2022-04-05 00:00:00+05:30,204.6,213.7,203.55,210.55,11517034
2022-04-06 00:00:00+05:30,209.1,218.8,208.1,215.95,6016506
2022-04-07 00:00:00+05:30,216.05,228.4,207.6,213.6,10556946
2022-04-08 00:00:00+05:30,216.4,222.25,214.1,218.15,4632764
