date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,730,747,720.5,740.1,56648
2022-01-04 00:00:00+05:30,744.7,754.7,734,736.05,41732
2022-01-05 00:00:00+05:30,738,762,727.8,747.6,84913
2022-01-06 00:00:00+05:30,740,778.4,724.15,761.75,109683
2022-01-07 00:00:00+05:30,765.5,768.55,743.95,752.25,56428
2022-01-10 00:00:00+05:30,751.75,770,651.6,664.5,478199
2022-01-11 00:00:00+05:30,655.15,659.95,635,636.9,264705
2022-01-12 00:00:00+05:30,626.5,644,599.8,602.9,239978
2022-01-13 00:00:00+05:30,579.2,579.2,531,542.85,984445
2022-01-14 00:00:00+05:30,540,568.45,539.2,557.1,251142
2022-01-17 00:00:00+05:30,559,595.85,559,590.85,354002
2022-01-18 00:00:00+05:30,609,612.8,596.4,598.15,257026
2022-01-19 00:00:00+05:30,599.7,602.95,581.1,586.45,100937
2022-01-20 00:00:00+05:30,581,597.85,575.35,582.65,87448
2022-01-21 00:00:00+05:30,576,580,565.8,568.7,65033
2022-01-24 00:00:00+05:30,584.75,585.5,523.05,539,145091
2022-01-25 00:00:00+05:30,534.8,554.6,515,537.7,101046
2022-01-27 00:00:00+05:30,533,540,522.05,531.05,62524
2022-01-28 00:00:00+05:30,537,550.8,536.2,541.85,77568
2022-01-31 00:00:00+05:30,546.55,550,538,538.75,58605
2022-02-01 00:00:00+05:30,542,544.05,525,528.25,68421
2022-02-02 00:00:00+05:30,533,551.85,533,548.15,67395
2022-02-03 00:00:00+05:30,566,574.95,555.25,563.8,84942
2022-02-04 00:00:00+05:30,566,568,553,555.5,50382
2022-02-07 00:00:00+05:30,557.5,564.95,541.85,543.65,44397
2022-02-08 00:00:00+05:30,545,549.35,529.5,533.35,50499
2022-02-09 00:00:00+05:30,538.65,548,532,534.2,31831
2022-02-10 00:00:00+05:30,539.2,539.45,524.9,527.05,59281
2022-02-11 00:00:00+05:30,526,530.95,521,521.75,29326
2022-02-14 00:00:00+05:30,514,515.65,497.25,501.15,54795
2022-02-15 00:00:00+05:30,520,520,487.6,502.25,73943
2022-02-16 00:00:00+05:30,505,520.95,505,511.4,64416
2022-02-17 00:00:00+05:30,519.2,519.2,503.1,505.75,29088
2022-02-18 00:00:00+05:30,504.7,506,497.15,504.1,42233
2022-02-21 00:00:00+05:30,503.9,504.85,489.9,500.5,52066
2022-02-22 00:00:00+05:30,475,506.55,472.9,489.65,66041
2022-02-23 00:00:00+05:30,492,498.75,487.1,489.05,27418
2022-02-24 00:00:00+05:30,485,485,440.05,445.7,91119
2022-02-25 00:00:00+05:30,460,475,459.1,471.85,81295
2022-02-28 00:00:00+05:30,470,487,464.5,483.55,64578
2022-03-02 00:00:00+05:30,481.55,489.8,475,485.55,45874
2022-03-03 00:00:00+05:30,489.8,494.6,485.15,488.65,58482
2022-03-04 00:00:00+05:30,494.55,494.55,474.1,478.85,55555
2022-03-07 00:00:00+05:30,473,473.85,461.2,469.45,65345
2022-03-08 00:00:00+05:30,469,480,464.15,478.65,45712
2022-03-09 00:00:00+05:30,479.9,515,479.9,511.75,76562
2022-03-10 00:00:00+05:30,521,522.25,504,508.85,64423
2022-03-11 00:00:00+05:30,501.2,517.8,495.5,499.35,56387
2022-03-14 00:00:00+05:30,500.05,505.75,483.3,496.15,70346
2022-03-15 00:00:00+05:30,500,519.5,494.1,503.05,94311
2022-03-16 00:00:00+05:30,518,539.95,510,524.35,223358
2022-03-17 00:00:00+05:30,535,535,525.65,530.55,78490
2022-03-21 00:00:00+05:30,535,550,530.2,541.3,84783
2022-03-22 00:00:00+05:30,541.3,544.5,526,533.95,80591
2022-03-23 00:00:00+05:30,534,541.75,523,525.2,52479
2022-03-24 00:00:00+05:30,524,529.5,509.5,511.9,64811
2022-03-25 00:00:00+05:30,512.15,519.15,504.45,506.45,67325
2022-03-28 00:00:00+05:30,506.45,509,495,497.25,72434
2022-03-29 00:00:00+05:30,500,507,495.1,497.85,64740
2022-03-30 00:00:00+05:30,498.4,516.9,498.4,505.5,59402
2022-03-31 00:00:00+05:30,513.95,514.8,486.7,487.85,83596
2022-04-01 00:00:00+05:30,492,533.9,489.1,523.95,132710
2022-04-04 00:00:00+05:30,524,546.35,519.8,535.85,117518
2022-04-05 00:00:00+05:30,543,565,536.75,560.2,125376
2022-04-06 00:00:00+05:30,563.1,564.9,545,547.7,68727
2022-04-07 00:00:00+05:30,548,553,529.3,532.5,57790
2022-04-08 00:00:00+05:30,537.4,571,537.4,564.7,149952
