date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,519.85,529.9,518.25,524.8,210355
2022-01-04 00:00:00+05:30,529.85,534,524.25,531.7,86272
2022-01-05 00:00:00+05:30,530,537.95,527,528.75,60617
2022-01-06 00:00:00+05:30,525.2,528.85,522.6,525.6,60122
2022-01-07 00:00:00+05:30,529,534.3,518.5,522.55,95989
2022-01-10 00:00:00+05:30,527.5,528.9,522.6,527.55,72105
2022-01-11 00:00:00+05:30,528.5,536.85,526.75,531.9,97795
2022-01-12 00:00:00+05:30,535.8,547.7,533.95,542.8,161987
2022-01-13 00:00:00+05:30,545,548.6,538.5,540.85,63589
2022-01-14 00:00:00+05:30,541,553.3,535.4,550.35,110163
2022-01-17 00:00:00+05:30,555,561.35,545,547.6,126917
2022-01-18 00:00:00+05:30,550,550.35,532.25,536.65,47348
2022-01-19 00:00:00+05:30,536.65,536.65,523.65,531.6,64988
2022-01-20 00:00:00+05:30,534.3,534.9,521.1,523.35,293201
2022-01-21 00:00:00+05:30,523,528.9,517,520.65,90979
2022-01-24 00:00:00+05:30,527.45,527.45,497.75,502.2,123719
2022-01-25 00:00:00+05:30,504.75,523.8,493.3,519.85,133082
2022-01-27 00:00:00+05:30,516.5,525.5,506.1,519.3,120462
2022-01-28 00:00:00+05:30,521.9,538.1,521.9,535.4,113973
2022-01-31 00:00:00+05:30,538,540,530,534.95,251729
2022-02-01 00:00:00+05:30,537.65,545,523.5,524.85,148700
2022-02-02 00:00:00+05:30,530,533.85,522,523.6,369395
2022-02-03 00:00:00+05:30,526.55,530,521.55,527.3,69276
2022-02-04 00:00:00+05:30,525,530.75,517,520.45,70090
2022-02-07 00:00:00+05:30,517,517.5,505,507.8,129246
2022-02-08 00:00:00+05:30,513.5,513.5,502,506.5,51990
2022-02-09 00:00:00+05:30,506.5,511,504.6,507.4,41671
2022-02-10 00:00:00+05:30,512,512,505,507,41216
2022-02-11 00:00:00+05:30,505,507.5,498.5,500.75,73322
2022-02-14 00:00:00+05:30,500,500,487.95,492.25,70080
2022-02-15 00:00:00+05:30,494.75,505.4,482.25,493.4,82871
2022-02-16 00:00:00+05:30,496,501,488,490.4,104510
2022-02-17 00:00:00+05:30,497.95,497.95,485,489,71819
2022-02-18 00:00:00+05:30,492.5,492.5,482,488.1,63902
2022-02-21 00:00:00+05:30,483.35,488,477.5,482.1,48183
2022-02-22 00:00:00+05:30,477,477.85,472.65,475,55803
2022-02-23 00:00:00+05:30,475.5,488.7,475.5,483.35,34647
2022-02-24 00:00:00+05:30,474,477.5,460,465.4,120895
2022-02-25 00:00:00+05:30,466.55,480.9,466,470.65,54903
2022-02-28 00:00:00+05:30,467.9,469.25,457.55,464.35,64654
2022-03-02 00:00:00+05:30,464.9,489.25,464.85,485,96559
2022-03-03 00:00:00+05:30,492,503.95,486.7,500,127745
2022-03-04 00:00:00+05:30,500.05,505,480.25,483.6,97990
2022-03-07 00:00:00+05:30,479.6,487.9,466.25,472.3,81198
2022-03-08 00:00:00+05:30,474,492,472,485.3,141594
2022-03-09 00:00:00+05:30,490,500,482,485,419076
2022-03-10 00:00:00+05:30,495,496.6,483,483.5,141256
2022-03-11 00:00:00+05:30,483.5,487.15,481.55,482.45,84433
2022-03-14 00:00:00+05:30,483,488,480.5,481.65,91359
2022-03-15 00:00:00+05:30,483.7,483.7,472.6,474.75,96750
2022-03-16 00:00:00+05:30,477.15,482.7,473.5,474.85,85317
2022-03-17 00:00:00+05:30,479.85,482.05,475.25,477,101304
2022-03-21 00:00:00+05:30,484.85,484.85,471.4,472.05,174467
2022-03-22 00:00:00+05:30,470.1,474,460.8,464.8,129451
2022-03-23 00:00:00+05:30,466.95,469.45,458,459.4,120878
2022-03-24 00:00:00+05:30,461,463.9,458.2,460.55,100675
2022-03-25 00:00:00+05:30,463.8,464,458.55,459.7,101549
2022-03-28 00:00:00+05:30,459.05,461.85,450.5,453.8,134893
2022-03-29 00:00:00+05:30,459.6,459.6,443.8,444.8,175754
2022-03-30 00:00:00+05:30,442,451.05,442,447.55,305832
2022-03-31 00:00:00+05:30,450,452,441,442.15,295815
2022-04-01 00:00:00+05:30,442.15,461.9,442.15,459,293396
2022-04-04 00:00:00+05:30,464.5,550.8,462,545.9,3700249
2022-04-05 00:00:00+05:30,552.9,552.9,528.5,533.8,1281544
2022-04-06 00:00:00+05:30,533.9,546,529,531.55,470218
2022-04-07 00:00:00+05:30,539.8,539.85,520.25,522.75,177453
2022-04-08 00:00:00+05:30,527,534,510,510.9,461004
