date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,1886.75,1914.4,1875,1903.6,664397
2022-01-04 00:00:00+05:30,1919.55,1919.55,1872.25,1890.3,458510
2022-01-05 00:00:00+05:30,1890,1928.95,1870,1920.7,586019
2022-01-06 00:00:00+05:30,1909.95,1910,1876.75,1903.55,527766
2022-01-07 00:00:00+05:30,1910,1932.4,1885,1891.5,572626
2022-01-10 00:00:00+05:30,1901.8,1947,1901.8,1921.5,585189
2022-01-11 00:00:00+05:30,1923,1948.5,1906.6,1913.25,890137
2022-01-12 00:00:00+05:30,1930,1988.4,1926.85,1956.1,1102410
2022-01-13 00:00:00+05:30,1957.95,1957.95,1912.2,1929.9,435700
2022-01-14 00:00:00+05:30,1920,1969.65,1906.05,1964.35,1012320
2022-01-17 00:00:00+05:30,1964.95,1989.9,1938,1977.95,798294
2022-01-18 00:00:00+05:30,1983,2012.5,1894.8,1903.05,1230549
2022-01-19 00:00:00+05:30,1898,1898,1820.4,1851.2,1249679
2022-01-20 00:00:00+05:30,1860.5,1879.45,1842.5,1867,525825
2022-01-21 00:00:00+05:30,1850,1858,1776.7,1798.85,598677
2022-01-24 00:00:00+05:30,1798.85,1800,1627,1655.9,1351199
2022-01-25 00:00:00+05:30,1644,1648.5,1560.5,1638.95,3330806
2022-01-27 00:00:00+05:30,1624.1,1624.1,1548,1609.95,1505371
2022-01-28 00:00:00+05:30,1630,1705.75,1620.15,1632.1,1100713
2022-01-31 00:00:00+05:30,1659,1725,1656.7,1715.15,1147207
2022-02-01 00:00:00+05:30,1749.85,1761,1687.3,1721.5,1555314
2022-02-02 00:00:00+05:30,1736,1786.8,1727,1782.2,966243
2022-02-03 00:00:00+05:30,1784.9,1792,1651.7,1667.85,3044456
2022-02-04 00:00:00+05:30,1501.1,1574.8,1500.1,1506.9,8765781
2022-02-07 00:00:00+05:30,1590.25,1609.7,1532.15,1561.55,5441200
2022-02-08 00:00:00+05:30,1570,1579.95,1520,1551.2,1668512
2022-02-09 00:00:00+05:30,1560,1564,1537.95,1547.15,1037914
2022-02-10 00:00:00+05:30,1556.65,1585,1542,1576.7,1150733
2022-02-11 00:00:00+05:30,1569.9,1580.8,1532.25,1560.45,1067208
2022-02-14 00:00:00+05:30,1535,1550,1459,1472.2,1471403
2022-02-15 00:00:00+05:30,1496.9,1562.05,1481.1,1554.3,1533031
2022-02-16 00:00:00+05:30,1560,1628,1560,1586.9,2687484
2022-02-17 00:00:00+05:30,1598,1612,1585,1606.25,959332
2022-02-18 00:00:00+05:30,1600,1616.65,1562.55,1569,929886
2022-02-21 00:00:00+05:30,1565,1599.45,1537.35,1587.2,944807
2022-02-22 00:00:00+05:30,1546.95,1583.7,1530,1556.45,785725
2022-02-23 00:00:00+05:30,1570,1609,1567,1596.85,949354
2022-02-24 00:00:00+05:30,1520.2,1548,1443,1451.3,1788534
2022-02-25 00:00:00+05:30,1500,1533.35,1457.85,1471.45,1792611
2022-02-28 00:00:00+05:30,1465,1510.7,1432,1502.15,1440261
2022-03-02 00:00:00+05:30,1507,1519.5,1481.1,1504.7,1473991
2022-03-03 00:00:00+05:30,1529.25,1561.95,1516.35,1539.6,1654795
2022-03-04 00:00:00+05:30,1520,1532.8,1443.45,1466.3,1542081
2022-03-07 00:00:00+05:30,1429,1429,1350.55,1374.8,1588956
2022-03-08 00:00:00+05:30,1374,1429,1368,1424.25,1053313
2022-03-09 00:00:00+05:30,1438,1480,1425,1467.3,884502
2022-03-10 00:00:00+05:30,1519,1519,1475.55,1484,893869
2022-03-11 00:00:00+05:30,1480,1501.95,1471,1492.8,570819
2022-03-14 00:00:00+05:30,1500,1504,1467.9,1487.35,509386
2022-03-15 00:00:00+05:30,1494.8,1536.9,1462,1470.95,1619139
2022-03-16 00:00:00+05:30,1490.75,1534.75,1490,1526.35,972762
2022-03-17 00:00:00+05:30,1549,1604.2,1545,1596.4,1652040
2022-03-21 00:00:00+05:30,1609.75,1639.7,1601.45,1607.8,1206242
2022-03-22 00:00:00+05:30,1607,1607,1545.25,1578.95,872990
2022-03-23 00:00:00+05:30,1580,1611,1551.15,1558.5,1008556
2022-03-24 00:00:00+05:30,1548,1574.45,1533.2,1569.65,790580
2022-03-25 00:00:00+05:30,1583.8,1635.5,1575.15,1622.95,1786135
2022-03-28 00:00:00+05:30,1631.55,1651.35,1598.2,1628.95,1374928
2022-03-29 00:00:00+05:30,1637,1664,1626.9,1632.3,879939
2022-03-30 00:00:00+05:30,1647.9,1676.95,1642.6,1665.6,715374
2022-03-31 00:00:00+05:30,1685,1685,1657.55,1672.2,822933
2022-04-01 00:00:00+05:30,1673.2,1698,1670,1692.15,617371
2022-04-04 00:00:00+05:30,1700.65,1715.15,1658.3,1681.75,878744
2022-04-05 00:00:00+05:30,1689,1693.35,1665,1672.05,611044
2022-04-06 00:00:00+05:30,1665,1690,1659,1681.65,511082
2022-04-07 00:00:00+05:30,1690.1,1699,1662,1666.85,682723
2022-04-08 00:00:00+05:30,1680,1682.5,1658.3,1665.25,377738
