date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,81.25,84.95,80.3,84.05,67144
2022-01-04 00:00:00+05:30,84.05,84.35,81.35,83,30225
2022-01-05 00:00:00+05:30,83.9,85.9,81,84.4,63143
2022-01-06 00:00:00+05:30,84.8,84.8,82.1,83.45,18987
2022-01-07 00:00:00+05:30,84.45,84.5,82.2,82.9,19036
2022-01-10 00:00:00+05:30,82.9,84.45,82.55,82.8,14949
2022-01-11 00:00:00+05:30,82.75,83.5,81.3,82.55,16074
2022-01-12 00:00:00+05:30,83,83.05,81,81.45,24773
2022-01-13 00:00:00+05:30,83.9,83.9,81.05,81.85,23150
2022-01-14 00:00:00+05:30,82,82.7,80.6,81.5,18932
2022-01-17 00:00:00+05:30,81.15,82.8,80.5,81.45,17637
2022-01-18 00:00:00+05:30,84.45,84.45,80.35,80.95,26655
2022-01-19 00:00:00+05:30,80.05,80.95,77.55,79.2,20862
2022-01-20 00:00:00+05:30,78.95,86.7,78.45,80.9,204413
2022-01-21 00:00:00+05:30,80,82.7,78.5,78.7,47738
2022-01-24 00:00:00+05:30,78,78.75,75,77.1,39041
2022-01-25 00:00:00+05:30,75,80.75,73.85,78.45,33527
2022-01-27 00:00:00+05:30,77,80,75.3,78.8,19430
2022-01-28 00:00:00+05:30,82.4,82.4,78.1,79.35,23104
2022-01-31 00:00:00+05:30,82.55,82.55,76.35,79.35,35950
2022-02-01 00:00:00+05:30,79.5,82.95,79.35,81.25,51852
2022-02-02 00:00:00+05:30,81.55,92.6,81.25,90.1,486751
2022-02-03 00:00:00+05:30,91.2,95,89.1,90.4,394304
2022-02-04 00:00:00+05:30,90.95,91.75,87.1,89,131648
2022-02-07 00:00:00+05:30,90.8,92.1,84.85,87.35,96932
2022-02-08 00:00:00+05:30,90,90.55,83.5,87.95,80409
2022-02-09 00:00:00+05:30,89.8,89.8,83.5,84.3,43088
2022-02-10 00:00:00+05:30,83.25,85.4,83.25,84.25,19958
2022-02-11 00:00:00+05:30,84.2,87,78.9,81,67851
2022-02-14 00:00:00+05:30,86,86.45,76.85,78.5,107265
2022-02-15 00:00:00+05:30,78,82.3,76.5,81.3,42365
2022-02-16 00:00:00+05:30,83.8,83.8,80.05,81.4,58362
2022-02-17 00:00:00+05:30,81.45,82,80,80.3,10604
2022-02-18 00:00:00+05:30,81.45,81.45,79,79.15,10795
2022-02-21 00:00:00+05:30,79,79.35,74,75.25,35598
2022-02-22 00:00:00+05:30,72.55,74.35,70.95,72.2,34599
2022-02-23 00:00:00+05:30,72,78.6,72,77.1,55189
2022-02-24 00:00:00+05:30,75,75,70.1,70.15,60091
2022-02-25 00:00:00+05:30,71.4,75.55,71.4,73.6,19243
2022-02-28 00:00:00+05:30,73,76.3,71.55,72.65,30347
2022-03-02 00:00:00+05:30,72.65,73.4,70.5,71.4,13778
2022-03-03 00:00:00+05:30,74.7,74.7,72,72.15,6456
2022-03-04 00:00:00+05:30,71,73.5,70.55,71.6,15774
2022-03-07 00:00:00+05:30,71,71.3,67.5,67.85,35904
2022-03-08 00:00:00+05:30,70.95,70.95,68,69.55,13757
2022-03-09 00:00:00+05:30,71.65,72.3,69.5,72.05,10332
2022-03-10 00:00:00+05:30,74.8,76.2,71,72.05,21028
2022-03-11 00:00:00+05:30,72.05,73,71,72.1,8826
2022-03-14 00:00:00+05:30,72.1,73.95,71.25,71.95,9966
2022-03-15 00:00:00+05:30,72,73.15,71.15,71.5,16149
2022-03-16 00:00:00+05:30,72.5,72.5,71,71.45,9798
2022-03-17 00:00:00+05:30,72.5,73.5,71.6,72.45,8382
2022-03-21 00:00:00+05:30,73.4,73.65,72.5,72.9,8581
2022-03-22 00:00:00+05:30,73.45,74.2,71.5,73.45,18107
2022-03-23 00:00:00+05:30,73.45,76.8,72.55,75.05,61815
2022-03-24 00:00:00+05:30,82.4,86.9,77.1,77.85,446228
2022-03-25 00:00:00+05:30,79.4,79.4,74.1,75.85,63175
2022-03-28 00:00:00+05:30,75.85,82.5,75.55,79.75,59944
2022-03-29 00:00:00+05:30,80,81.45,77.5,77.75,20260
2022-03-30 00:00:00+05:30,78.15,80.85,75.35,77.2,18560
2022-03-31 00:00:00+05:30,79.7,79.7,74.75,75.05,58060
2022-04-01 00:00:00+05:30,74.9,77.6,74.9,76.4,15170
2022-04-04 00:00:00+05:30,78.7,79.05,76.5,77.65,26997
2022-04-05 00:00:00+05:30,77.65,78.9,76.2,77.2,37140
2022-04-06 00:00:00+05:30,77,80,76.25,79.35,42346
2022-04-07 00:00:00+05:30,79,79,76.45,77.75,23011
2022-04-08 00:00:00+05:30,80,82,79,80.2,64370
