date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,42.75,44.95,42.1,44.3,190811
2022-01-04 00:00:00+05:30,44.4,44.9,43.6,43.95,97131
2022-01-05 00:00:00+05:30,43.25,45.2,43.1,44.1,166450
2022-01-06 00:00:00+05:30,43.8,45,43,44.15,117574
2022-01-07 00:00:00+05:30,44.5,50.9,43.75,48.8,1881181
2022-01-10 00:00:00+05:30,49.15,49.8,47.5,48.55,457695
2022-01-11 00:00:00+05:30,48.1,50.5,48.1,48.75,384292
2022-01-12 00:00:00+05:30,48.75,50.85,48.55,49.5,355763
2022-01-13 00:00:00+05:30,49.55,50,48.55,48.7,150470
2022-01-14 00:00:00+05:30,48.85,50.7,48.45,50.1,320761
2022-01-17 00:00:00+05:30,50.9,50.9,49.2,49.9,193702
2022-01-18 00:00:00+05:30,50.8,50.8,47.25,47.75,195031
2022-01-19 00:00:00+05:30,47.4,48.05,46.8,47.2,107099
2022-01-20 00:00:00+05:30,47.4,48.5,47.3,48.1,71861
2022-01-21 00:00:00+05:30,48,48.15,46.4,46.7,87692
2022-01-24 00:00:00+05:30,47.6,47.6,44.15,44.7,104281
2022-01-25 00:00:00+05:30,43.6,45.9,43.5,45.15,73158
2022-01-27 00:00:00+05:30,44.9,45.7,44.2,44.7,57646
2022-01-28 00:00:00+05:30,45,51.3,45,49.4,809491
2022-01-31 00:00:00+05:30,50.5,50.5,47.2,48.25,207679
2022-02-01 00:00:00+05:30,48.25,49.25,47.2,47.55,201032
2022-02-02 00:00:00+05:30,48.5,49,48,48.55,147435
2022-02-03 00:00:00+05:30,48.95,49.25,48,48.4,81163
2022-02-04 00:00:00+05:30,48.85,49.2,47.95,48.05,67305
2022-02-07 00:00:00+05:30,50.8,51.05,48.85,49.2,438236
2022-02-08 00:00:00+05:30,49.1,49.8,47.3,47.9,92021
2022-02-09 00:00:00+05:30,47.9,48.65,46.35,46.6,72687
2022-02-10 00:00:00+05:30,47,47.45,46.05,46.45,57372
2022-02-11 00:00:00+05:30,46.05,46.2,45,45.4,54298
2022-02-14 00:00:00+05:30,44.6,44.75,43.05,43.45,76292
2022-02-15 00:00:00+05:30,43.05,44.8,43,44.45,51412
2022-02-16 00:00:00+05:30,45,45.4,44.2,44.4,49265
2022-02-17 00:00:00+05:30,44.4,45.05,44,44.1,38640
2022-02-18 00:00:00+05:30,43.95,44.25,43,43.25,63452
2022-02-21 00:00:00+05:30,42.75,43,41.6,41.85,54096
2022-02-22 00:00:00+05:30,40.05,43,40,41.2,97446
2022-02-23 00:00:00+05:30,41,42.65,40.8,41.1,56856
2022-02-24 00:00:00+05:30,39.85,40.5,37.2,37.75,149783
2022-02-25 00:00:00+05:30,38.5,41.5,38.5,40.85,101968
2022-02-28 00:00:00+05:30,41,41.45,39.6,41.05,43947
2022-03-02 00:00:00+05:30,40.25,41.25,39.65,39.85,91785
2022-03-03 00:00:00+05:30,40.1,41.95,39.6,39.75,154580
2022-03-04 00:00:00+05:30,39,40.4,39,39.85,66350
2022-03-07 00:00:00+05:30,39.5,39.5,38.2,38.9,56036
2022-03-08 00:00:00+05:30,39.9,39.9,38.3,38.9,82077
2022-03-09 00:00:00+05:30,39.75,40.85,39.2,40,173725
2022-03-10 00:00:00+05:30,41,43,41,41.5,95461
2022-03-11 00:00:00+05:30,41.5,41.7,40.55,40.9,86366
2022-03-14 00:00:00+05:30,41.45,41.6,40.6,41.4,65886
2022-03-15 00:00:00+05:30,41.4,42.2,41,41.05,90290
2022-03-16 00:00:00+05:30,42.25,43.6,41.3,42.7,180743
2022-03-17 00:00:00+05:30,43.35,43.5,42.3,42.4,88631
2022-03-21 00:00:00+05:30,42.5,43,40.5,41.5,134387
2022-03-22 00:00:00+05:30,41.9,41.9,41,41.4,69981
2022-03-23 00:00:00+05:30,41.9,42.05,40.8,41,84819
2022-03-24 00:00:00+05:30,41,41.5,40.3,40.75,59759
2022-03-25 00:00:00+05:30,40.65,41.3,40.65,40.75,72776
2022-03-28 00:00:00+05:30,40.75,41,39.3,39.45,156919
2022-03-29 00:00:00+05:30,40,40.5,39.3,39.5,168971
2022-03-30 00:00:00+05:30,40.25,41.35,39.55,40.25,182622
2022-03-31 00:00:00+05:30,40.3,41.45,39.5,39.9,144239
2022-04-01 00:00:00+05:30,40.5,41.45,39.9,41.3,138278
2022-04-04 00:00:00+05:30,41.5,42.7,41.15,42.1,199277
2022-04-05 00:00:00+05:30,42.5,43.45,42.1,42.6,172588
2022-04-06 00:00:00+05:30,42.15,47.4,42.1,45.7,1037133
2022-04-07 00:00:00+05:30,46.4,46.4,44,44.3,171782
2022-04-08 00:00:00+05:30,44.65,46.35,43.6,45.4,172804
