date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,205,207.65,201.95,205.15,7389
2022-01-04 00:00:00+05:30,207,217.85,203.8,216.25,21516
2022-01-05 00:00:00+05:30,217.75,224.7,215.9,218.9,15815
2022-01-06 00:00:00+05:30,219.4,221.45,213.4,215.5,6970
2022-01-07 00:00:00+05:30,218.4,219.95,214.3,217.8,6222
2022-01-10 00:00:00+05:30,219,232.05,219,230.05,35044
2022-01-11 00:00:00+05:30,236,236,225.1,226,22068
2022-01-12 00:00:00+05:30,234.7,234.7,225.3,229.4,11288
2022-01-13 00:00:00+05:30,233,233,225.25,226.85,3525
2022-01-14 00:00:00+05:30,226.85,229.45,221.6,224.35,4488
2022-01-17 00:00:00+05:30,230,230,220.25,222.15,6221
2022-01-18 00:00:00+05:30,222.15,227.45,216.5,217.85,11597
2022-01-19 00:00:00+05:30,226,226,216.75,218.75,4586
2022-01-20 00:00:00+05:30,223.95,226.55,215.4,221.35,6972
2022-01-21 00:00:00+05:30,220,225.35,220,221.75,4935
2022-01-24 00:00:00+05:30,228.95,228.95,210.05,210.9,4159
2022-01-25 00:00:00+05:30,210.35,221.95,204.35,214.3,6896
2022-01-27 00:00:00+05:30,221,221,214.75,219.15,8617
2022-01-28 00:00:00+05:30,223,227.95,212,224.05,6648
2022-01-31 00:00:00+05:30,222.05,228,222.05,224.45,5634
2022-02-01 00:00:00+05:30,225.95,226.1,217.6,218.7,3000
2022-02-02 00:00:00+05:30,218.6,244.05,218.6,234.1,47762
2022-02-03 00:00:00+05:30,234.9,237.95,223.1,230.05,15378
2022-02-04 00:00:00+05:30,230.5,235,224.05,225.95,6532
2022-02-07 00:00:00+05:30,226,226,217.65,218.85,4901
2022-02-08 00:00:00+05:30,218.8,233.85,218,227.1,15123
2022-02-09 00:00:00+05:30,237,237,223.1,224.75,3801
2022-02-10 00:00:00+05:30,225.95,235.5,220.45,229.4,13814
2022-02-11 00:00:00+05:30,228,230.1,224,226.8,4325
2022-02-14 00:00:00+05:30,220.1,221,210,211.15,10979
2022-02-15 00:00:00+05:30,216.9,216.9,208.15,215.4,4046
2022-02-16 00:00:00+05:30,227.05,228.1,221.1,226.75,15426
2022-02-17 00:00:00+05:30,233.95,233.95,223.1,226.95,8325
2022-02-18 00:00:00+05:30,233,233,222.25,223.7,4373
2022-02-21 00:00:00+05:30,224.6,224.6,217.55,218.5,5037
2022-02-22 00:00:00+05:30,217,217,214,215.7,3331
2022-02-23 00:00:00+05:30,218,224.95,214,214.9,1771
2022-02-24 00:00:00+05:30,208,211.4,201.15,205.15,6637
2022-02-25 00:00:00+05:30,214.95,216.85,207.25,210.1,1959
2022-02-28 00:00:00+05:30,208.1,213.95,206,209.15,2554
2022-03-02 00:00:00+05:30,209.15,215.6,203.15,208.45,1527
2022-03-03 00:00:00+05:30,217,217,206.3,207.9,6493
2022-03-04 00:00:00+05:30,210,210,202.6,205.1,2015
2022-03-07 00:00:00+05:30,208.7,208.7,200.1,203.65,3904
2022-03-08 00:00:00+05:30,206,220.95,203.1,215.05,12864
2022-03-09 00:00:00+05:30,211.2,221.8,211.15,212.55,4663
2022-03-10 00:00:00+05:30,215.05,215.05,209.2,210.25,2022
2022-03-11 00:00:00+05:30,209.7,217.8,209.7,214.9,2324
2022-03-14 00:00:00+05:30,220.8,222.75,216,217.85,5429
2022-03-15 00:00:00+05:30,220,220.25,212.2,214.85,2155
2022-03-16 00:00:00+05:30,219.75,219.75,215.3,216.65,1318
2022-03-17 00:00:00+05:30,217.75,220.65,209.2,213.9,13440
2022-03-21 00:00:00+05:30,214.85,214.95,209.1,209.85,2915
2022-03-22 00:00:00+05:30,211.9,211.95,208,209.75,3511
2022-03-23 00:00:00+05:30,209.5,215,199,203.7,13157
2022-03-24 00:00:00+05:30,206.9,207.3,198.7,201.4,17330
2022-03-25 00:00:00+05:30,200.6,217.25,200,216.6,87924
2022-03-28 00:00:00+05:30,221,222,210.3,212.65,9598
2022-03-29 00:00:00+05:30,212.65,215.95,207.05,207.75,6139
2022-03-30 00:00:00+05:30,211.65,211.8,205.2,207.65,73868
2022-03-31 00:00:00+05:30,213.6,213.6,207.05,207.35,3235
2022-04-01 00:00:00+05:30,205.25,211.8,205.25,209.95,3534
2022-04-04 00:00:00+05:30,207.45,215.05,206.2,213.3,5720
2022-04-05 00:00:00+05:30,211.55,214.15,209.25,210.1,4312
2022-04-06 00:00:00+05:30,213.9,215.1,208,211.3,9641
2022-04-07 00:00:00+05:30,214.2,214.2,209.4,210.7,2482
2022-04-08 00:00:00+05:30,213.75,214.75,208.7,211.75,4710
