date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,1277,1279.95,1257.65,1262.15,43367
2022-01-04 00:00:00+05:30,1262.25,1269.95,1250,1256,17472
2022-01-05 00:00:00+05:30,1267,1283.55,1235.25,1245.1,27032
2022-01-06 00:00:00+05:30,1255.55,1259.4,1230,1236,22694
2022-01-07 00:00:00+05:30,1236,1245.55,1230,1234.7,17673
2022-01-10 00:00:00+05:30,1235,1239.75,1210,1216.3,35281
2022-01-11 00:00:00+05:30,1225,1230,1200.35,1214.45,18373
2022-01-12 00:00:00+05:30,1229,1232.8,1214.15,1224.85,24481
2022-01-13 00:00:00+05:30,1235,1235,1214.45,1228.65,16293
2022-01-14 00:00:00+05:30,1224.85,1238.5,1216.65,1223.9,21747
2022-01-17 00:00:00+05:30,1234,1234,1220.3,1224.3,12420
2022-01-18 00:00:00+05:30,1232,1232,1202.05,1209.1,14875
2022-01-19 00:00:00+05:30,1209,1209,1176.45,1189,22434
2022-01-20 00:00:00+05:30,1194,1219,1126.2,1190.05,90998
2022-01-21 00:00:00+05:30,1155.55,1164,1130,1145.95,32572
2022-01-24 00:00:00+05:30,1132,1154,1050,1098.95,46999
2022-01-25 00:00:00+05:30,1078.95,1090,1022.75,1034.35,72231
2022-01-27 00:00:00+05:30,1030,1040,991,1009.75,45923
2022-01-28 00:00:00+05:30,1024.9,1110,1022.75,1058.9,70133
2022-01-31 00:00:00+05:30,1060,1078.45,1018.2,1022,36731
2022-02-01 00:00:00+05:30,1022,1200,1022,1165.7,405396
2022-02-02 00:00:00+05:30,1170,1209,1121.5,1150.35,330371
2022-02-03 00:00:00+05:30,1147,1147,1102.25,1114.65,46887
2022-02-04 00:00:00+05:30,1113,1144,1070.35,1085,59382
2022-02-07 00:00:00+05:30,1082.5,1173.05,1082.45,1134.4,158256
2022-02-08 00:00:00+05:30,1130,1189,1125,1141.3,178711
2022-02-09 00:00:00+05:30,1145.15,1168.85,1135,1145.05,66803
2022-02-10 00:00:00+05:30,1133,1164.95,1133,1151.5,24858
2022-02-11 00:00:00+05:30,1166,1166,1140,1146.15,19275
2022-02-14 00:00:00+05:30,1133,1139.1,1097.15,1100.5,22961
2022-02-15 00:00:00+05:30,1107.95,1124,1087,1117.1,15853
2022-02-16 00:00:00+05:30,1145,1147.95,1127.6,1140.1,17734
2022-02-17 00:00:00+05:30,1141.6,1154,1101,1110.55,23547
2022-02-18 00:00:00+05:30,1111,1140.95,1098.3,1112.65,24187
2022-02-21 00:00:00+05:30,1110,1110,1052.9,1065.55,30771
2022-02-22 00:00:00+05:30,1041,1135,1031.6,1117.95,241769
2022-02-23 00:00:00+05:30,1107,1123.8,1079.8,1095.3,33134
2022-02-24 00:00:00+05:30,1082,1107.5,1052.3,1077.5,92814
2022-02-25 00:00:00+05:30,1070,1117,1070,1104.65,31935
2022-02-28 00:00:00+05:30,1090,1104.6,1071.05,1091.6,12014
2022-03-02 00:00:00+05:30,1097.3,1124,1086.35,1111,30496
2022-03-03 00:00:00+05:30,1116.8,1125,1076.65,1088.45,18825
2022-03-04 00:00:00+05:30,1100,1120,1077.1,1086.85,43493
2022-03-07 00:00:00+05:30,1050,1119,1045.15,1084.8,25275
2022-03-08 00:00:00+05:30,1065.2,1091.35,1051.8,1056.85,40094
2022-03-09 00:00:00+05:30,1084,1095,1058.9,1068.25,64537
2022-03-10 00:00:00+05:30,1088,1088,1063.25,1072.15,12476
2022-03-11 00:00:00+05:30,1066.8,1094,1063.45,1089.75,23231
2022-03-14 00:00:00+05:30,1099,1237,1091.85,1205.9,311769
2022-03-15 00:00:00+05:30,1190,1220.1,1159.6,1165.3,75290
2022-03-16 00:00:00+05:30,1209,1209,1150.35,1202.25,69735
2022-03-17 00:00:00+05:30,1202.5,1225,1170.5,1192.3,77739
2022-03-21 00:00:00+05:30,1215,1222,1188.15,1201.6,41262
2022-03-22 00:00:00+05:30,1202,1204.2,1178.75,1196.05,16685
2022-03-23 00:00:00+05:30,1196.05,1204.8,1156.55,1170.4,148282
2022-03-24 00:00:00+05:30,1155,1163.05,1112.8,1131.3,46585
2022-03-25 00:00:00+05:30,1141,1141,1110.1,1124.4,30490
2022-03-28 00:00:00+05:30,1124.4,1124.4,1083.7,1095.9,38298
2022-03-29 00:00:00+05:30,1095.9,1109.75,1085.15,1096.7,38168
2022-03-30 00:00:00+05:30,1096.7,1122.5,1070.5,1081.1,69111
2022-03-31 00:00:00+05:30,1097.9,1097.9,1062,1072,32092
2022-04-01 00:00:00+05:30,1078.9,1086.85,1068.1,1081.2,28808
2022-04-04 00:00:00+05:30,1082,1131.2,1060,1105.4,125326
2022-04-05 00:00:00+05:30,1115.4,1130.95,1102.3,1108.05,41443
2022-04-06 00:00:00+05:30,1114.8,1145,1103.5,1110,55278
2022-04-07 00:00:00+05:30,1118.7,1118.75,1086.6,1097.15,28201
2022-04-08 00:00:00+05:30,1108,1117.75,1075.8,1090.85,29689
