date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,124.7,128.95,123.35,127.75,5969893
2022-01-04 00:00:00+05:30,129,134.75,129,133.45,16125645
2022-01-05 00:00:00+05:30,133.75,137.25,130.8,134.75,10030438
2022-01-06 00:00:00+05:30,132.8,134.75,131,131.8,4658289
2022-01-07 00:00:00+05:30,132,133.3,128.35,131.55,7146876
2022-01-10 00:00:00+05:30,131.95,135,131.4,131.8,5192602
2022-01-11 00:00:00+05:30,131.95,133,129.15,130.2,3427948
2022-01-12 00:00:00+05:30,131.2,134.95,129.8,133.9,4845617
2022-01-13 00:00:00+05:30,135,140.5,134.5,136.1,14228398
2022-01-14 00:00:00+05:30,136,137.5,134.7,136.65,5639448
2022-01-17 00:00:00+05:30,137,141.6,136.75,137.55,6405711
2022-01-18 00:00:00+05:30,138,139.2,130.5,131.05,5754710
2022-01-19 00:00:00+05:30,130.5,131.75,126.6,129.6,4885838
2022-01-20 00:00:00+05:30,130.3,134.6,130.1,133.9,6368032
2022-01-21 00:00:00+05:30,133.75,135.7,128.5,131.25,5155619
2022-01-24 00:00:00+05:30,129.6,130.6,118.3,120.65,8542100
2022-01-25 00:00:00+05:30,120.8,126.05,116.8,124.65,5118615
2022-01-27 00:00:00+05:30,123,123.3,120,122,3537193
2022-01-28 00:00:00+05:30,123.4,128.15,123.25,123.8,5312619
2022-01-31 00:00:00+05:30,125.3,126.75,122.65,123.55,3879396
2022-02-01 00:00:00+05:30,124.5,127.7,122.5,126.7,5490758
2022-02-02 00:00:00+05:30,127.4,130.3,126.9,127.65,4807368
2022-02-03 00:00:00+05:30,128.35,130.4,127.45,129.35,5622216
2022-02-04 00:00:00+05:30,130,138.5,129.5,137.7,17477979
2022-02-07 00:00:00+05:30,137.6,143,135.4,141.45,16060563
2022-02-08 00:00:00+05:30,142.2,143.7,134.15,137.1,9982439
2022-02-09 00:00:00+05:30,138.2,141.65,137.4,139.35,5956235
2022-02-10 00:00:00+05:30,140.5,146.35,140.5,142.25,16068827
2022-02-11 00:00:00+05:30,141,143.55,137.5,138.85,6485085
2022-02-14 00:00:00+05:30,133.85,134.8,125.2,126,9869852
2022-02-15 00:00:00+05:30,126.65,132.5,122.3,131.65,8877023
2022-02-16 00:00:00+05:30,132,133.4,128.5,129.45,5023452
2022-02-17 00:00:00+05:30,129.95,130.55,124.75,125.5,4813784
2022-02-18 00:00:00+05:30,126,127.8,122.8,123.15,4523988
2022-02-21 00:00:00+05:30,123.15,123.15,114.7,117.25,10144352
2022-02-22 00:00:00+05:30,112.3,115.9,111,115.05,8328136
2022-02-23 00:00:00+05:30,118.05,119.7,115.55,116,6392957
2022-02-24 00:00:00+05:30,111.9,113.85,105,105.65,10395146
2022-02-25 00:00:00+05:30,111,114.65,109.3,113.55,7708188
2022-02-28 00:00:00+05:30,113.55,118.15,111.85,117.65,7200101
2022-03-02 00:00:00+05:30,117.5,123.35,117.3,119.9,10091114
2022-03-03 00:00:00+05:30,124,126.75,122.55,123.6,12216686
2022-03-04 00:00:00+05:30,124.5,126.25,120.65,121,7931946
2022-03-07 00:00:00+05:30,120.5,125.95,119,124.7,7984133
2022-03-08 00:00:00+05:30,127,133.95,125.45,126.7,18998589
2022-03-09 00:00:00+05:30,128.7,129,123.5,124.05,6779091
2022-03-10 00:00:00+05:30,125.4,125.4,121.1,122.75,7178388
2022-03-11 00:00:00+05:30,123.25,126,122.5,123.7,4842464
2022-03-14 00:00:00+05:30,123.5,124.8,119.1,119.5,5344277
2022-03-15 00:00:00+05:30,119.5,120.15,112.15,114.15,7040176
2022-03-16 00:00:00+05:30,116.35,116.7,114.35,115.25,4731502
2022-03-17 00:00:00+05:30,117.4,119,116.1,117.5,6012485
2022-03-21 00:00:00+05:30,119.4,121,116.5,117,5346677
2022-03-22 00:00:00+05:30,117.7,120,116.5,118.2,4837292
2022-03-23 00:00:00+05:30,119.65,119.65,116.7,117.95,3992771
2022-03-24 00:00:00+05:30,118,119.95,116.55,117.3,4498389
2022-03-25 00:00:00+05:30,117.95,118.95,115.05,115.55,3687383
2022-03-28 00:00:00+05:30,115.5,116,113.1,113.55,4609341
2022-03-29 00:00:00+05:30,114.3,114.75,112,112.45,4859549
2022-03-30 00:00:00+05:30,113.3,113.55,110.85,111.4,5885810
2022-03-31 00:00:00+05:30,112.5,114.65,111.9,113.75,6142918
2022-04-01 00:00:00+05:30,114,117,113.8,116.7,5077804
2022-04-04 00:00:00+05:30,117.85,119.85,116.25,119.35,6255133
2022-04-05 00:00:00+05:30,120.85,123.5,120,122.65,7328584
2022-04-06 00:00:00+05:30,121.85,125.8,121.4,124.85,8046494
2022-04-07 00:00:00+05:30,124.9,125.85,120.7,121.55,4264063
2022-04-08 00:00:00+05:30,122.65,123.8,121.8,122.6,3761228
