date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,11.35,11.75,10.8,11.7,221715
2022-01-04 00:00:00+05:30,12.25,12.25,11.25,11.7,232759
2022-01-05 00:00:00+05:30,11.75,11.8,11.15,11.15,193548
2022-01-06 00:00:00+05:30,10.85,11.15,10.7,11.05,150720
2022-01-07 00:00:00+05:30,11.1,11.35,10.5,10.9,333331
2022-01-10 00:00:00+05:30,10.95,11.25,10.85,11.15,208439
2022-01-11 00:00:00+05:30,11.25,11.45,10.65,10.8,245985
2022-01-12 00:00:00+05:30,10.9,11.3,10.75,10.85,205199
2022-01-13 00:00:00+05:30,11.05,11.25,10.65,10.85,210597
2022-01-14 00:00:00+05:30,10.85,11.15,10.75,11.05,209039
2022-01-17 00:00:00+05:30,11.25,11.6,10.8,11.6,467679
2022-01-18 00:00:00+05:30,12.1,12.15,11.8,12.15,363379
2022-01-19 00:00:00+05:30,12.35,12.75,12,12.55,933814
2022-01-20 00:00:00+05:30,12.75,12.85,12,12.05,262796
2022-01-21 00:00:00+05:30,11.6,12.25,11.55,11.65,198859
2022-01-24 00:00:00+05:30,11.75,12,11.1,11.1,114698
2022-01-25 00:00:00+05:30,10.65,11.35,10.6,11.15,123943
2022-01-27 00:00:00+05:30,10.95,11.4,10.65,10.85,145115
2022-01-28 00:00:00+05:30,11.1,11.35,10.55,10.7,244158
2022-01-31 00:00:00+05:30,10.8,11.2,10.7,11.1,174501
2022-02-01 00:00:00+05:30,11.1,11.3,10.9,11,115586
2022-02-02 00:00:00+05:30,11.55,11.55,11.55,11.55,67644
2022-02-03 00:00:00+05:30,12.1,12.1,12.1,12.1,43955
2022-02-04 00:00:00+05:30,12.7,12.7,12.7,12.7,93629
2022-02-07 00:00:00+05:30,13.3,13.95,11.65,13.95,1907728
2022-02-08 00:00:00+05:30,15.3,15.3,14.2,15.3,2081459
2022-02-09 00:00:00+05:30,16.55,16.8,14.2,14.9,1970505
2022-02-10 00:00:00+05:30,14.6,15,13.65,14.05,539881
2022-02-11 00:00:00+05:30,13.9,14.25,13.05,13.95,404749
2022-02-14 00:00:00+05:30,13.9,13.9,12.65,12.95,546097
2022-02-15 00:00:00+05:30,13.7,13.7,12.6,13.6,247979
2022-02-16 00:00:00+05:30,13.95,14.85,13.8,14.55,472991
2022-02-17 00:00:00+05:30,14.85,15.7,14.2,14.5,610749
2022-02-18 00:00:00+05:30,14.3,14.7,13.25,13.55,313012
2022-02-21 00:00:00+05:30,13.4,13.75,13,13.15,191308
2022-02-22 00:00:00+05:30,13.15,13.6,12,12.85,462950
2022-02-23 00:00:00+05:30,12.85,14.1,12.85,14,407147
2022-02-24 00:00:00+05:30,12.95,13.6,12.6,12.6,332901
2022-02-25 00:00:00+05:30,12.6,13.3,12.5,13.15,395034
2022-02-28 00:00:00+05:30,13.15,13.15,12.1,12.65,517298
2022-03-02 00:00:00+05:30,12.5,13.1,12.25,12.35,228920
2022-03-03 00:00:00+05:30,12.4,13.25,12.4,13,267615
2022-03-04 00:00:00+05:30,13.5,13.5,12.8,13,351488
2022-03-07 00:00:00+05:30,12.9,13.3,12.45,12.85,317702
2022-03-08 00:00:00+05:30,12.8,13.3,12.8,13.05,243442
2022-03-09 00:00:00+05:30,13.6,14.35,13.4,14.35,1092778
2022-03-10 00:00:00+05:30,14.75,15.45,14.4,14.75,1592712
2022-03-11 00:00:00+05:30,14.85,15.15,14.8,15,577852
2022-03-14 00:00:00+05:30,15.3,15.9,14.75,15.6,682988
2022-03-15 00:00:00+05:30,15.9,16.2,14.55,15.15,573583
2022-03-16 00:00:00+05:30,15.45,15.9,15.05,15.2,212870
2022-03-17 00:00:00+05:30,15.5,15.7,14.65,14.75,232646
2022-03-21 00:00:00+05:30,14.7,15.25,14.05,14.45,308145
2022-03-22 00:00:00+05:30,14.35,14.8,13.75,14.1,139255
2022-03-23 00:00:00+05:30,14,14.8,13.8,14,119720
2022-03-24 00:00:00+05:30,13.9,14.3,13.55,13.6,225691
2022-03-25 00:00:00+05:30,13.7,14.2,13.25,13.4,233881
2022-03-28 00:00:00+05:30,13.3,13.6,12.7,13.45,289882
2022-03-29 00:00:00+05:30,13.7,13.95,13.45,13.55,155866
2022-03-30 00:00:00+05:30,13.6,13.95,13.3,13.55,127587
2022-03-31 00:00:00+05:30,13.55,14.2,12.7,13.15,176611
2022-04-01 00:00:00+05:30,13.45,14.45,13.35,14.45,130774
2022-04-04 00:00:00+05:30,15.85,15.85,14.65,15.8,2268611
2022-04-05 00:00:00+05:30,15.95,16.05,14.3,15.05,599051
2022-04-06 00:00:00+05:30,15.5,16.1,15.2,15.9,704930
2022-04-07 00:00:00+05:30,16.2,17.45,15.5,16.9,1586262
2022-04-08 00:00:00+05:30,17.35,17.7,16.8,17.7,1201193
