date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,2001,2024.8,1935,2014,1313054
2022-01-04 00:00:00+05:30,2014,2060,2002.5,2041.7,787910
2022-01-05 00:00:00+05:30,2015,2027.95,1965,1977.75,903873
2022-01-06 00:00:00+05:30,1955,1990.9,1940.15,1960.15,1064170
2022-01-07 00:00:00+05:30,1979.4,2018.75,1970,2005.45,1430111
2022-01-10 00:00:00+05:30,1977,2066.85,1977,2055.1,1307846
2022-01-11 00:00:00+05:30,2040,2115,2025.35,2035.55,1461780
2022-01-12 00:00:00+05:30,2057.6,2100,2040.7,2089,725042
2022-01-13 00:00:00+05:30,2096,2160.9,2091.1,2144.9,1194980
2022-01-14 00:00:00+05:30,2121.35,2169,2121.35,2165.45,628330
2022-01-17 00:00:00+05:30,2165.45,2173.4,2136,2165.25,443336
2022-01-18 00:00:00+05:30,2168,2183,2097.05,2112.25,819354
2022-01-19 00:00:00+05:30,2122.25,2123,2057.6,2079.5,459357
2022-01-20 00:00:00+05:30,2085,2107.2,2053.9,2091.75,409415
2022-01-21 00:00:00+05:30,2087.6,2127.7,2070,2084.35,708173
2022-01-24 00:00:00+05:30,2089,2089,1970.85,1992.2,459730
2022-01-25 00:00:00+05:30,1985.1,2024,1955.6,1966.7,705168
2022-01-27 00:00:00+05:30,1925,1935,1838,1862.6,1484512
2022-01-28 00:00:00+05:30,1869,1901.25,1826,1856.65,1843563
2022-01-31 00:00:00+05:30,1865,1898.9,1835.1,1856.85,814981
2022-02-01 00:00:00+05:30,1867.1,1962,1864.05,1950.9,1050461
2022-02-02 00:00:00+05:30,1960,1979.95,1938.05,1947.55,318185
2022-02-03 00:00:00+05:30,1959.4,1959.4,1920,1941.5,258633
2022-02-04 00:00:00+05:30,1950.65,2005,1937.05,1974.35,946376
2022-02-07 00:00:00+05:30,2005,2187.05,1985,2170.1,4481201
2022-02-08 00:00:00+05:30,2165,2235,2155,2182.6,2280188
2022-02-09 00:00:00+05:30,2190,2263,2180.1,2253.8,1079814
2022-02-10 00:00:00+05:30,2250.5,2282.1,2195.1,2236.75,1182724
2022-02-11 00:00:00+05:30,2208.2,2282,2201.1,2264.95,1317813
2022-02-14 00:00:00+05:30,2170,2228.5,2082.75,2092.3,1288158
2022-02-15 00:00:00+05:30,2125,2198.95,2071.55,2190.6,1091103
2022-02-16 00:00:00+05:30,2195,2223.4,2152.1,2170.95,796340
2022-02-17 00:00:00+05:30,2197.95,2244,2130,2156.65,1442010
2022-02-18 00:00:00+05:30,2149,2168,2091,2116.6,951796
2022-02-21 00:00:00+05:30,2085.05,2096.15,2025.2,2086.55,1964631
2022-02-22 00:00:00+05:30,1996,2078.8,1996,2066.05,999361
2022-02-23 00:00:00+05:30,2085,2095,2030.45,2039.4,720061
2022-02-24 00:00:00+05:30,1975,1988,1800,1830.55,2400153
2022-02-25 00:00:00+05:30,1900,1977.3,1870.05,1918.25,1612923
2022-02-28 00:00:00+05:30,1870,1894,1840,1874.9,1586689
2022-03-02 00:00:00+05:30,1836,1865,1786.85,1805.05,1602449
2022-03-03 00:00:00+05:30,1801,1803.85,1721.1,1729.95,1741377
2022-03-04 00:00:00+05:30,1720,1742.3,1634,1724.2,2922485
2022-03-07 00:00:00+05:30,1668,1668,1594.15,1617,1586234
2022-03-08 00:00:00+05:30,1600,1614.95,1555.1,1598.8,1559479
2022-03-09 00:00:00+05:30,1658,1754.85,1658,1709.1,5596423
2022-03-10 00:00:00+05:30,1800,1824.6,1753.4,1789.45,2787796
2022-03-11 00:00:00+05:30,1780,1839,1761.7,1820.8,1619561
2022-03-14 00:00:00+05:30,1823,1849.8,1806.3,1838.8,818803
2022-03-15 00:00:00+05:30,1872,1883.4,1820.65,1832.55,965034
2022-03-16 00:00:00+05:30,1866,1923.75,1866,1899.8,1552404
2022-03-17 00:00:00+05:30,1930,1944,1883.05,1897.05,1295677
2022-03-21 00:00:00+05:30,1882,1895,1809.55,1814.05,715151
2022-03-22 00:00:00+05:30,1810,1851.5,1762.25,1836.25,990082
2022-03-23 00:00:00+05:30,1845,1855,1812.05,1832.8,628556
2022-03-24 00:00:00+05:30,1800,1870.9,1796.4,1863.1,770859
2022-03-25 00:00:00+05:30,1875,1954.05,1871,1940.55,2367298
2022-03-28 00:00:00+05:30,1963.9,1996,1940,1964.3,1586405
2022-03-29 00:00:00+05:30,1992,2019.8,1950.1,1963.15,1176404
2022-03-30 00:00:00+05:30,1983.15,2011.75,1966.2,1989.35,786916
2022-03-31 00:00:00+05:30,1990.35,2020,1990.35,2014.15,991862
2022-04-01 00:00:00+05:30,2017.5,2033.95,1963,1998.6,1057578
2022-04-04 00:00:00+05:30,2000,2025,1995,2014.55,553033
2022-04-05 00:00:00+05:30,2006.8,2023.5,1975.65,1986.4,933228
2022-04-06 00:00:00+05:30,1987.7,2004,1972,1979.25,392851
2022-04-07 00:00:00+05:30,1987,1991.2,1968.05,1980.4,444888
2022-04-08 00:00:00+05:30,2000,2029.5,1992,2000.15,1007511
