date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,349.9,357,344.6,355.45,473486
2022-01-04 00:00:00+05:30,355,359.4,351,355.1,751525
2022-01-05 00:00:00+05:30,351,361,348.7,355.25,537911
2022-01-06 00:00:00+05:30,352.25,357.55,346.05,355.7,283982
2022-01-07 00:00:00+05:30,359.8,367,354,360.65,515315
2022-01-10 00:00:00+05:30,362.5,371,360.65,368.75,812619
2022-01-11 00:00:00+05:30,369,376.45,365.15,370.4,513356
2022-01-12 00:00:00+05:30,374,386,371.35,382.75,503830
2022-01-13 00:00:00+05:30,382,388,374.85,383.3,452472
2022-01-14 00:00:00+05:30,383.05,383.7,376,378.7,251389
2022-01-17 00:00:00+05:30,377.9,383.5,374,380.55,226340
2022-01-18 00:00:00+05:30,382.5,384.9,375.1,380.1,358909
2022-01-19 00:00:00+05:30,380,394.05,374,391.55,687128
2022-01-20 00:00:00+05:30,392.85,401.85,380.05,384.95,532898
2022-01-21 00:00:00+05:30,385,395,374.8,380.25,294127
2022-01-24 00:00:00+05:30,384.5,397.15,367,380.6,1215618
2022-01-25 00:00:00+05:30,376.4,391,370.05,388.4,457068
2022-01-27 00:00:00+05:30,385,394.2,380.4,391.65,350669
2022-01-28 00:00:00+05:30,396.35,412.65,388.2,392.35,919207
2022-01-31 00:00:00+05:30,395,420.5,395,416.85,1246345
2022-02-01 00:00:00+05:30,419,437.7,411.05,433.25,1094672
2022-02-02 00:00:00+05:30,434,437.8,427.5,433.25,529129
2022-02-03 00:00:00+05:30,434.9,434.9,408.55,414.35,875042
2022-02-04 00:00:00+05:30,414.35,419.8,403,405.95,901255
2022-02-07 00:00:00+05:30,408.4,409.1,395.95,399.35,302150
2022-02-08 00:00:00+05:30,402.4,403.2,391.35,394.7,451236
2022-02-09 00:00:00+05:30,396.7,405.95,393.05,404.5,470735
2022-02-10 00:00:00+05:30,404.85,416,402.8,413.45,315247
2022-02-11 00:00:00+05:30,409.7,412.1,398,402.15,407578
2022-02-14 00:00:00+05:30,395,404.9,391.1,392.75,330162
2022-02-15 00:00:00+05:30,399.65,410,393.1,407.55,197661
2022-02-16 00:00:00+05:30,408.9,416.95,399.95,403.85,498140
2022-02-17 00:00:00+05:30,404,421,404,416.85,843608
2022-02-18 00:00:00+05:30,415,418.85,410,413.25,383074
2022-02-21 00:00:00+05:30,411,415.35,401,406.25,471223
2022-02-22 00:00:00+05:30,402.6,408.3,399,401.5,244889
2022-02-23 00:00:00+05:30,402.05,408.7,401.35,403.5,241542
2022-02-24 00:00:00+05:30,396.8,399.85,385,390.15,543495
2022-02-25 00:00:00+05:30,404.7,408,390.65,402.6,407929
2022-02-28 00:00:00+05:30,403,417,393.4,409.55,568344
2022-03-02 00:00:00+05:30,408.05,420.95,403.25,407.25,412936
2022-03-03 00:00:00+05:30,418.5,428.5,412.2,417.65,709594
2022-03-04 00:00:00+05:30,416.5,423,401.45,407.5,490175
2022-03-07 00:00:00+05:30,400,400,388,391.35,530439
2022-03-08 00:00:00+05:30,396.3,422.8,392.15,417,1260188
2022-03-09 00:00:00+05:30,422.9,429.55,413.5,416.8,631773
2022-03-10 00:00:00+05:30,426.8,426.8,409.9,412.5,749680
2022-03-11 00:00:00+05:30,412.5,426.8,412.5,424.65,447937
2022-03-14 00:00:00+05:30,427,448,426.95,435.25,1811789
2022-03-15 00:00:00+05:30,436.95,442,409,410.65,862785
2022-03-16 00:00:00+05:30,417.6,420,405.5,408.3,1052502
2022-03-17 00:00:00+05:30,415.4,417.95,410.05,415.7,290435
2022-03-21 00:00:00+05:30,422.3,454,415.15,436.85,2608126
2022-03-22 00:00:00+05:30,436.95,456.3,436.95,442.75,1319579
2022-03-23 00:00:00+05:30,446,453.05,443.4,449.05,687298
2022-03-24 00:00:00+05:30,446.5,461.6,436.05,442.7,1001213
2022-03-25 00:00:00+05:30,450,496.8,450,469.7,7213809
2022-03-28 00:00:00+05:30,563.6,563.6,517,522.85,16284072
2022-03-29 00:00:00+05:30,523.8,542,495.1,511,3885438
2022-03-30 00:00:00+05:30,516.5,522.8,506.1,509.65,1554056
2022-03-31 00:00:00+05:30,510.5,534.8,509.05,529.8,3121536
2022-04-01 00:00:00+05:30,528,529.7,506.75,519,1545991
2022-04-04 00:00:00+05:30,520.85,524.2,508,511.4,854687
2022-04-05 00:00:00+05:30,516,520,510.8,515.75,573877
2022-04-06 00:00:00+05:30,514,520,508,514.4,497180
2022-04-07 00:00:00+05:30,514,516.8,501,504.3,454575
2022-04-08 00:00:00+05:30,507.5,513,503.1,504.9,571209
