date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,36.5,37.3,36.25,36.85,2110604
2022-01-04 00:00:00+05:30,37,37.5,36.7,37,1801108
2022-01-05 00:00:00+05:30,37,37.9,36.8,37.05,2501368
2022-01-06 00:00:00+05:30,36.6,38.85,36.45,38.2,4562714
2022-01-07 00:00:00+05:30,38.45,39.1,37.4,37.75,3857878
2022-01-10 00:00:00+05:30,38,39.2,38,38.9,3298379
2022-01-11 00:00:00+05:30,39.45,39.8,38.75,39.05,4956405
2022-01-12 00:00:00+05:30,39.4,43.1,39.4,42.4,27354092
2022-01-13 00:00:00+05:30,42.8,43.6,42.15,43.15,8141911
2022-01-14 00:00:00+05:30,43,43.25,42.5,42.85,3348663
2022-01-17 00:00:00+05:30,43.2,43.6,42.7,42.8,2804947
2022-01-18 00:00:00+05:30,42.85,43,41,41.15,3922278
2022-01-19 00:00:00+05:30,41.05,42.6,40.4,42.25,3900322
2022-01-20 00:00:00+05:30,42.05,42.45,41.4,41.7,1880549
2022-01-21 00:00:00+05:30,41.4,41.7,40.3,40.65,2019822
2022-01-24 00:00:00+05:30,40.7,40.8,37.5,37.8,4516223
2022-01-25 00:00:00+05:30,37.85,39.4,35.5,39.2,3107025
2022-01-27 00:00:00+05:30,39.2,41.85,38.5,41.15,4069563
2022-01-28 00:00:00+05:30,41.75,42.2,40.85,41.05,3361498
2022-01-31 00:00:00+05:30,41.35,42.3,40.8,41.25,1858325
2022-02-01 00:00:00+05:30,41.6,42.15,39.7,40.45,3337231
2022-02-02 00:00:00+05:30,40.85,42.35,40.6,41.75,4413792
2022-02-03 00:00:00+05:30,41.55,42.3,41.35,41.65,2861992
2022-02-04 00:00:00+05:30,41.8,41.85,40.6,40.8,1575940
2022-02-07 00:00:00+05:30,40.5,42,40.4,41,2840732
2022-02-08 00:00:00+05:30,41.4,41.6,40,41.3,2436527
2022-02-09 00:00:00+05:30,42,42.75,40,40.2,4709834
2022-02-10 00:00:00+05:30,40.4,40.95,39.8,40.35,1738291
2022-02-11 00:00:00+05:30,39.75,40.85,39.5,39.8,1346826
2022-02-14 00:00:00+05:30,38.8,38.95,36.1,36.55,6054799
2022-02-15 00:00:00+05:30,37.1,38.05,36.15,37.9,2653839
2022-02-16 00:00:00+05:30,38.55,38.8,38.1,38.15,1666693
2022-02-17 00:00:00+05:30,38.6,38.7,36.2,36.95,2489019
2022-02-18 00:00:00+05:30,36.5,37.25,36.4,36.55,1629359
2022-02-21 00:00:00+05:30,36.45,36.55,35.2,35.45,1900642
2022-02-22 00:00:00+05:30,34.4,35.1,34,34.85,1577036
2022-02-23 00:00:00+05:30,35.95,36.15,35.05,35.15,2184517
2022-02-24 00:00:00+05:30,33.3,34.3,31.5,31.7,4105963
2022-02-25 00:00:00+05:30,33.8,34.6,33.1,33.9,3195846
2022-02-28 00:00:00+05:30,33.5,34.3,32.9,33.95,2226447
2022-03-02 00:00:00+05:30,33.85,34.4,33.5,34,1555049
2022-03-03 00:00:00+05:30,34.5,34.9,33.85,34,1404977
2022-03-04 00:00:00+05:30,33.6,34.05,33.35,33.75,1099691
2022-03-07 00:00:00+05:30,33,33.25,32.15,32.9,1849145
2022-03-08 00:00:00+05:30,32.9,34.35,32.75,33.9,1396057
2022-03-09 00:00:00+05:30,34.2,34.7,34.1,34.5,1040860
2022-03-10 00:00:00+05:30,35.4,35.65,34.6,34.8,1889363
2022-03-11 00:00:00+05:30,34.8,35.5,34.4,34.9,946969
2022-03-14 00:00:00+05:30,35,35.6,34.95,35.3,1658602
2022-03-15 00:00:00+05:30,35.3,35.6,33.8,34.05,1767729
2022-03-16 00:00:00+05:30,34.9,34.9,34.3,34.5,1071305
2022-03-17 00:00:00+05:30,34.95,35.3,34.65,34.95,2213029
2022-03-21 00:00:00+05:30,35.05,35.2,34.45,34.6,1038089
2022-03-22 00:00:00+05:30,34.7,35.05,34.3,34.7,1011223
2022-03-23 00:00:00+05:30,34.9,35.1,34.55,34.65,1270610
2022-03-24 00:00:00+05:30,34.3,35.1,33.65,33.85,2869256
2022-03-25 00:00:00+05:30,34.15,34.25,33.4,33.6,1182295
2022-03-28 00:00:00+05:30,33.75,33.8,32.85,33,1657858
2022-03-29 00:00:00+05:30,33.7,34.25,32.75,33,3331102
2022-03-30 00:00:00+05:30,33.45,33.6,31.2,31.9,4568729
2022-03-31 00:00:00+05:30,32.3,33.1,32.15,32.3,2549494
2022-04-01 00:00:00+05:30,32.6,34.8,32.4,34.55,4554673
2022-04-04 00:00:00+05:30,34.8,36.7,34.8,35.85,3863745
2022-04-05 00:00:00+05:30,36.5,36.65,35.55,35.95,2767575
2022-04-06 00:00:00+05:30,32.7,33.55,32.35,33.05,24742800
2022-04-07 00:00:00+05:30,33.25,34,33.25,33.35,7108026
2022-04-08 00:00:00+05:30,33.7,33.75,32.85,32.95,6473243
