date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,761,774.95,725.65,730.1,113825
2022-01-04 00:00:00+05:30,723.5,756,723.5,732.35,109030
2022-01-05 00:00:00+05:30,729.45,739,706.65,713.95,56204
2022-01-06 00:00:00+05:30,710.95,727.9,680,690.9,61037
2022-01-07 00:00:00+05:30,690,715,680.55,691.8,53527
2022-01-10 00:00:00+05:30,691.8,724.5,691.8,719,52851
2022-01-11 00:00:00+05:30,717,747,717,721.8,59003
2022-01-12 00:00:00+05:30,733,755,712.65,719.05,87815
2022-01-13 00:00:00+05:30,721,728.1,704.8,708.5,24074
2022-01-14 00:00:00+05:30,709.15,736.45,705.8,725.35,40515
2022-01-17 00:00:00+05:30,729.9,743.85,712.6,728.5,32383
2022-01-18 00:00:00+05:30,740,740,692,698.1,23720
2022-01-19 00:00:00+05:30,699,716.95,698.95,713.55,26440
2022-01-20 00:00:00+05:30,719.9,734.95,705.7,725.25,27459
2022-01-21 00:00:00+05:30,727.25,755.4,692.2,713.3,67243
2022-01-24 00:00:00+05:30,712,713.2,651.25,664.15,54161
2022-01-25 00:00:00+05:30,645,687,611.2,680.15,68969
2022-01-27 00:00:00+05:30,667.9,680.65,645,655.9,30335
2022-01-28 00:00:00+05:30,677.9,685.45,656,666.2,28419
2022-01-31 00:00:00+05:30,693.9,693.9,649.55,655.65,21796
2022-02-01 00:00:00+05:30,655.65,711.25,654.95,684,57223
2022-02-02 00:00:00+05:30,694,716.4,677.75,708.7,79695
2022-02-03 00:00:00+05:30,715.9,715.9,700,707.2,30436
2022-02-04 00:00:00+05:30,636.5,657.75,636.5,636.5,120983
2022-02-07 00:00:00+05:30,599,599,523,539.25,462064
2022-02-08 00:00:00+05:30,551,551.95,520,524.5,90049
2022-02-09 00:00:00+05:30,535,537.95,519.6,522.5,40049
2022-02-10 00:00:00+05:30,534,534,516,517.35,41896
2022-02-11 00:00:00+05:30,517,539.5,511.35,521.6,49433
2022-02-14 00:00:00+05:30,515,520,489.65,497.05,32812
2022-02-15 00:00:00+05:30,517.35,530.15,490.5,510.35,36974
2022-02-16 00:00:00+05:30,516,521.65,505,509,16076
2022-02-17 00:00:00+05:30,515,527,500.55,504.4,36912
2022-02-18 00:00:00+05:30,503.85,508,495,497.5,23330
2022-02-21 00:00:00+05:30,491,496,480,482.3,39613
2022-02-22 00:00:00+05:30,460,473.85,449.4,472.45,36050
2022-02-23 00:00:00+05:30,472.3,491.1,469.55,482.95,36678
2022-02-24 00:00:00+05:30,471,474.8,424.05,429,55024
2022-02-25 00:00:00+05:30,439,474.9,439,463.3,51158
2022-02-28 00:00:00+05:30,450,477.45,448.6,469.5,22174
2022-03-02 00:00:00+05:30,459.5,479.6,459.5,473.6,16933
2022-03-03 00:00:00+05:30,485,485.5,474,475.85,14957
2022-03-04 00:00:00+05:30,475.85,498.8,461.55,463.7,25176
2022-03-07 00:00:00+05:30,450,456.2,437.1,444.1,24382
2022-03-08 00:00:00+05:30,441.05,458.95,436.25,448.5,18742
2022-03-09 00:00:00+05:30,463.9,493.85,446.35,478.3,42176
2022-03-10 00:00:00+05:30,498.7,498.85,478.6,488.1,27541
2022-03-11 00:00:00+05:30,489.05,495.4,480,485.15,20296
2022-03-14 00:00:00+05:30,487.6,494.95,480,486.6,29022
2022-03-15 00:00:00+05:30,486.6,512.9,486.6,496.65,39052
2022-03-16 00:00:00+05:30,511.55,515,501,504.6,18147
2022-03-17 00:00:00+05:30,514.8,528,505.5,510.4,39033
2022-03-21 00:00:00+05:30,518,518.6,500.5,503.9,17846
2022-03-22 00:00:00+05:30,504.05,504.5,476.2,498.2,11167
2022-03-23 00:00:00+05:30,504.5,504.5,495.5,496.6,15984
2022-03-24 00:00:00+05:30,495,510,495,504.95,13643
2022-03-25 00:00:00+05:30,509.9,513.4,487.95,491.6,10111
2022-03-28 00:00:00+05:30,505,505,460,468.05,40508
2022-03-29 00:00:00+05:30,469,479.2,456,461.4,48110
2022-03-30 00:00:00+05:30,470.9,490,465,466.45,32878
2022-03-31 00:00:00+05:30,470,475,462.45,467.15,20820
2022-04-01 00:00:00+05:30,469,498,469,490.65,28878
2022-04-04 00:00:00+05:30,497,510.45,489.85,498.7,18201
2022-04-05 00:00:00+05:30,508,518,497.4,506.15,31550
2022-04-06 00:00:00+05:30,507,520.95,502.75,514.9,23132
2022-04-07 00:00:00+05:30,515,524,500.45,503,21209
2022-04-08 00:00:00+05:30,500.1,521.8,500.1,509.6,22932
