date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,435,435,421.1,427.5,8608
2022-01-04 00:00:00+05:30,430.55,441.6,421,431.35,21520
2022-01-05 00:00:00+05:30,430,441.5,422.85,433.95,17052
2022-01-06 00:00:00+05:30,433.95,511.8,421,488.55,372032
2022-01-07 00:00:00+05:30,499.5,509,478,480,88454
2022-01-10 00:00:00+05:30,482.9,498,465.6,470.95,49088
2022-01-11 00:00:00+05:30,476.15,495,470,474,49383
2022-01-12 00:00:00+05:30,463.5,480.15,463.5,469.55,19778
2022-01-13 00:00:00+05:30,474.9,476.05,461.2,464.4,19689
2022-01-14 00:00:00+05:30,474.85,474.9,460.1,462.6,8485
2022-01-17 00:00:00+05:30,472.05,472.05,455.65,458.1,13710
2022-01-18 00:00:00+05:30,464.15,465,451,453.4,15583
2022-01-19 00:00:00+05:30,450.35,474,450.3,470.25,28647
2022-01-20 00:00:00+05:30,471,479.7,462.95,466.05,21557
2022-01-21 00:00:00+05:30,479,479,455,459.2,9828
2022-01-24 00:00:00+05:30,469.95,469.95,430,439.65,19831
2022-01-25 00:00:00+05:30,420,447.75,420,444.9,22516
2022-01-27 00:00:00+05:30,435.3,447.5,419.55,430.85,11677
2022-01-28 00:00:00+05:30,442,445,432,433.8,7843
2022-01-31 00:00:00+05:30,450,451.25,424.05,429.6,28337
2022-02-01 00:00:00+05:30,439,443,426.05,431.45,10602
2022-02-02 00:00:00+05:30,437.35,445.95,435.85,438.8,17446
2022-02-03 00:00:00+05:30,443.6,443.9,430.05,439.05,10509
2022-02-04 00:00:00+05:30,435,446.9,430,442,11625
2022-02-07 00:00:00+05:30,449,450,430.3,432.4,10100
2022-02-08 00:00:00+05:30,435.25,436.5,420.1,423.6,8331
2022-02-09 00:00:00+05:30,429.85,435.25,420.3,422.4,7947
2022-02-10 00:00:00+05:30,430.85,437.5,420.05,430.95,18238
2022-02-11 00:00:00+05:30,423.6,425.35,408,412.8,11559
2022-02-14 00:00:00+05:30,405.1,425,388,409.85,48307
2022-02-15 00:00:00+05:30,424.95,424.95,391.3,401.25,15148
2022-02-16 00:00:00+05:30,406.65,412.8,398.5,404.05,14763
2022-02-17 00:00:00+05:30,405.85,420.05,403,404.2,17167
2022-02-18 00:00:00+05:30,408.6,412,397.85,399.9,12427
2022-02-21 00:00:00+05:30,399.9,401.3,375.1,377.75,22807
2022-02-22 00:00:00+05:30,370.1,389,362.25,379,11132
2022-02-23 00:00:00+05:30,389,391.9,381.95,387.05,8408
2022-02-24 00:00:00+05:30,380.1,380.1,344.8,348.95,18013
2022-02-25 00:00:00+05:30,364.85,372.1,355.1,360.05,23710
2022-02-28 00:00:00+05:30,365.35,368.95,346.55,357,22517
2022-03-02 00:00:00+05:30,354,377.9,340.6,356.9,16853
2022-03-03 00:00:00+05:30,368.9,368.9,356,356.85,8251
2022-03-04 00:00:00+05:30,365,365,339.95,345.45,20468
2022-03-07 00:00:00+05:30,335.1,345.95,335.1,340.2,9732
2022-03-08 00:00:00+05:30,340,357,339.6,353,9300
2022-03-09 00:00:00+05:30,354.85,358.95,349.1,353.85,16642
2022-03-10 00:00:00+05:30,364.2,369,356,358.65,8471
2022-03-11 00:00:00+05:30,364.5,367.4,352.8,360.2,14832
2022-03-14 00:00:00+05:30,350.1,369.45,350.05,361.85,17070
2022-03-15 00:00:00+05:30,364,366,352,353.6,14884
2022-03-16 00:00:00+05:30,359.5,359.95,352,354.65,17658
2022-03-17 00:00:00+05:30,366.9,366.9,349,350.7,25508
2022-03-21 00:00:00+05:30,350,368.8,346,361.3,30232
2022-03-22 00:00:00+05:30,368.8,368.8,352,355.9,17663
2022-03-23 00:00:00+05:30,355,363,348,350.75,18729
2022-03-24 00:00:00+05:30,344.5,358,344.5,348.95,14117
2022-03-25 00:00:00+05:30,349,356.5,345,349.15,29506
2022-03-28 00:00:00+05:30,346.1,350.8,331.55,334.2,24439
2022-03-29 00:00:00+05:30,339.5,345.85,316.5,323.45,56840
2022-03-30 00:00:00+05:30,329.7,374.7,325.1,345.65,114678
2022-03-31 00:00:00+05:30,350.85,355.05,340,350.3,32666
2022-04-01 00:00:00+05:30,355,369,354.3,360.3,17396
2022-04-04 00:00:00+05:30,357.1,366.75,357.1,361.2,16266
2022-04-05 00:00:00+05:30,369.4,416.95,360,399.6,188456
2022-04-06 00:00:00+05:30,395,407.95,390,398.55,30896
2022-04-07 00:00:00+05:30,393,402.75,386.1,388.3,13550
2022-04-08 00:00:00+05:30,393.55,395.95,383,388.05,14202
