date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,1449,1506,1429.9,1497.8,381549
2022-01-04 00:00:00+05:30,1510,1565,1471.05,1484.65,137737
2022-01-05 00:00:00+05:30,1484,1508.9,1453.65,1464.8,200789
2022-01-06 00:00:00+05:30,1461,1478,1431.45,1440.45,66192
2022-01-07 00:00:00+05:30,1450,1461.4,1413,1424.4,54279
2022-01-10 00:00:00+05:30,1424.4,1475,1422.05,1469.45,105937
2022-01-11 00:00:00+05:30,1475,1475,1422.2,1436.6,72463
2022-01-12 00:00:00+05:30,1440,1464.9,1427.1,1433.6,53368
2022-01-13 00:00:00+05:30,1433.6,1445,1404.95,1409.75,64704
2022-01-14 00:00:00+05:30,1419.6,1459,1406.5,1442.1,152741
2022-01-17 00:00:00+05:30,1475,1485,1444.65,1459,63561
2022-01-18 00:00:00+05:30,1460,1484.75,1425.1,1435.95,62257
2022-01-19 00:00:00+05:30,1447.9,1471.1,1412.85,1452.95,85283
2022-01-20 00:00:00+05:30,1451.95,1470,1413.05,1424.35,53247
2022-01-21 00:00:00+05:30,1425,1451.9,1389.95,1403.1,80882
2022-01-24 00:00:00+05:30,1403.1,1448.1,1322.6,1360.65,449778
2022-01-25 00:00:00+05:30,1325,1365,1309.65,1353.35,61812
2022-01-27 00:00:00+05:30,1355,1400,1322.55,1371.55,90960
2022-01-28 00:00:00+05:30,1390.6,1409.95,1349,1374.05,59586
2022-01-31 00:00:00+05:30,1388.6,1388.6,1341,1347.4,141213
2022-02-01 00:00:00+05:30,1375.2,1375.2,1337.4,1341.5,29076
2022-02-02 00:00:00+05:30,1359,1398,1351,1379.15,206348
2022-02-03 00:00:00+05:30,1379.15,1379.95,1345,1371.5,283747
2022-02-04 00:00:00+05:30,1355,1372.7,1341.05,1350.15,35147
2022-02-07 00:00:00+05:30,1350.5,1350.5,1275.3,1298.2,59623
2022-02-08 00:00:00+05:30,1325.3,1325.3,1291,1305.3,32530
2022-02-09 00:00:00+05:30,1306,1324.15,1281.1,1284.65,155123
2022-02-10 00:00:00+05:30,1298,1348.95,1280.6,1297.15,276053
2022-02-11 00:00:00+05:30,1319.4,1393.8,1290,1371.4,311922
2022-02-14 00:00:00+05:30,1365.3,1365.3,1300,1304.4,107314
2022-02-15 00:00:00+05:30,1329,1340.6,1283.65,1326.15,93965
2022-02-16 00:00:00+05:30,1345,1345,1289,1302.25,97054
2022-02-17 00:00:00+05:30,1310,1323.95,1300,1307.65,95997
2022-02-18 00:00:00+05:30,1314,1318.5,1299.05,1310.2,55810
2022-02-21 00:00:00+05:30,1324,1324,1215,1221.15,176809
2022-02-22 00:00:00+05:30,1215,1243.15,1187.3,1223.35,236670
2022-02-23 00:00:00+05:30,1223.35,1274,1216.4,1220.05,182977
2022-02-24 00:00:00+05:30,1189.75,1234.35,1175,1206.55,156424
2022-02-25 00:00:00+05:30,1220,1231.9,1158.65,1175.25,179838
2022-02-28 00:00:00+05:30,1177,1291,1170,1267.75,627192
2022-03-02 00:00:00+05:30,1268.1,1290,1220,1235.8,287629
2022-03-03 00:00:00+05:30,1273,1300,1237.1,1299.5,165923
2022-03-04 00:00:00+05:30,1298,1300,1263.8,1297.75,95378
2022-03-07 00:00:00+05:30,1297.75,1297.75,1257.95,1287.6,96584
2022-03-08 00:00:00+05:30,1280,1332,1279.3,1314.1,77330
2022-03-09 00:00:00+05:30,1338.8,1395,1321.55,1364.4,134072
2022-03-10 00:00:00+05:30,1404,1426.05,1372.55,1385.1,113704
2022-03-11 00:00:00+05:30,1375.2,1421.35,1375.2,1384.4,76673
2022-03-14 00:00:00+05:30,1392,1397.95,1327.1,1390.8,113969
2022-03-15 00:00:00+05:30,1390.8,1390.8,1314.9,1331.1,357962
2022-03-16 00:00:00+05:30,1332,1355.55,1315.1,1331.85,69584
2022-03-17 00:00:00+05:30,1349,1349,1265.3,1316.7,548710
2022-03-21 00:00:00+05:30,1325,1355.85,1325,1342.4,41072
2022-03-22 00:00:00+05:30,1350,1356.5,1342.8,1348.45,25092
2022-03-23 00:00:00+05:30,1350,1359,1341.5,1350.1,43423
2022-03-24 00:00:00+05:30,1350,1359.9,1340,1346.1,24001
2022-03-25 00:00:00+05:30,1345.7,1355,1340,1344.7,56438
2022-03-28 00:00:00+05:30,1340,1353.7,1316.6,1329.8,24830
2022-03-29 00:00:00+05:30,1329.8,1355,1329.8,1340.8,56886
2022-03-30 00:00:00+05:30,1340.8,1424.8,1340.8,1404.85,278785
2022-03-31 00:00:00+05:30,1402,1414.65,1370.3,1383.2,41827
2022-04-01 00:00:00+05:30,1399,1404.25,1368.15,1387.3,38265
2022-04-04 00:00:00+05:30,1387.3,1444,1369,1398.35,65447
2022-04-05 00:00:00+05:30,1392,1432.4,1391.45,1402.1,37708
2022-04-06 00:00:00+05:30,1394,1455,1385,1436.15,78538
2022-04-07 00:00:00+05:30,1430.2,1454.5,1395,1404.95,26824
2022-04-08 00:00:00+05:30,1430,1442.45,1411.75,1431.6,54527
