date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,211.65,212.5,206.5,208.85,210504
2022-01-04 00:00:00+05:30,210.65,210.7,207.7,208.95,92639
2022-01-05 00:00:00+05:30,210,210.55,207.6,209.05,67520
2022-01-06 00:00:00+05:30,210,213.25,206.05,207.2,165804
2022-01-07 00:00:00+05:30,207.65,213.75,207.65,209.35,241635
2022-01-10 00:00:00+05:30,210,213.15,209.35,210.1,201877
2022-01-11 00:00:00+05:30,210.1,212.85,208.7,211.45,169524
2022-01-12 00:00:00+05:30,213.9,219,212,215.9,226923
2022-01-13 00:00:00+05:30,218.45,219.4,215.9,217.9,231121
2022-01-14 00:00:00+05:30,217.7,217.7,211.3,216.4,142696
2022-01-17 00:00:00+05:30,216.4,220.5,213.4,217.9,135097
2022-01-18 00:00:00+05:30,218.75,219.7,213,214.55,105649
2022-01-19 00:00:00+05:30,215.8,216.3,208.85,210.15,115265
2022-01-20 00:00:00+05:30,211.95,214.95,210.55,212.7,128083
2022-01-21 00:00:00+05:30,212.6,214.15,206,207.55,119076
2022-01-24 00:00:00+05:30,208,208,192.55,196,185773
2022-01-25 00:00:00+05:30,188,196.8,183.2,195.6,213896
2022-01-27 00:00:00+05:30,190.55,195.5,188.3,192.15,139034
2022-01-28 00:00:00+05:30,197,222,193.55,211.45,739007
2022-01-31 00:00:00+05:30,212.7,216.25,210,213.45,1299194
2022-02-01 00:00:00+05:30,215,222.5,210.6,220.5,2704928
2022-02-02 00:00:00+05:30,225.5,236.9,225,233.05,1002457
2022-02-03 00:00:00+05:30,233.6,233.9,222.85,223.7,283373
2022-02-04 00:00:00+05:30,224,226.75,217.5,218.75,192390
2022-02-07 00:00:00+05:30,218.5,219.35,212.5,214.1,221928
2022-02-08 00:00:00+05:30,214.15,215.75,200,206.95,352673
2022-02-09 00:00:00+05:30,208.8,212.45,206.1,210,157622
2022-02-10 00:00:00+05:30,209.55,211.5,206.25,208.7,91305
2022-02-11 00:00:00+05:30,204.15,209.35,200.85,205.85,201736
2022-02-14 00:00:00+05:30,200.7,209,195,197.1,207483
2022-02-15 00:00:00+05:30,197.25,208.45,194.65,206.3,161754
2022-02-16 00:00:00+05:30,208.3,210,206.45,207.1,97832
2022-02-17 00:00:00+05:30,208.5,209.75,201.55,203.2,65125
2022-02-18 00:00:00+05:30,200.5,205.85,198.55,200.15,74432
2022-02-21 00:00:00+05:30,195.7,202.45,195.5,199.7,109082
2022-02-22 00:00:00+05:30,189.7,198.45,189.65,194.85,167118
2022-02-23 00:00:00+05:30,196.5,204.45,196.5,202.55,89210
2022-02-24 00:00:00+05:30,191,198.15,185.05,187.1,364868
2022-02-25 00:00:00+05:30,191.1,203.8,190.95,198.6,355934
2022-02-28 00:00:00+05:30,198,203,195.15,200.95,81082
2022-03-02 00:00:00+05:30,198.5,207.55,197,201.7,100165
2022-03-03 00:00:00+05:30,205.3,207,197.15,198.55,52303
2022-03-04 00:00:00+05:30,197,203,194,195.4,96243
2022-03-07 00:00:00+05:30,190,193,185,187.9,201561
2022-03-08 00:00:00+05:30,188.55,195.7,187.55,192,173397
2022-03-09 00:00:00+05:30,192.5,195.65,185.35,187.5,303846
2022-03-10 00:00:00+05:30,191.7,196.9,186.05,187.7,306051
2022-03-11 00:00:00+05:30,189.5,206.65,189.5,202.7,1686036
2022-03-14 00:00:00+05:30,206,207,195,196.85,245246
2022-03-15 00:00:00+05:30,199.05,201,190.8,192.85,163114
2022-03-16 00:00:00+05:30,195.05,222.85,195.05,219.85,2035562
2022-03-17 00:00:00+05:30,222.9,230.75,220.55,222.3,1164486
2022-03-21 00:00:00+05:30,223.2,226,211.6,214.2,351530
2022-03-22 00:00:00+05:30,215.15,221.95,210.25,213.3,322711
2022-03-23 00:00:00+05:30,219,220.9,208.55,212.5,393337
2022-03-24 00:00:00+05:30,211.35,223.3,211,221.3,376462
2022-03-25 00:00:00+05:30,223.95,235,222.9,228.35,492881
2022-03-28 00:00:00+05:30,230.7,232.75,225,226.2,274367
2022-03-29 00:00:00+05:30,231.95,232.4,220.25,222.3,163689
2022-03-30 00:00:00+05:30,226.55,229.5,221.1,224.6,192455
2022-03-31 00:00:00+05:30,226,226.25,213.5,214.85,199781
2022-04-01 00:00:00+05:30,216.4,222.7,215.05,220.3,134559
2022-04-04 00:00:00+05:30,223.9,231,219.5,222.7,179517
2022-04-05 00:00:00+05:30,223,228.8,223,224.9,134212
2022-04-06 00:00:00+05:30,225.9,228.85,222.9,226.65,184667
2022-04-07 00:00:00+05:30,227,246.8,227,242.3,961661
2022-04-08 00:00:00+05:30,249.45,249.45,238.35,244.15,382117
