date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,335,335,317.65,333.1,33576
2022-01-04 00:00:00+05:30,331.15,345,330,333.55,38997
2022-01-05 00:00:00+05:30,335,342.95,330.55,337.85,25670
2022-01-06 00:00:00+05:30,335.6,371.6,335.6,358.7,131000
2022-01-07 00:00:00+05:30,358.7,376,355.75,372.55,60545
2022-01-10 00:00:00+05:30,378,385,369.65,380.25,51670
2022-01-11 00:00:00+05:30,384.45,398,375.1,391.15,47114
2022-01-12 00:00:00+05:30,394.5,399.4,381,385.6,23400
2022-01-13 00:00:00+05:30,389,389,371,374.1,32055
2022-01-14 00:00:00+05:30,374,387.95,370,384.3,31514
2022-01-17 00:00:00+05:30,393,396.85,384.3,389.55,23972
2022-01-18 00:00:00+05:30,393.95,394,372.5,375.75,30574
2022-01-19 00:00:00+05:30,376.05,384,365.45,371.7,10579
2022-01-20 00:00:00+05:30,368.2,374.95,367.25,368.55,7379
2022-01-21 00:00:00+05:30,355,381.2,355,362.55,23605
2022-01-24 00:00:00+05:30,380.5,380.5,338,352.75,28451
2022-01-25 00:00:00+05:30,340,370,340,350.1,9460
2022-01-27 00:00:00+05:30,350,364.8,341,351.5,9075
2022-01-28 00:00:00+05:30,359.85,359.85,350.05,353.9,7219
2022-01-31 00:00:00+05:30,367.8,367.8,349.2,356.95,11123
2022-02-01 00:00:00+05:30,361.95,367,350,365.05,8742
2022-02-02 00:00:00+05:30,368.9,381.95,360,377.6,26748
2022-02-03 00:00:00+05:30,385,385,373.25,381.95,27371
2022-02-04 00:00:00+05:30,373.5,388,370.45,373.05,17755
2022-02-07 00:00:00+05:30,380.4,380.4,365,370.1,7537
2022-02-08 00:00:00+05:30,379,379,345,351.05,47576
2022-02-09 00:00:00+05:30,350.05,361.2,350.05,359.6,13495
2022-02-10 00:00:00+05:30,364,364,325.1,343.05,59021
2022-02-11 00:00:00+05:30,340,347.85,340,340.65,22354
2022-02-14 00:00:00+05:30,340,344.15,328.05,329.95,89161
2022-02-15 00:00:00+05:30,337.1,337.15,320,327,62169
2022-02-16 00:00:00+05:30,335,335,321.1,322.65,29393
2022-02-17 00:00:00+05:30,322.95,324.95,320,320.05,17671
2022-02-18 00:00:00+05:30,320.05,323.45,320,320.05,11601
2022-02-21 00:00:00+05:30,320.1,322.1,310,312.15,36822
2022-02-22 00:00:00+05:30,310,329.25,310,321.2,35706
2022-02-23 00:00:00+05:30,326,328.1,310,313.45,13851
2022-02-24 00:00:00+05:30,310,318.05,300.8,303.4,56829
2022-02-25 00:00:00+05:30,300.2,320,300.2,309.65,24197
2022-02-28 00:00:00+05:30,310,310,300,305,33253
2022-03-02 00:00:00+05:30,304.4,311.25,300,301.2,23701
2022-03-03 00:00:00+05:30,303.05,308,300,301.65,13323
2022-03-04 00:00:00+05:30,303.95,305.8,282.55,286.85,54246
2022-03-07 00:00:00+05:30,277.5,286.85,270,275.25,28974
2022-03-08 00:00:00+05:30,279.35,284,272.3,281.55,62524
2022-03-09 00:00:00+05:30,284,303,279.25,299.95,51992
2022-03-10 00:00:00+05:30,300.9,311.95,287.5,300.25,22459
2022-03-11 00:00:00+05:30,300.25,314,298.25,300.9,63363
2022-03-14 00:00:00+05:30,311.9,311.9,283.6,293.1,60375
2022-03-15 00:00:00+05:30,295.75,302,277.6,281.1,32325
2022-03-16 00:00:00+05:30,285.3,308,282.2,302,34769
2022-03-17 00:00:00+05:30,302,309.25,296.2,300,27872
2022-03-21 00:00:00+05:30,300.05,305,291,301.75,26592
2022-03-22 00:00:00+05:30,301.4,311.35,295.3,299.05,50941
2022-03-23 00:00:00+05:30,301.7,304.7,294,299.75,24868
2022-03-24 00:00:00+05:30,299.1,302.5,293,296.35,30125
2022-03-25 00:00:00+05:30,299,304.3,289,293.05,39795
2022-03-28 00:00:00+05:30,303.95,303.95,285,287.1,101680
2022-03-29 00:00:00+05:30,291.95,295,273,278.65,200315
2022-03-30 00:00:00+05:30,294.95,295.05,278.55,279.8,26116
2022-03-31 00:00:00+05:30,280,288.7,280,283.05,24260
2022-04-01 00:00:00+05:30,287.3,299.2,285.25,296.75,12983
2022-04-04 00:00:00+05:30,291.2,303.5,287,300.7,36105
2022-04-05 00:00:00+05:30,304.8,316.95,295,313.4,46174
2022-04-06 00:00:00+05:30,315,329.9,310.05,325.15,46617
2022-04-07 00:00:00+05:30,330,344.9,312.1,317.45,62962
2022-04-08 00:00:00+05:30,320,338,318.25,333.65,31609
