date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,27.25,27.95,27,27.5,282040
2022-01-04 00:00:00+05:30,27.95,33,27.75,33,6893258
2022-01-05 00:00:00+05:30,35.7,36.7,31.65,31.9,5889335
2022-01-06 00:00:00+05:30,32.3,34.45,30.9,33.55,3327108
2022-01-07 00:00:00+05:30,33.9,34.75,32.3,32.6,1484787
2022-01-10 00:00:00+05:30,33.2,34.15,33.15,33.45,1097617
2022-01-11 00:00:00+05:30,34.4,34.4,32,32.2,826831
2022-01-12 00:00:00+05:30,32.25,33.7,31.6,31.8,743055
2022-01-13 00:00:00+05:30,32.15,34,31.6,33.15,2282223
2022-01-14 00:00:00+05:30,33.55,34.7,33.1,33.6,2070856
2022-01-17 00:00:00+05:30,34.25,34.4,33.6,34,1398731
2022-01-18 00:00:00+05:30,34.45,34.75,32.5,32.8,1612818
2022-01-19 00:00:00+05:30,33.4,33.55,32.15,32.85,565756
2022-01-20 00:00:00+05:30,33.35,36.4,32.75,35.35,3717015
2022-01-21 00:00:00+05:30,36.3,36.3,33.6,34.1,1459475
2022-01-24 00:00:00+05:30,34.1,34.2,30.1,30.95,1314334
2022-01-25 00:00:00+05:30,30,32.4,29.95,31.7,888414
2022-01-27 00:00:00+05:30,31.4,33.2,30.5,32.45,761013
2022-01-28 00:00:00+05:30,32.5,34,32.3,32.6,578182
2022-01-31 00:00:00+05:30,32.95,33.35,31.85,32,421723
2022-02-01 00:00:00+05:30,32.25,32.6,31,31.25,572647
2022-02-02 00:00:00+05:30,31.3,32.25,31.15,31.5,517316
2022-02-03 00:00:00+05:30,32.4,33.45,31.8,32.65,1088005
2022-02-04 00:00:00+05:30,32.9,33.55,32.05,32.3,579098
2022-02-07 00:00:00+05:30,32.6,35.45,32.4,34.25,2177953
2022-02-08 00:00:00+05:30,35,35.25,31.95,33.3,912598
2022-02-09 00:00:00+05:30,33.3,35.2,33.3,34.8,1699414
2022-02-10 00:00:00+05:30,35,37.4,34,35.6,3176786
2022-02-11 00:00:00+05:30,35.25,36,33.95,34.35,1345080
2022-02-14 00:00:00+05:30,31.2,32.25,28.55,29.85,2258452
2022-02-15 00:00:00+05:30,29.85,31.3,28.85,30.7,1013259
2022-02-16 00:00:00+05:30,31.25,31.85,30.4,30.95,1363039
2022-02-17 00:00:00+05:30,31.45,31.7,29.8,30.2,427245
2022-02-18 00:00:00+05:30,29.8,30.7,29.55,29.8,434219
2022-02-21 00:00:00+05:30,29.85,29.9,27.65,28.15,604665
2022-02-22 00:00:00+05:30,27.5,27.75,25.2,26.6,768982
2022-02-23 00:00:00+05:30,27.5,28.85,27.3,28.4,634276
2022-02-24 00:00:00+05:30,26.15,27.6,25,25.35,711834
2022-02-25 00:00:00+05:30,26.8,27.5,26.8,27.35,367175
2022-02-28 00:00:00+05:30,27,27.9,26.4,27.65,400559
2022-03-02 00:00:00+05:30,27.55,28.5,27,27.85,456239
2022-03-03 00:00:00+05:30,28.35,29.2,28.3,28.5,647325
2022-03-04 00:00:00+05:30,28.25,28.9,28,28.55,462573
2022-03-07 00:00:00+05:30,28.4,28.75,27.4,28.5,506585
2022-03-08 00:00:00+05:30,28.1,30.5,28.1,29.95,843448
2022-03-09 00:00:00+05:30,30.3,33.3,30.3,32,1703921
2022-03-10 00:00:00+05:30,33,33.4,31.35,31.55,935093
2022-03-11 00:00:00+05:30,31.1,33.7,31,32.9,2256635
2022-03-14 00:00:00+05:30,33.1,35.9,32.7,34.25,3496529
2022-03-15 00:00:00+05:30,34.25,34.8,31.85,32.6,1644479
2022-03-16 00:00:00+05:30,33.2,33.5,32.5,32.9,480551
2022-03-17 00:00:00+05:30,33.25,33.45,32.35,32.5,396880
2022-03-21 00:00:00+05:30,32.95,33.75,32.5,32.75,682703
2022-03-22 00:00:00+05:30,33,33.7,32.7,33.05,555016
2022-03-23 00:00:00+05:30,33.35,33.75,30.55,32.25,567807
2022-03-24 00:00:00+05:30,32.1,33.4,31.8,32.55,706512
2022-03-25 00:00:00+05:30,32.85,33.1,30.9,31.25,602490
2022-03-28 00:00:00+05:30,31.65,31.9,30.1,30.35,421709
2022-03-29 00:00:00+05:30,30.55,30.95,28.75,29.3,713949
2022-03-30 00:00:00+05:30,29.6,30.65,29.6,29.8,393529
2022-03-31 00:00:00+05:30,29.55,30.1,29,29.25,457170
2022-04-01 00:00:00+05:30,29.05,31,29.05,30.65,491606
2022-04-04 00:00:00+05:30,30.95,31.9,30.6,31.65,611712
2022-04-05 00:00:00+05:30,31.8,32.65,31.4,31.75,715495
2022-04-06 00:00:00+05:30,31.5,36.85,31.5,35.2,6090557
2022-04-07 00:00:00+05:30,35.65,42.2,35.2,40.15,12540438
2022-04-08 00:00:00+05:30,41.25,43.75,38.35,38.65,6290612
