date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,330.1,330.95,316.55,327.5,60131
2022-01-04 00:00:00+05:30,332,343.85,321.35,343.85,112169
2022-01-05 00:00:00+05:30,351.55,361,349.95,361,69126
2022-01-06 00:00:00+05:30,375.8,379.05,362.3,379.05,94906
2022-01-07 00:00:00+05:30,398,398,393.1,398,46948
2022-01-10 00:00:00+05:30,417.9,417.9,398.95,417.9,105862
2022-01-11 00:00:00+05:30,438.75,438.75,397.05,397.05,231221
2022-01-12 00:00:00+05:30,398.5,415.8,377.2,406.25,262026
2022-01-13 00:00:00+05:30,416,416,391.05,411.85,85178
2022-01-14 00:00:00+05:30,416.65,432.4,406.75,432.4,69787
2022-01-17 00:00:00+05:30,454,454,454,454,42853
2022-01-18 00:00:00+05:30,476.7,476.7,452,461.35,291422
2022-01-19 00:00:00+05:30,469,469,438.3,450.7,163983
2022-01-20 00:00:00+05:30,465,473,460,470,117430
2022-01-21 00:00:00+05:30,470,470,447.55,450.9,61475
2022-01-24 00:00:00+05:30,457,463.95,428,430.15,99554
2022-01-25 00:00:00+05:30,430.15,451.65,409,451.65,117934
2022-01-27 00:00:00+05:30,463.95,474.2,453,474.2,100983
2022-01-28 00:00:00+05:30,484.6,497.9,481.95,497.9,49763
2022-01-31 00:00:00+05:30,522.75,522.75,480.05,495.45,220607
2022-02-01 00:00:00+05:30,500,506.2,470.7,470.7,186033
2022-02-02 00:00:00+05:30,468.6,494.2,462,494.2,85138
2022-02-03 00:00:00+05:30,505,506,475.5,480.25,75317
2022-02-04 00:00:00+05:30,490,490,467.05,483.95,38053
2022-02-07 00:00:00+05:30,500.4,500.4,464.1,470.7,101700
2022-02-08 00:00:00+05:30,470,480,447.2,452.45,167136
2022-02-09 00:00:00+05:30,466.8,475.05,456.2,460.05,135077
2022-02-10 00:00:00+05:30,463,463,440,444.6,50003
2022-02-11 00:00:00+05:30,440,465,425.55,458.5,73905
2022-02-14 00:00:00+05:30,441,459,435.6,436.65,97385
2022-02-15 00:00:00+05:30,436.65,450,421.05,428.25,41702
2022-02-16 00:00:00+05:30,437,449.65,436,448.3,66763
2022-02-17 00:00:00+05:30,455,457.7,437,439.65,44085
2022-02-18 00:00:00+05:30,428,444.4,428,432.55,26789
2022-02-21 00:00:00+05:30,421.05,424.35,410.95,410.95,103234
2022-02-22 00:00:00+05:30,390.45,399,390.45,390.8,96221
2022-02-23 00:00:00+05:30,392,399,381.6,390.25,74371
2022-02-24 00:00:00+05:30,372.6,379.5,370.75,370.75,50278
2022-02-25 00:00:00+05:30,375,389.25,375,389.25,26048
2022-02-28 00:00:00+05:30,390,408.7,377.05,408.7,45807
2022-03-02 00:00:00+05:30,410,427.7,390.05,397.25,90166
2022-03-03 00:00:00+05:30,409.95,417.1,402,417,74098
2022-03-04 00:00:00+05:30,415,430.25,403.1,420.7,95941
2022-03-07 00:00:00+05:30,405.25,408.5,399.7,403.3,58019
2022-03-08 00:00:00+05:30,404,416.7,393.3,410.2,27840
2022-03-09 00:00:00+05:30,418,430.7,414.1,429.55,59441
2022-03-10 00:00:00+05:30,437,451,423.25,439.55,96530
2022-03-11 00:00:00+05:30,435,458.95,435,454.7,56293
2022-03-14 00:00:00+05:30,459,469.8,456.2,462.45,130165
2022-03-15 00:00:00+05:30,472,472.95,446,450.4,76375
2022-03-16 00:00:00+05:30,460,470,451.25,460.45,43127
2022-03-17 00:00:00+05:30,470,472.1,448,457.7,82413
2022-03-21 00:00:00+05:30,465,466.9,441.55,449.8,44174
2022-03-22 00:00:00+05:30,441,465,437.55,440.75,55901
2022-03-23 00:00:00+05:30,441.8,450.25,432.05,435.75,62624
2022-03-24 00:00:00+05:30,432.1,457.5,429.6,457.5,99626
2022-03-25 00:00:00+05:30,462.5,480.35,452,480.35,89922
2022-03-28 00:00:00+05:30,489.9,504.35,470,503.8,203461
2022-03-29 00:00:00+05:30,519.95,528.95,508,528.95,77498
2022-03-30 00:00:00+05:30,555.35,555.35,544.85,555.35,59455
2022-03-31 00:00:00+05:30,555,583.1,530,556,281046
2022-04-01 00:00:00+05:30,566,572.95,532.1,543.05,89689
2022-04-04 00:00:00+05:30,544.95,557.95,534,544.15,65757
2022-04-05 00:00:00+05:30,550,550,536.55,541.05,40403
2022-04-06 00:00:00+05:30,532,545,532,537.4,25413
2022-04-07 00:00:00+05:30,542.7,550,525,529.55,48644
2022-04-08 00:00:00+05:30,529.55,549,528.05,530.8,46082
