date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,8.05,8.05,8.05,8.05,95415
2022-01-04 00:00:00+05:30,8.45,8.45,7.65,8.1,957898
2022-01-05 00:00:00+05:30,7.7,8.2,7.7,7.7,229136
2022-01-06 00:00:00+05:30,7.35,7.35,7.35,7.35,104486
2022-01-07 00:00:00+05:30,7.2,7.7,7.15,7.45,436529
2022-01-10 00:00:00+05:30,7.6,7.8,7.55,7.8,482711
2022-01-11 00:00:00+05:30,8.05,8.15,7.75,8.15,356677
2022-01-12 00:00:00+05:30,8.5,8.55,7.75,7.85,579299
2022-01-13 00:00:00+05:30,8,8,7.5,7.5,297475
2022-01-14 00:00:00+05:30,7.15,7.85,7.15,7.85,215646
2022-01-17 00:00:00+05:30,8.2,8.2,7.65,8.1,339544
2022-01-18 00:00:00+05:30,8.4,8.4,7.7,7.8,221596
2022-01-19 00:00:00+05:30,7.45,7.85,7.45,7.65,213927
2022-01-20 00:00:00+05:30,7.45,7.95,7.3,7.35,158737
2022-01-21 00:00:00+05:30,7.65,7.65,7.1,7.25,135604
2022-01-24 00:00:00+05:30,7.5,7.5,6.9,6.95,157775
2022-01-25 00:00:00+05:30,6.75,7.25,6.65,7.2,141130
2022-01-27 00:00:00+05:30,7.55,7.55,6.85,6.9,82941
2022-01-28 00:00:00+05:30,7.1,7.2,6.75,6.95,155609
2022-01-31 00:00:00+05:30,6.7,7.2,6.65,6.75,132784
2022-02-01 00:00:00+05:30,6.85,6.95,6.5,6.65,69213
2022-02-02 00:00:00+05:30,6.9,6.9,6.5,6.8,64603
2022-02-03 00:00:00+05:30,7.1,7.1,6.7,7.05,108577
2022-02-04 00:00:00+05:30,7.05,7.1,6.85,6.95,105467
2022-02-07 00:00:00+05:30,7,7,6.7,6.75,67654
2022-02-08 00:00:00+05:30,6.65,6.9,6.45,6.5,79885
2022-02-09 00:00:00+05:30,6.5,6.5,6.2,6.2,113492
2022-02-10 00:00:00+05:30,6.3,6.3,5.9,6,69181
2022-02-11 00:00:00+05:30,6,6.05,5.75,5.85,94111
2022-02-14 00:00:00+05:30,5.8,5.8,5.6,5.6,88790
2022-02-15 00:00:00+05:30,5.5,5.85,5.35,5.85,129295
2022-02-16 00:00:00+05:30,6,6.1,5.75,5.9,88796
2022-02-17 00:00:00+05:30,6.15,6.15,6,6.1,78330
2022-02-18 00:00:00+05:30,6.4,6.4,5.85,5.9,64440
2022-02-21 00:00:00+05:30,5.9,6.15,5.65,5.8,101511
2022-02-22 00:00:00+05:30,5.9,5.9,5.55,5.55,19385
2022-02-23 00:00:00+05:30,5.3,5.8,5.3,5.8,84385
2022-02-24 00:00:00+05:30,5.55,5.55,5.55,5.55,16384
2022-02-25 00:00:00+05:30,5.3,5.8,5.3,5.8,142403
2022-02-28 00:00:00+05:30,5.6,5.95,5.55,5.65,75439
2022-03-02 00:00:00+05:30,5.8,5.85,5.45,5.8,54145
2022-03-03 00:00:00+05:30,5.55,6.05,5.55,5.75,50582
2022-03-04 00:00:00+05:30,5.65,5.9,5.6,5.75,61766
2022-03-07 00:00:00+05:30,5.5,6,5.5,5.75,78640
2022-03-08 00:00:00+05:30,6,6,5.5,5.6,193410
2022-03-09 00:00:00+05:30,5.5,5.85,5.5,5.8,58134
2022-03-10 00:00:00+05:30,6.05,6.05,5.75,6.05,61201
2022-03-11 00:00:00+05:30,6,6.25,5.8,6.05,77085
2022-03-14 00:00:00+05:30,6.15,6.2,5.75,5.75,201098
2022-03-15 00:00:00+05:30,5.55,6,5.55,5.95,79597
2022-03-16 00:00:00+05:30,6.1,6.15,5.7,5.75,68488
2022-03-17 00:00:00+05:30,5.95,5.95,5.55,5.75,77027
2022-03-21 00:00:00+05:30,5.95,5.95,5.5,5.7,106177
2022-03-22 00:00:00+05:30,5.6,5.8,5.45,5.45,113720
2022-03-23 00:00:00+05:30,5.6,5.65,5.2,5.25,133219
2022-03-24 00:00:00+05:30,5.25,5.45,5,5.15,330784
2022-03-25 00:00:00+05:30,5.25,5.35,4.9,4.9,191450
2022-03-28 00:00:00+05:30,4.7,5.1,4.7,5.05,214230
2022-03-29 00:00:00+05:30,5.25,5.25,4.8,4.95,138036
2022-03-30 00:00:00+05:30,4.9,5.15,4.8,4.85,115546
2022-03-31 00:00:00+05:30,4.75,4.9,4.65,4.65,145658
2022-04-01 00:00:00+05:30,4.75,4.85,4.45,4.85,93581
2022-04-04 00:00:00+05:30,5,5.05,4.9,5.05,33328
2022-04-05 00:00:00+05:30,5.3,5.3,4.95,5.3,52086
2022-04-06 00:00:00+05:30,5.5,5.55,5.35,5.55,51500
2022-04-07 00:00:00+05:30,5.8,6.1,5.3,6.1,285986
2022-04-08 00:00:00+05:30,6.3,6.5,5.95,6.05,133198
