date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,1207.05,1254.3,1207.05,1235.85,12509
2022-01-04 00:00:00+05:30,1241,1259,1215,1231.45,16771
2022-01-05 00:00:00+05:30,1234,1253,1222.2,1227,8993
2022-01-06 00:00:00+05:30,1235,1286.1,1211.5,1245.55,47050
2022-01-07 00:00:00+05:30,1253,1266.3,1241.4,1251.1,8528
2022-01-10 00:00:00+05:30,1249.8,1264,1240,1247.8,19327
2022-01-11 00:00:00+05:30,1235,1259.95,1230.55,1250.65,9184
2022-01-12 00:00:00+05:30,1256.9,1311.1,1256.8,1269,31045
2022-01-13 00:00:00+05:30,1277.8,1285.15,1240.1,1245.95,9974
2022-01-14 00:00:00+05:30,1241.95,1264.9,1240.7,1248,14845
2022-01-17 00:00:00+05:30,1245,1288.95,1241.35,1274.85,22089
2022-01-18 00:00:00+05:30,1281.25,1298.6,1255.1,1264.35,20286
2022-01-19 00:00:00+05:30,1264.85,1277.85,1231.05,1252.85,26639
2022-01-20 00:00:00+05:30,1253.3,1279,1237.65,1263.7,5276
2022-01-21 00:00:00+05:30,1262.15,1279,1241.7,1270.25,11863
2022-01-24 00:00:00+05:30,1260,1272.75,1202.55,1255.7,33087
2022-01-25 00:00:00+05:30,1255.85,1255.9,1203.65,1217.7,34298
2022-01-27 00:00:00+05:30,1235,1268,1208.05,1219.95,17353
2022-01-28 00:00:00+05:30,1215,1253.35,1215,1246.9,7731
2022-01-31 00:00:00+05:30,1240,1262.7,1215,1230.15,16996
2022-02-01 00:00:00+05:30,1236.3,1243,1217,1231.9,13979
2022-02-02 00:00:00+05:30,1238.05,1238.05,1205.65,1209.95,26401
2022-02-03 00:00:00+05:30,1209.95,1216.2,1183,1189.25,17829
2022-02-04 00:00:00+05:30,1192.85,1201.9,1185,1196.2,4622
2022-02-07 00:00:00+05:30,1218.9,1218.9,1185,1188.35,7193
2022-02-08 00:00:00+05:30,1185,1193.6,1140.4,1147.3,15964
2022-02-09 00:00:00+05:30,1153,1179.1,1145,1152.9,13173
2022-02-10 00:00:00+05:30,1155.8,1169,1136.45,1151.15,12051
2022-02-11 00:00:00+05:30,1136.8,1148.5,1127.05,1133.75,8841
2022-02-14 00:00:00+05:30,1120,1125.05,1082,1089.8,14704
2022-02-15 00:00:00+05:30,1085,1116.85,1057.15,1107.9,9741
2022-02-16 00:00:00+05:30,1107.9,1129.2,1076,1082.5,59419
2022-02-17 00:00:00+05:30,1082.5,1111.55,1052.05,1061.05,22193
2022-02-18 00:00:00+05:30,1066.35,1111.55,1062,1077.1,33026
2022-02-21 00:00:00+05:30,1065.95,1088,1060,1063.15,7401
2022-02-22 00:00:00+05:30,1026.1,1072,1026.1,1038.4,68799
2022-02-23 00:00:00+05:30,1089,1089,1025.55,1030.7,12611
2022-02-24 00:00:00+05:30,1015,1027.55,960,967.4,76013
2022-02-25 00:00:00+05:30,996.45,1017.95,970,999,72087
2022-02-28 00:00:00+05:30,1000.55,1129.65,1000.55,1097.1,352028
2022-03-02 00:00:00+05:30,1085,1125.65,1072.3,1104.25,56011
2022-03-03 00:00:00+05:30,1109.8,1125,1051,1055.75,28490
2022-03-04 00:00:00+05:30,1054,1088,1036,1053.8,15522
2022-03-07 00:00:00+05:30,1053,1161.2,1030,1146.8,220856
2022-03-08 00:00:00+05:30,1125.1,1136.8,1091.45,1103.4,31246
2022-03-09 00:00:00+05:30,1114,1126.15,1091.3,1096.9,46411
2022-03-10 00:00:00+05:30,1135,1135,1088,1093.45,24348
2022-03-11 00:00:00+05:30,1097,1134.5,1085.45,1121.3,21999
2022-03-14 00:00:00+05:30,1126.95,1173.35,1115,1137,36059
2022-03-15 00:00:00+05:30,1142.7,1158.6,1110,1143.05,66025
2022-03-16 00:00:00+05:30,1160,1165,1123.05,1133.45,19084
2022-03-17 00:00:00+05:30,1150,1156.4,1132,1149.65,19686
2022-03-21 00:00:00+05:30,1170,1170,1148.75,1164.2,22095
2022-03-22 00:00:00+05:30,1194,1309,1180.6,1237.7,597232
2022-03-23 00:00:00+05:30,1244,1259.85,1212,1235.6,59739
2022-03-24 00:00:00+05:30,1249,1259,1217,1249.8,38801
2022-03-25 00:00:00+05:30,1258,1258,1210,1221.65,32117
2022-03-28 00:00:00+05:30,1227.8,1238.5,1200.15,1228.45,37413
2022-03-29 00:00:00+05:30,1234.6,1253.2,1217.95,1243.2,28844
2022-03-30 00:00:00+05:30,1253.2,1318,1233.05,1286.05,58610
2022-03-31 00:00:00+05:30,1292,1330.75,1270,1319.45,44926
2022-04-01 00:00:00+05:30,1340,1362,1303.95,1321.6,32806
2022-04-04 00:00:00+05:30,1337.8,1357.1,1287.5,1311.15,26478
2022-04-05 00:00:00+05:30,1328.75,1333.95,1310,1322.15,30430
2022-04-06 00:00:00+05:30,1328.8,1337.1,1316.3,1325.8,19615
2022-04-07 00:00:00+05:30,1322,1360,1317.95,1324.2,14851
2022-04-08 00:00:00+05:30,1310.95,1334.95,1310.95,1322.15,9742
