date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,26.3,27,25.05,25.25,32077
2022-01-04 00:00:00+05:30,26,26,24.5,24.55,22415
2022-01-05 00:00:00+05:30,25.75,26.3,24.75,25.85,38364
2022-01-06 00:00:00+05:30,26.2,27.6,24.75,26.55,53615
2022-01-07 00:00:00+05:30,28.15,28.9,26.85,27.75,87842
2022-01-10 00:00:00+05:30,29.4,30.5,27.1,30.5,300801
2022-01-11 00:00:00+05:30,32,33.55,30.55,33.55,371878
2022-01-12 00:00:00+05:30,34.55,34.85,31.9,32.35,162026
2022-01-13 00:00:00+05:30,32.95,32.95,30.75,30.75,49702
2022-01-14 00:00:00+05:30,29.5,30.95,29.4,29.95,31965
2022-01-17 00:00:00+05:30,30,31.3,30,30.8,72862
2022-01-18 00:00:00+05:30,30.2,31.5,29.3,29.65,127233
2022-01-19 00:00:00+05:30,30.2,30.2,28.35,28.5,34827
2022-01-20 00:00:00+05:30,28.5,29.9,28.5,29.9,29837
2022-01-21 00:00:00+05:30,30.9,31.35,30,30.2,121775
2022-01-24 00:00:00+05:30,30.2,30.2,28.7,28.7,30800
2022-01-25 00:00:00+05:30,27.75,29.45,27.3,28.95,34694
2022-01-27 00:00:00+05:30,28.5,28.95,27.8,28.6,22276
2022-01-28 00:00:00+05:30,27.5,29.35,27.5,29,43669
2022-01-31 00:00:00+05:30,28.35,29.35,27.65,28.1,45986
2022-02-01 00:00:00+05:30,28.05,28.8,27.4,27.75,26728
2022-02-02 00:00:00+05:30,26.6,28.75,26.4,28.2,55737
2022-02-03 00:00:00+05:30,28.8,29.05,28.05,28.25,20547
2022-02-04 00:00:00+05:30,28.85,28.85,27.5,27.8,17109
2022-02-07 00:00:00+05:30,28.8,28.8,26.95,27.05,22589
2022-02-08 00:00:00+05:30,27.1,28,26.55,27.65,6528
2022-02-09 00:00:00+05:30,28,28,26.65,27,15556
2022-02-10 00:00:00+05:30,27.5,27.5,26.4,26.65,6257
2022-02-11 00:00:00+05:30,26.85,27,26.15,26.2,5265
2022-02-14 00:00:00+05:30,27.15,28.7,25.15,26.25,38554
2022-02-15 00:00:00+05:30,27.25,27.3,24.4,25.65,14232
2022-02-16 00:00:00+05:30,25.55,26.25,24.4,25.05,12773
2022-02-17 00:00:00+05:30,24.8,26.2,24.55,25.05,8319
2022-02-18 00:00:00+05:30,25.9,25.95,24.4,24.45,14402
2022-02-21 00:00:00+05:30,24.5,25,23.75,24.85,10333
2022-02-22 00:00:00+05:30,24,24.15,22.4,22.95,21451
2022-02-23 00:00:00+05:30,23.9,24.25,22.9,23.85,18218
2022-02-24 00:00:00+05:30,24.85,24.85,21.5,21.5,32138
2022-02-25 00:00:00+05:30,21.05,23.35,21.05,23.1,12869
2022-02-28 00:00:00+05:30,25.1,25.1,21.9,22.8,5882
2022-03-02 00:00:00+05:30,22.8,23.55,21.55,22.05,13568
2022-03-03 00:00:00+05:30,22.25,22.9,22.2,22.65,9100
2022-03-04 00:00:00+05:30,23.75,23.75,20.55,20.8,35452
2022-03-07 00:00:00+05:30,20.75,22.5,19.75,20.6,86773
2022-03-08 00:00:00+05:30,21.45,21.9,20.55,21.3,16475
2022-03-09 00:00:00+05:30,21.2,22.4,21.05,21.6,72537
2022-03-10 00:00:00+05:30,21.85,22,21.1,21.55,58760
2022-03-11 00:00:00+05:30,21.9,23,21.25,22.2,24833
2022-03-14 00:00:00+05:30,22.85,22.85,20.95,21.75,52494
2022-03-15 00:00:00+05:30,21.5,22.65,21.5,22.2,12263
2022-03-16 00:00:00+05:30,24,24,20.6,21.2,33924
2022-03-17 00:00:00+05:30,22.65,22.9,21.5,22.1,20938
2022-03-21 00:00:00+05:30,23.4,23.4,21.05,21.85,27539
2022-03-22 00:00:00+05:30,22,22.35,21.5,22.3,21957
2022-03-23 00:00:00+05:30,22.3,22.3,21.55,21.75,14144
2022-03-24 00:00:00+05:30,22.25,23.9,21.5,22.65,133508
2022-03-25 00:00:00+05:30,22.65,23.35,21.85,22.1,35794
2022-03-28 00:00:00+05:30,22.05,22.05,21.5,21.6,20102
2022-03-29 00:00:00+05:30,22.4,22.45,19.45,19.75,68269
2022-03-30 00:00:00+05:30,20.35,20.35,18.05,19.6,43645
2022-03-31 00:00:00+05:30,19.4,20.4,18.1,18.8,46352
2022-04-01 00:00:00+05:30,18.45,20,18.45,19.85,16809
2022-04-04 00:00:00+05:30,20,21.4,20,21.2,37133
2022-04-05 00:00:00+05:30,21.75,22.1,20.3,20.85,20865
2022-04-06 00:00:00+05:30,22,22.4,21,22,25111
2022-04-07 00:00:00+05:30,24,24,22.4,22.6,56920
2022-04-08 00:00:00+05:30,23.1,23.25,21.7,22.4,23010
