date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,8685,8977.55,8597.75,8875.5,21681
2022-01-04 00:00:00+05:30,8878,9480,8878,9440.3,42444
2022-01-05 00:00:00+05:30,9420,9599,9280,9338.8,17739
2022-01-06 00:00:00+05:30,9250,9550,9240,9493.8,25643
2022-01-07 00:00:00+05:30,9520,9638.8,9325.85,9510.05,25236
2022-01-10 00:00:00+05:30,9510.05,9698.7,9510.05,9596.35,9531
2022-01-11 00:00:00+05:30,9610,9765,9561,9618.55,13731
2022-01-12 00:00:00+05:30,9651,9733.25,9461.05,9561.15,7599
2022-01-13 00:00:00+05:30,9688,9751.8,9536.25,9690.65,10173
2022-01-14 00:00:00+05:30,9719,10439.95,9600,10105,64038
2022-01-17 00:00:00+05:30,10148,10425,10031.65,10238.25,19148
2022-01-18 00:00:00+05:30,10240,10698.5,10240,10384.85,33465
2022-01-19 00:00:00+05:30,10400,11027,10280.95,10950.9,43686
2022-01-20 00:00:00+05:30,10912,11180,10621.25,10720.05,18833
2022-01-21 00:00:00+05:30,10670,11136.75,10520,10938.65,19313
2022-01-24 00:00:00+05:30,10950,11142.95,10301,10430.4,19443
2022-01-25 00:00:00+05:30,10439.5,11023,10117.5,10904.3,20994
2022-01-27 00:00:00+05:30,10651,11250,10569.3,11222.65,16088
2022-01-28 00:00:00+05:30,11414.2,11570,10893.85,11049.75,18892
2022-01-31 00:00:00+05:30,11149,11289.7,10819.35,10912.35,8854
2022-02-01 00:00:00+05:30,10913,11099,10776.55,11014.45,9979
2022-02-02 00:00:00+05:30,11065,11366.45,11020,11133.3,10904
2022-02-03 00:00:00+05:30,11000,11224,10795,10845.6,4248
2022-02-04 00:00:00+05:30,10705,11047.9,10705,10835,8309
2022-02-07 00:00:00+05:30,10900,11400,10820.75,11171.2,25780
2022-02-08 00:00:00+05:30,11220,11290,10856.15,11076.6,14918
2022-02-09 00:00:00+05:30,11100,11770,11049.8,11691.95,33681
2022-02-10 00:00:00+05:30,11770,11790,11105.1,11177.85,16768
2022-02-11 00:00:00+05:30,11000,11099.95,10891.5,10944.65,7183
2022-02-14 00:00:00+05:30,10510.1,10960,10500,10710.85,17026
2022-02-15 00:00:00+05:30,10680,10990.05,10408.55,10802.9,18879
2022-02-16 00:00:00+05:30,10895,11034.9,10705.6,10792.35,7451
2022-02-17 00:00:00+05:30,10701,10892.45,10470,10561.25,6023
2022-02-18 00:00:00+05:30,10500,10681.95,10190.25,10252.55,5426
2022-02-21 00:00:00+05:30,10118.8,10396.6,10010,10102,8211
2022-02-22 00:00:00+05:30,9999,10121.4,9834,9949,10082
2022-02-23 00:00:00+05:30,10021,10133.95,9850.05,9888.55,5826
2022-02-24 00:00:00+05:30,9501.1,9680,9410,9615.25,22322
2022-02-25 00:00:00+05:30,9924.95,10253.15,9838.2,10203.05,10127
2022-02-28 00:00:00+05:30,10052,10485.85,10001.05,10321.15,12169
2022-03-02 00:00:00+05:30,10280,10445,10050,10357.7,9648
2022-03-03 00:00:00+05:30,10449,10589.85,10155,10220.05,5824
2022-03-04 00:00:00+05:30,10250,10499.95,9955.5,10146.7,10012
2022-03-07 00:00:00+05:30,10100,10100,9651,9892.2,12145
2022-03-08 00:00:00+05:30,9812,10127.9,9812,10044.95,5628
2022-03-09 00:00:00+05:30,10060,10362,10060,10172.1,5335
2022-03-10 00:00:00+05:30,10298,10430.45,10006,10032.55,3419
2022-03-11 00:00:00+05:30,10032.55,10235,10005.8,10182.45,2921
2022-03-14 00:00:00+05:30,10054,10246.45,9975,10043.65,5559
2022-03-15 00:00:00+05:30,10045,10175.95,9894.45,9962.6,4110
2022-03-16 00:00:00+05:30,10099,10134,9817,9882.1,7779
2022-03-17 00:00:00+05:30,10000,10199,9887.9,10003.6,14641
2022-03-21 00:00:00+05:30,10089,10102.9,9945.05,10006,3337
2022-03-22 00:00:00+05:30,10020,10790,10020,10593.75,17044
2022-03-23 00:00:00+05:30,10780,10780,9901,9957.45,33765
2022-03-24 00:00:00+05:30,9956,10000,9751,9806.85,13615
2022-03-25 00:00:00+05:30,9905,9961.25,9710,9745.4,4838
2022-03-28 00:00:00+05:30,9849,9900,9601.2,9770.1,8070
2022-03-29 00:00:00+05:30,9839,10000,9805.95,9932.7,6790
2022-03-30 00:00:00+05:30,9940,10000,9835.65,9885.35,4061
2022-03-31 00:00:00+05:30,9900,9950,9514.5,9618.15,10127
2022-04-01 00:00:00+05:30,9674.95,10134,9674.95,10010.65,14427
2022-04-04 00:00:00+05:30,9930,10139.95,9911.9,10044.9,4777
2022-04-05 00:00:00+05:30,10120,10299.95,9986,10090.05,5721
2022-04-06 00:00:00+05:30,10009,10370,10009,10123.5,9536
2022-04-07 00:00:00+05:30,10089,10234,9831,9861.7,9377
2022-04-08 00:00:00+05:30,9944,9997,9749.9,9794.55,9088
