date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,368,378,358.1,363.9,372730
2022-01-04 00:00:00+05:30,363.9,363.9,352,354.1,49386
2022-01-05 00:00:00+05:30,354.1,354.1,346,348.4,35234
2022-01-06 00:00:00+05:30,340.65,350,340.4,346.95,26685
2022-01-07 00:00:00+05:30,349,351.95,341.5,346.45,20508
2022-01-10 00:00:00+05:30,346.45,351.95,343,345.9,22936
2022-01-11 00:00:00+05:30,347.5,353,342.35,344.85,31866
2022-01-12 00:00:00+05:30,348,350.5,342,344.25,24714
2022-01-13 00:00:00+05:30,341.05,347.2,341.05,345.35,20635
2022-01-14 00:00:00+05:30,341.25,349,341.25,347.15,26696
2022-01-17 00:00:00+05:30,347.5,375.45,346.05,366.6,242067
2022-01-18 00:00:00+05:30,368.8,369.9,359,363.95,60659
2022-01-19 00:00:00+05:30,366,368,351.15,355.2,61793
2022-01-20 00:00:00+05:30,352.95,354.9,348.9,351.35,39005
2022-01-21 00:00:00+05:30,349,350.95,342,345.8,33386
2022-01-24 00:00:00+05:30,346,347.9,300.8,327.35,80105
2022-01-25 00:00:00+05:30,327.9,339,320.05,336.3,29803
2022-01-27 00:00:00+05:30,333,358.7,332.2,349.65,122339
2022-01-28 00:00:00+05:30,361.5,366.3,347.15,354.5,50603
2022-01-31 00:00:00+05:30,362.35,362.45,345,349.6,41455
2022-02-01 00:00:00+05:30,352.7,354.9,339.65,346.25,36944
2022-02-02 00:00:00+05:30,345.2,362.35,345,352.7,66659
2022-02-03 00:00:00+05:30,351.95,355.4,346.2,348.9,27104
2022-02-04 00:00:00+05:30,349.95,360,346.15,355.1,32043
2022-02-07 00:00:00+05:30,355.9,382,354.9,371.1,448355
2022-02-08 00:00:00+05:30,372.2,377,346.75,351.75,69004
2022-02-09 00:00:00+05:30,355.5,355.5,335.05,339,64996
2022-02-10 00:00:00+05:30,339.95,339.95,333.75,335.55,27537
2022-02-11 00:00:00+05:30,334,334,330,331.3,37215
2022-02-14 00:00:00+05:30,314.9,327.3,314.9,318.05,37047
2022-02-15 00:00:00+05:30,307.55,319.2,302,315.2,69411
2022-02-16 00:00:00+05:30,315.25,327,313,319.75,36659
2022-02-17 00:00:00+05:30,323.9,324,314.1,315.6,28511
2022-02-18 00:00:00+05:30,316,322.15,315.65,317.6,15319
2022-02-21 00:00:00+05:30,317,317.75,307.65,310.05,20330
2022-02-22 00:00:00+05:30,305,308,295.25,299.5,54370
2022-02-23 00:00:00+05:30,304.9,309,301.95,307.45,11622
2022-02-24 00:00:00+05:30,294,302.85,280,280.6,62276
2022-02-25 00:00:00+05:30,295,302.9,286.85,296.85,59977
2022-02-28 00:00:00+05:30,296,309,291.25,301.55,24874
2022-03-02 00:00:00+05:30,306.9,306.9,296.5,301.1,20745
2022-03-03 00:00:00+05:30,304.9,308,298,299.05,27249
2022-03-04 00:00:00+05:30,303.9,303.9,292,294.05,31387
2022-03-07 00:00:00+05:30,290,293,282.05,286.15,19446
2022-03-08 00:00:00+05:30,288,299.9,281,286.75,15477
2022-03-09 00:00:00+05:30,296.6,314.95,294,304,91250
2022-03-10 00:00:00+05:30,309.9,319.4,303,307.2,55844
2022-03-11 00:00:00+05:30,309.8,311.95,302.5,309.4,13587
2022-03-14 00:00:00+05:30,312,314.55,302.1,305.95,15730
2022-03-15 00:00:00+05:30,314,314,304.3,306.9,14453
2022-03-16 00:00:00+05:30,308,311,305,306.5,30508
2022-03-17 00:00:00+05:30,312,312,305,306.25,31747
2022-03-21 00:00:00+05:30,309.9,317.45,305.6,307.85,50480
2022-03-22 00:00:00+05:30,309.4,311.95,304.7,306.7,30986
2022-03-23 00:00:00+05:30,308.9,311.9,303.95,304.6,19318
2022-03-24 00:00:00+05:30,302,306.9,301.05,304.2,22485
2022-03-25 00:00:00+05:30,303.5,306.3,299.8,301.15,24422
2022-03-28 00:00:00+05:30,301,304.9,288,289.8,67770
2022-03-29 00:00:00+05:30,291.45,303.85,286.65,292.65,187481
2022-03-30 00:00:00+05:30,303,303,292,295.15,30414
2022-03-31 00:00:00+05:30,297.7,305,288,289.45,61630
2022-04-01 00:00:00+05:30,290,307.05,290,300.65,72408
2022-04-04 00:00:00+05:30,307.95,310,299.7,307.65,39946
2022-04-05 00:00:00+05:30,309.5,321.85,308,314.65,66721
2022-04-06 00:00:00+05:30,313.1,332.85,313.1,322.2,80528
2022-04-07 00:00:00+05:30,324.7,332,318.05,327.75,47555
2022-04-08 00:00:00+05:30,332,333,325.55,329.25,22420
