date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,57.8,57.8,55.25,57.25,25935
2022-01-04 00:00:00+05:30,57.5,62.9,57.5,60,114339
2022-01-05 00:00:00+05:30,61.7,61.7,59,59.35,17066
2022-01-06 00:00:00+05:30,59.35,59.9,58.3,58.95,9597
2022-01-07 00:00:00+05:30,59.85,59.9,57.05,57.4,28156
2022-01-10 00:00:00+05:30,59.7,59.9,55.5,59.3,76586
2022-01-11 00:00:00+05:30,58.15,60.5,56.75,57.8,41030
2022-01-12 00:00:00+05:30,57.55,59.7,56.7,58.15,35549
2022-01-13 00:00:00+05:30,59.5,59.75,56.3,57.6,44460
2022-01-14 00:00:00+05:30,57.3,59.1,57,57.4,38415
2022-01-17 00:00:00+05:30,58.5,58.9,57.1,58.45,40994
2022-01-18 00:00:00+05:30,59.45,59.45,56.55,57,38274
2022-01-19 00:00:00+05:30,57.4,57.9,56.2,57.3,11772
2022-01-20 00:00:00+05:30,58.55,58.9,56.3,58,16915
2022-01-21 00:00:00+05:30,57.9,58.75,56.2,56.6,12177
2022-01-24 00:00:00+05:30,57.7,57.7,51.1,51.8,36952
2022-01-25 00:00:00+05:30,52.7,54.85,52.15,54.5,12776
2022-01-27 00:00:00+05:30,54.5,54.75,50.8,54.2,4791
2022-01-28 00:00:00+05:30,54.2,56,53.5,53.85,7299
2022-01-31 00:00:00+05:30,53.5,54.55,53.5,53.7,5393
2022-02-01 00:00:00+05:30,55,55,52.8,53.15,5940
2022-02-02 00:00:00+05:30,54.6,55.5,53.05,55.1,8110
2022-02-03 00:00:00+05:30,54.55,55.75,54.05,55.55,5685
2022-02-04 00:00:00+05:30,55.6,56.25,54.65,55.2,6060
2022-02-07 00:00:00+05:30,56.3,56.6,53.8,54.6,7138
2022-02-08 00:00:00+05:30,56.3,56.3,53.1,53.7,5716
2022-02-09 00:00:00+05:30,55.85,55.85,52.6,52.95,10093
2022-02-10 00:00:00+05:30,52.95,54.25,52.55,52.8,5712
2022-02-11 00:00:00+05:30,53.8,55,52,53.05,29092
2022-02-14 00:00:00+05:30,52.5,52.5,48.65,51.5,20733
2022-02-15 00:00:00+05:30,51.7,53.55,49.3,50.95,6867
2022-02-16 00:00:00+05:30,51,52.8,50.75,51.2,7369
2022-02-17 00:00:00+05:30,51.1,51.85,50.2,50.9,5394
2022-02-18 00:00:00+05:30,50.9,55.8,50.5,51.2,27190
2022-02-21 00:00:00+05:30,51,51.9,50.5,51.35,15093
2022-02-22 00:00:00+05:30,50.9,51.9,49.65,50.45,14050
2022-02-23 00:00:00+05:30,50,54.85,50,54.05,78097
2022-02-24 00:00:00+05:30,52.9,56.25,48.75,50.05,263399
2022-02-25 00:00:00+05:30,54,60.05,51.5,57.65,450516
2022-02-28 00:00:00+05:30,55.95,58.05,54.6,56.3,72307
2022-03-02 00:00:00+05:30,56,58.4,55.1,55.25,26679
2022-03-03 00:00:00+05:30,55.3,57.4,44.8,51.6,61381
2022-03-04 00:00:00+05:30,51.55,53.35,48.25,51.65,25714
2022-03-07 00:00:00+05:30,51.4,52.4,50.05,51.05,18165
2022-03-08 00:00:00+05:30,51,55.7,50.75,54.05,51063
2022-03-09 00:00:00+05:30,54.55,56.85,53.3,54.75,25608
2022-03-10 00:00:00+05:30,54.25,56.2,54.1,54.35,11356
2022-03-11 00:00:00+05:30,56.25,56.25,53.5,53.7,13252
2022-03-14 00:00:00+05:30,56.25,56.25,50.55,51.65,60983
2022-03-15 00:00:00+05:30,51.25,52.45,49.8,50.65,21720
2022-03-16 00:00:00+05:30,52,53.7,51.5,51.6,17682
2022-03-17 00:00:00+05:30,51.7,52.95,51.4,51.9,17678
2022-03-21 00:00:00+05:30,51.45,53.3,51,52.35,13160
2022-03-22 00:00:00+05:30,52.4,55.25,52,54.3,59057
2022-03-23 00:00:00+05:30,55.95,57.8,54.3,55.15,30234
2022-03-24 00:00:00+05:30,56.25,56.25,52,52.65,12228
2022-03-25 00:00:00+05:30,54.1,56.7,52.35,54,31152
2022-03-28 00:00:00+05:30,55.95,55.95,52.05,54.65,16471
2022-03-29 00:00:00+05:30,56.45,56.45,52.6,53.2,16405
2022-03-30 00:00:00+05:30,52.95,54.9,52.05,52.95,11699
2022-03-31 00:00:00+05:30,52.75,53.75,51,51.9,16385
2022-04-01 00:00:00+05:30,52.55,54.2,52.55,53.7,14286
2022-04-04 00:00:00+05:30,54,55.95,54,54.9,25434
2022-04-05 00:00:00+05:30,55.1,55.85,54.3,55.35,12893
2022-04-06 00:00:00+05:30,55.35,59,53.6,55.65,112074
2022-04-07 00:00:00+05:30,56.4,56.4,54.1,54.3,25007
2022-04-08 00:00:00+05:30,54.35,57.3,54.2,54.75,41615
