date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,95.7,96.35,93,93.6,23923
2022-01-04 00:00:00+05:30,94.6,94.6,92.5,93.35,14579
2022-01-05 00:00:00+05:30,92.9,94.4,92.85,93.15,15699
2022-01-06 00:00:00+05:30,91.5,93.9,91.5,93.35,13128
2022-01-07 00:00:00+05:30,94.6,95,92.05,92.65,18881
2022-01-10 00:00:00+05:30,94.25,94.25,76.65,86.8,299973
2022-01-11 00:00:00+05:30,89.95,89.95,87.5,88.15,45416
2022-01-12 00:00:00+05:30,89,90.5,88.35,89.75,23905
2022-01-13 00:00:00+05:30,90.9,90.9,88.25,89.6,28615
2022-01-14 00:00:00+05:30,89.55,89.55,87.1,88.35,24162
2022-01-17 00:00:00+05:30,90.45,90.45,88.4,89.05,10680
2022-01-18 00:00:00+05:30,89.7,89.7,88,88.8,15696
2022-01-19 00:00:00+05:30,90,90,88,88.6,22304
2022-01-20 00:00:00+05:30,88.6,88.9,87.55,88.4,10580
2022-01-21 00:00:00+05:30,88.4,89.35,87.3,87.6,9725
2022-01-24 00:00:00+05:30,87.05,88,85.4,86.5,20837
2022-01-25 00:00:00+05:30,85.05,88.05,84,87,16564
2022-01-27 00:00:00+05:30,85.1,88.15,85,85.5,12278
2022-01-28 00:00:00+05:30,86.85,87.35,84.05,84.45,15967
2022-01-31 00:00:00+05:30,87.9,87.9,84.4,85.65,10401
2022-02-01 00:00:00+05:30,86.75,89.2,85.45,88.35,20498
2022-02-02 00:00:00+05:30,88.95,95.95,88.5,89.3,50808
2022-02-03 00:00:00+05:30,92.85,92.85,88,89.55,15373
2022-02-04 00:00:00+05:30,91.7,91.7,88,88.35,9427
2022-02-07 00:00:00+05:30,89.8,92.5,87,90.25,26596
2022-02-08 00:00:00+05:30,90.35,91.9,85.95,87,24562
2022-02-09 00:00:00+05:30,90.5,90.5,86.75,88.25,6627
2022-02-10 00:00:00+05:30,90.05,90.05,85.35,86.45,19698
2022-02-11 00:00:00+05:30,86.45,87.95,86.45,87.05,9987
2022-02-14 00:00:00+05:30,89,89,80.45,81.3,45391
2022-02-15 00:00:00+05:30,81.3,83,78.5,80.8,34905
2022-02-16 00:00:00+05:30,81.1,82.8,81,81.8,12861
2022-02-17 00:00:00+05:30,83.5,83.5,80.3,80.6,9196
2022-02-18 00:00:00+05:30,80.4,82.9,80,81.95,13599
2022-02-21 00:00:00+05:30,83,83.45,78.5,79,26170
2022-02-22 00:00:00+05:30,78.5,79.6,75,78.95,44777
2022-02-23 00:00:00+05:30,78.1,80.55,78.1,78.4,8949
2022-02-24 00:00:00+05:30,76.7,76.7,64,65.75,91741
2022-02-25 00:00:00+05:30,68.65,78.9,68.65,75.5,89906
2022-02-28 00:00:00+05:30,77.05,79.55,67.8,77.45,85310
2022-03-02 00:00:00+05:30,76.5,77.9,72.65,75.45,25130
2022-03-03 00:00:00+05:30,79,79,73.35,74.05,98390
2022-03-04 00:00:00+05:30,76,88.85,72.65,87.5,1004630
2022-03-07 00:00:00+05:30,88.5,94,76.3,78.15,859651
2022-03-08 00:00:00+05:30,78.15,83.85,77.5,77.9,116463
2022-03-09 00:00:00+05:30,78.7,82.4,77.55,78.45,102324
2022-03-10 00:00:00+05:30,81,81.95,78.65,80.35,54148
2022-03-11 00:00:00+05:30,79.1,81.6,79.1,80,21596
2022-03-14 00:00:00+05:30,80,80.9,77.15,78.65,45879
2022-03-15 00:00:00+05:30,77.5,80.5,77.5,78.75,29704
2022-03-16 00:00:00+05:30,80,80.95,78.05,78.45,29445
2022-03-17 00:00:00+05:30,79.6,80.95,78,78.7,31630
2022-03-21 00:00:00+05:30,80,83.45,78.1,78.65,36556
2022-03-22 00:00:00+05:30,80,93.7,77,86.55,320894
2022-03-23 00:00:00+05:30,86,103.85,83.55,103.75,1954499
2022-03-24 00:00:00+05:30,106,112.7,94.55,98.15,2619648
2022-03-25 00:00:00+05:30,96.05,105,96.05,100.45,849219
2022-03-28 00:00:00+05:30,104,104,95.8,100,587529
2022-03-29 00:00:00+05:30,101.8,103.8,96.65,98.5,370262
2022-03-30 00:00:00+05:30,101.6,113,100.1,104.75,966735
2022-03-31 00:00:00+05:30,106.5,108,99.6,104.15,289332
2022-04-01 00:00:00+05:30,104.15,107.95,103.7,105.2,241975
2022-04-04 00:00:00+05:30,107.85,108.55,98.85,100.15,504739
2022-04-05 00:00:00+05:30,101.7,104,99.75,102.65,525065
2022-04-06 00:00:00+05:30,104.7,105.1,99.65,102.7,719326
2022-04-07 00:00:00+05:30,103.8,104.2,101.7,103,341245
2022-04-08 00:00:00+05:30,104.85,106,102.6,103.4,412590
