date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,101.95,102.45,100.25,101.2,108745
2022-01-04 00:00:00+05:30,102.3,102.3,99.9,101,92248
2022-01-05 00:00:00+05:30,102,102.7,100.5,101.15,117717
2022-01-06 00:00:00+05:30,101.65,110.9,100.5,110.15,650113
2022-01-07 00:00:00+05:30,110.4,111.45,106,106.9,320636
2022-01-10 00:00:00+05:30,108,110.8,107.25,109,173768
2022-01-11 00:00:00+05:30,109,113,105.6,110.15,408659
2022-01-12 00:00:00+05:30,111.95,112.3,108.05,108.6,106167
2022-01-13 00:00:00+05:30,109,109.6,107,107.2,93363
2022-01-14 00:00:00+05:30,107.85,109.7,105.5,106.25,199161
2022-01-17 00:00:00+05:30,107.1,109.3,104.8,107.1,185944
2022-01-18 00:00:00+05:30,108.45,109.5,106.1,106.35,147615
2022-01-19 00:00:00+05:30,106.85,107.6,103.75,104.25,104054
2022-01-20 00:00:00+05:30,104.55,108.9,103.95,104.6,215170
2022-01-21 00:00:00+05:30,104.1,105.55,100.5,101.65,109989
2022-01-24 00:00:00+05:30,101.5,103,97,99.3,142006
2022-01-25 00:00:00+05:30,97.05,101.6,96.7,100.35,84613
2022-01-27 00:00:00+05:30,100.95,101,99,99.8,78519
2022-01-28 00:00:00+05:30,100.05,103.5,100.05,100.55,92266
2022-01-31 00:00:00+05:30,102.6,103.5,99.75,100.2,125889
2022-02-01 00:00:00+05:30,100.5,101.85,99.5,100.6,53992
2022-02-02 00:00:00+05:30,101.75,104.5,101.75,102.95,212511
2022-02-03 00:00:00+05:30,103.75,105,101.4,102.2,132642
2022-02-04 00:00:00+05:30,101.4,102.6,100.05,100.5,107431
2022-02-07 00:00:00+05:30,101.95,102.25,99.55,100.3,122150
2022-02-08 00:00:00+05:30,101.7,101.7,98,99.3,121861
2022-02-09 00:00:00+05:30,100.7,101.95,99.6,100.4,59916
2022-02-10 00:00:00+05:30,101.9,107.45,99.45,105.7,527061
2022-02-11 00:00:00+05:30,105,105.45,100.75,101.15,166442
2022-02-14 00:00:00+05:30,100,100.05,94,94.75,280939
2022-02-15 00:00:00+05:30,96.2,97.15,93.5,96.6,151618
2022-02-16 00:00:00+05:30,98.15,98.15,95.85,96.15,110318
2022-02-17 00:00:00+05:30,96.2,97,94.5,94.75,57130
2022-02-18 00:00:00+05:30,94.4,95.05,91,91.95,131554
2022-02-21 00:00:00+05:30,91.9,91.9,88.5,89.05,134395
2022-02-22 00:00:00+05:30,85.55,88.7,85,86.45,191466
2022-02-23 00:00:00+05:30,87,89.4,86.85,87.8,121437
2022-02-24 00:00:00+05:30,86.5,86.5,78.8,79.55,288657
2022-02-25 00:00:00+05:30,80.5,86.3,79.2,83.75,249201
2022-02-28 00:00:00+05:30,78,82.3,76.55,80,499557
2022-03-02 00:00:00+05:30,80.5,84.6,79.15,80,359634
2022-03-03 00:00:00+05:30,81.15,82.6,80.6,81.5,213787
2022-03-04 00:00:00+05:30,81.75,81.75,79.9,80.35,115591
2022-03-07 00:00:00+05:30,79.95,79.95,77.1,78.6,115091
2022-03-08 00:00:00+05:30,77.75,80.5,77.75,79.5,213288
2022-03-09 00:00:00+05:30,79.95,83,79.9,82.3,160116
2022-03-10 00:00:00+05:30,83.8,84.5,80.65,82.55,137146
2022-03-11 00:00:00+05:30,82,84.5,81.45,84.1,115627
2022-03-14 00:00:00+05:30,84,85,82.85,84.1,89230
2022-03-15 00:00:00+05:30,84,85.8,81.05,81.8,248315
2022-03-16 00:00:00+05:30,83,84.4,80,80.95,160580
2022-03-17 00:00:00+05:30,82.1,84.7,82.1,84.1,182719
2022-03-21 00:00:00+05:30,84.4,89.5,84.4,85.95,238632
2022-03-22 00:00:00+05:30,86,87.2,83.15,85.45,261354
2022-03-23 00:00:00+05:30,85.1,87.8,84.4,86,235107
2022-03-24 00:00:00+05:30,86.4,86.5,84.25,84.65,233604
2022-03-25 00:00:00+05:30,86.4,86.4,84.05,84.3,91391
2022-03-28 00:00:00+05:30,84.3,84.3,80,81.5,307561
2022-03-29 00:00:00+05:30,83,94.9,83,88.5,1167264
2022-03-30 00:00:00+05:30,89.5,92.3,85.8,86.3,354514
2022-03-31 00:00:00+05:30,91.1,99.75,91.1,95.7,1868505
2022-04-01 00:00:00+05:30,99.25,112.9,99.05,102.4,968270
2022-04-04 00:00:00+05:30,105,107.9,101.25,104.2,578067
2022-04-05 00:00:00+05:30,103.85,105.9,101.1,101.85,267869
2022-04-06 00:00:00+05:30,101.6,101.6,98.2,99.65,213533
2022-04-07 00:00:00+05:30,99.05,104.6,97.55,98.4,631473
2022-04-08 00:00:00+05:30,98.45,99.4,97.15,97.4,232047
