date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,454.5,461.8,450.05,453.6,327782
2022-01-04 00:00:00+05:30,458.7,458.7,434.8,436.6,374329
2022-01-05 00:00:00+05:30,437.25,448.7,428.75,439.85,360297
2022-01-06 00:00:00+05:30,432.1,457,431.65,455.2,408705
2022-01-07 00:00:00+05:30,465,471.1,456.55,468.25,319032
2022-01-10 00:00:00+05:30,468,480,458.65,478.25,295438
2022-01-11 00:00:00+05:30,484.75,498.1,478,494.55,606349
2022-01-12 00:00:00+05:30,488.3,502,484.25,499,459370
2022-01-13 00:00:00+05:30,492.2,509.8,488.9,500.95,505248
2022-01-14 00:00:00+05:30,500.9,512,492.95,507.95,508691
2022-01-17 00:00:00+05:30,545,609.5,545,605,5552207
2022-01-18 00:00:00+05:30,621,673,595.25,605.2,5058331
2022-01-19 00:00:00+05:30,596,621.7,586,608.1,887038
2022-01-20 00:00:00+05:30,611.9,627,600,608.55,865251
2022-01-21 00:00:00+05:30,606.9,619.7,591,601.75,384543
2022-01-24 00:00:00+05:30,600,609.9,556.5,597.45,441786
2022-01-25 00:00:00+05:30,597,625,584,612.9,319471
2022-01-27 00:00:00+05:30,600,630,595.3,625.8,397438
2022-01-28 00:00:00+05:30,629.8,630.6,602.5,615.15,328952
2022-01-31 00:00:00+05:30,616,625,600.5,608.9,321552
2022-02-01 00:00:00+05:30,610,614.75,575.4,595.15,326331
2022-02-02 00:00:00+05:30,595.45,608.25,585.15,598.7,361387
2022-02-03 00:00:00+05:30,592,603.25,589,591.05,364061
2022-02-04 00:00:00+05:30,592,592.7,581.1,582.5,92462
2022-02-07 00:00:00+05:30,582,595.55,573.2,577.9,186031
2022-02-08 00:00:00+05:30,575,589.5,565,567.2,136380
2022-02-09 00:00:00+05:30,570.9,604.4,559.25,594.6,192902
2022-02-10 00:00:00+05:30,595.1,597,580.1,586.45,63064
2022-02-11 00:00:00+05:30,584,584.95,573.05,578.7,70637
2022-02-14 00:00:00+05:30,565.25,589.75,550.1,559.6,250995
2022-02-15 00:00:00+05:30,565,580,550.3,574.6,100356
2022-02-16 00:00:00+05:30,580,582.25,570,572.15,91253
2022-02-17 00:00:00+05:30,570.1,570.95,558,558.2,167101
2022-02-18 00:00:00+05:30,557,559.9,551.25,554.4,123520
2022-02-21 00:00:00+05:30,550,560,540,548.75,136516
2022-02-22 00:00:00+05:30,534,552.9,526,547.5,86409
2022-02-23 00:00:00+05:30,545,553,538.05,542.8,226462
2022-02-24 00:00:00+05:30,520,532.25,510.55,522.8,564698
2022-02-25 00:00:00+05:30,520.25,560,520.25,545.1,275706
2022-02-28 00:00:00+05:30,550,550,533,544,112419
2022-03-02 00:00:00+05:30,538,548,530.25,536.2,47030
2022-03-03 00:00:00+05:30,544.75,547,528,531.95,79234
2022-03-04 00:00:00+05:30,530,531.9,515,519,103406
2022-03-07 00:00:00+05:30,515,531.6,505.1,518.25,147347
2022-03-08 00:00:00+05:30,527,527,514.65,520.15,101245
2022-03-09 00:00:00+05:30,520.05,530,519,522,171982
2022-03-10 00:00:00+05:30,526,548,523.75,535.35,581113
2022-03-11 00:00:00+05:30,544.75,550,540.1,548.8,202230
2022-03-14 00:00:00+05:30,552.1,552.1,532.05,539.75,68068
2022-03-15 00:00:00+05:30,541,558.75,539.5,551.6,243904
2022-03-16 00:00:00+05:30,559,574.55,551.05,570.1,164931
2022-03-17 00:00:00+05:30,575,589.45,565.75,573.15,283725
2022-03-21 00:00:00+05:30,573.2,579.85,562.3,572.55,145451
2022-03-22 00:00:00+05:30,571,583.95,565.65,570.1,417622
2022-03-23 00:00:00+05:30,571.05,580.25,567,569.95,104992
2022-03-24 00:00:00+05:30,574,584.5,565.15,575.45,93984
2022-03-25 00:00:00+05:30,579.75,597.15,578.2,582.9,247121
2022-03-28 00:00:00+05:30,579,599.2,576,594.35,178019
2022-03-29 00:00:00+05:30,591,607.4,582.8,598.8,136544
2022-03-30 00:00:00+05:30,596,610,591,606.5,210076
2022-03-31 00:00:00+05:30,605.6,635.5,581.35,612.2,401020
2022-04-01 00:00:00+05:30,611,624,601.6,606.25,169484
2022-04-04 00:00:00+05:30,619.75,619.75,598.1,601.2,82918
2022-04-05 00:00:00+05:30,604,610,595.05,597.7,72435
2022-04-06 00:00:00+05:30,594,607.7,592.25,600.15,113163
2022-04-07 00:00:00+05:30,595,610,588.4,596.75,82338
2022-04-08 00:00:00+05:30,591.1,595.4,582.45,592.45,101489
