date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,28.65,29.45,27.8,29.4,1574882
2022-01-04 00:00:00+05:30,30,30.85,29.2,29.45,1855154
2022-01-05 00:00:00+05:30,29.8,30.7,28.65,30.3,924021
2022-01-06 00:00:00+05:30,30.3,31.8,29.5,31.8,2922083
2022-01-07 00:00:00+05:30,33.2,33.3,31.05,31.8,2472635
2022-01-10 00:00:00+05:30,32.35,32.8,30.4,30.75,1539719
2022-01-11 00:00:00+05:30,30.8,31.35,29.95,30.15,1051789
2022-01-12 00:00:00+05:30,30,30.5,29.15,29.65,797305
2022-01-13 00:00:00+05:30,29.95,31.1,29.45,31.1,1416346
2022-01-14 00:00:00+05:30,31,32.65,30.5,32.2,2030141
2022-01-17 00:00:00+05:30,32.5,33.8,31.6,33.6,2876331
2022-01-18 00:00:00+05:30,34.8,34.9,32,32.3,1712712
2022-01-19 00:00:00+05:30,32,33.15,31.2,32.35,881280
2022-01-20 00:00:00+05:30,32.9,32.95,31.55,31.8,565588
2022-01-21 00:00:00+05:30,31.2,32.7,30.6,31.05,817053
2022-01-24 00:00:00+05:30,31.05,31.45,29.5,29.5,606731
2022-01-25 00:00:00+05:30,28.25,29.3,28.05,28.05,1108841
2022-01-27 00:00:00+05:30,27.85,29.45,27.3,29.45,649060
2022-01-28 00:00:00+05:30,29.9,29.95,28,28.25,778193
2022-01-31 00:00:00+05:30,28.85,29.65,27.65,28.85,861338
2022-02-01 00:00:00+05:30,29.2,30.25,28.5,29.8,464143
2022-02-02 00:00:00+05:30,30.3,30.35,28.7,29.05,465908
2022-02-03 00:00:00+05:30,29.1,30.5,28.85,30,1497575
2022-02-04 00:00:00+05:30,30.2,30.85,29.45,29.6,591358
2022-02-07 00:00:00+05:30,30,30,28.15,28.35,632089
2022-02-08 00:00:00+05:30,28.95,28.95,27.6,27.9,356558
2022-02-09 00:00:00+05:30,28.35,28.65,27.7,28,457488
2022-02-10 00:00:00+05:30,28.4,28.5,27.5,27.8,300753
2022-02-11 00:00:00+05:30,26.45,26.95,26.45,26.45,745393
2022-02-14 00:00:00+05:30,25.2,26.2,25.15,25.15,460753
2022-02-15 00:00:00+05:30,23.9,24.8,23.9,24.3,998289
2022-02-16 00:00:00+05:30,24.8,25.35,23.5,23.85,724883
2022-02-17 00:00:00+05:30,24.1,24.35,23.05,23.65,363262
2022-02-18 00:00:00+05:30,23.7,23.85,22.55,22.65,438949
2022-02-21 00:00:00+05:30,22.7,22.95,21.55,21.65,711237
2022-02-22 00:00:00+05:30,21.15,22.55,20.6,21.95,861866
2022-02-23 00:00:00+05:30,22.5,22.5,21.5,21.9,335518
2022-02-24 00:00:00+05:30,20.85,21.4,20.85,20.85,361533
2022-02-25 00:00:00+05:30,20.85,21.35,19.85,19.9,1949025
2022-02-28 00:00:00+05:30,19.9,20.2,19.05,19.6,532809
2022-03-02 00:00:00+05:30,19.5,20.3,19.2,19.7,522665
2022-03-03 00:00:00+05:30,20.3,20.35,19.7,19.75,471533
2022-03-04 00:00:00+05:30,19.75,20.1,19.1,19.3,310940
2022-03-07 00:00:00+05:30,19.05,19.4,18.35,18.4,595240
2022-03-08 00:00:00+05:30,18.65,19.3,18.1,19.3,386600
2022-03-09 00:00:00+05:30,19.95,20.25,19.4,19.6,1259243
2022-03-10 00:00:00+05:30,19.75,20.55,19.45,20.3,852091
2022-03-11 00:00:00+05:30,20.6,20.65,19.8,19.95,404192
2022-03-14 00:00:00+05:30,20,20.3,19.5,19.7,297400
2022-03-15 00:00:00+05:30,19.9,20.6,19.65,20.05,714759
2022-03-16 00:00:00+05:30,20.35,20.6,19.9,20.1,448581
2022-03-17 00:00:00+05:30,20.2,21.1,20.2,21.1,1158185
2022-03-21 00:00:00+05:30,21.65,22.05,20.8,21.15,902436
2022-03-22 00:00:00+05:30,21.55,21.55,20.7,20.8,627468
2022-03-23 00:00:00+05:30,21.3,21.7,20.4,20.55,437597
2022-03-24 00:00:00+05:30,20.4,21,20.2,20.3,386527
2022-03-25 00:00:00+05:30,20.2,20.7,19.9,20,539314
2022-03-28 00:00:00+05:30,20.75,20.75,19,19.15,563351
2022-03-29 00:00:00+05:30,19.35,20,18.8,19.15,620795
2022-03-30 00:00:00+05:30,19.45,19.65,19.1,19.2,445861
2022-03-31 00:00:00+05:30,19.3,19.75,18.85,19.05,318263
2022-04-01 00:00:00+05:30,19,20,18.9,20,327958
2022-04-04 00:00:00+05:30,20.95,21,20.65,21,236573
2022-04-05 00:00:00+05:30,22.05,22.05,21.45,21.95,1356556
2022-04-06 00:00:00+05:30,22.1,22.25,21.2,21.65,969610
2022-04-07 00:00:00+05:30,21.9,22.9,21.05,21.45,808911
2022-04-08 00:00:00+05:30,21.75,22.3,21.5,22,526733
