date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,94.25,102.7,94.1,97.65,864391
2022-01-04 00:00:00+05:30,98.7,98.95,94.3,94.85,282583
2022-01-05 00:00:00+05:30,95,95.4,92.55,93.85,195942
2022-01-06 00:00:00+05:30,92.8,95.2,91.1,92,193095
2022-01-07 00:00:00+05:30,93.8,96.4,91.5,92.35,262391
2022-01-10 00:00:00+05:30,94.5,99,93.1,96.6,498246
2022-01-11 00:00:00+05:30,97.4,97.4,95,96.2,224897
2022-01-12 00:00:00+05:30,96.75,97.15,93.3,94.25,187258
2022-01-13 00:00:00+05:30,94.35,100,94.3,95.65,294443
2022-01-14 00:00:00+05:30,96,98.5,94.35,96.4,268330
2022-01-17 00:00:00+05:30,96.5,102.4,96.5,100.85,684208
2022-01-18 00:00:00+05:30,103,104.4,94.05,95.15,588462
2022-01-19 00:00:00+05:30,95.85,96.45,94.15,94.95,179761
2022-01-20 00:00:00+05:30,95.5,100.75,94.65,97.45,461013
2022-01-21 00:00:00+05:30,98.15,102.3,95.5,97,405957
2022-01-24 00:00:00+05:30,99,99,88.6,91.25,269824
2022-01-25 00:00:00+05:30,91.25,95.8,88,94.15,255670
2022-01-27 00:00:00+05:30,94,95,91.2,93.05,189131
2022-01-28 00:00:00+05:30,94.8,99.3,93.4,95.2,369905
2022-01-31 00:00:00+05:30,95.05,95.9,86.8,89.6,570838
2022-02-01 00:00:00+05:30,90.1,92.8,86.1,89.5,335657
2022-02-02 00:00:00+05:30,91.3,92.7,89.8,91.4,215809
2022-02-03 00:00:00+05:30,92.7,92.7,89.4,90.85,120485
2022-02-04 00:00:00+05:30,91.4,91.9,88.2,89.15,134497
2022-02-07 00:00:00+05:30,88.5,90.5,85.45,87.05,184953
2022-02-08 00:00:00+05:30,88.35,88.5,84,85.05,143996
2022-02-09 00:00:00+05:30,86.35,87.3,83.3,84.9,129288
2022-02-10 00:00:00+05:30,84.5,86.75,84,86.15,112690
2022-02-11 00:00:00+05:30,85.9,89,84.3,87.15,213157
2022-02-14 00:00:00+05:30,85,85.4,82.3,82.9,154882
2022-02-15 00:00:00+05:30,85,85,78.1,81.85,143688
2022-02-16 00:00:00+05:30,81.85,84.25,81.85,82.65,68492
2022-02-17 00:00:00+05:30,82.85,83.55,81.05,82.45,41073
2022-02-18 00:00:00+05:30,81.05,82.45,81,81.5,42164
2022-02-21 00:00:00+05:30,80.1,82.2,78.8,79.3,76192
2022-02-22 00:00:00+05:30,76.05,78.6,76.05,77.05,121853
2022-02-23 00:00:00+05:30,76.6,80.5,76.1,76.85,159684
2022-02-24 00:00:00+05:30,73.1,75.45,70.05,70.6,167962
2022-02-25 00:00:00+05:30,77,77,73.7,74.8,97258
2022-02-28 00:00:00+05:30,77,77.5,72,74.8,108783
2022-03-02 00:00:00+05:30,76,76.8,72.6,75.4,119023
2022-03-03 00:00:00+05:30,75.4,78.25,75.4,77,162879
2022-03-04 00:00:00+05:30,76.2,77.55,75,76.15,161965
2022-03-07 00:00:00+05:30,73.3,76.4,72.65,75.45,108757
2022-03-08 00:00:00+05:30,75.1,77.8,74.1,75.6,279833
2022-03-09 00:00:00+05:30,75.5,84,74.85,81.05,426619
2022-03-10 00:00:00+05:30,81.05,82.2,78.2,80,220133
2022-03-11 00:00:00+05:30,81,82.1,79.15,80.5,100569
2022-03-14 00:00:00+05:30,81.95,83.75,80.55,81.4,117933
2022-03-15 00:00:00+05:30,81.05,83,80,80.55,47349
2022-03-16 00:00:00+05:30,80.85,83,80.5,80.95,68785
2022-03-17 00:00:00+05:30,82,82,79.3,80.05,69224
2022-03-21 00:00:00+05:30,81.15,81.8,80.05,81.1,65504
2022-03-22 00:00:00+05:30,81,85,81,84.35,201463
2022-03-23 00:00:00+05:30,86,88.4,84.35,86.15,237042
2022-03-24 00:00:00+05:30,85,88,85,86.05,86031
2022-03-25 00:00:00+05:30,86.75,86.9,80.65,82.45,97544
2022-03-28 00:00:00+05:30,82.4,84,80.65,81.1,62928
2022-03-29 00:00:00+05:30,81,84.3,81,81.75,99215
2022-03-30 00:00:00+05:30,83,83.4,81.25,82.1,54631
2022-03-31 00:00:00+05:30,83.55,83.7,80.65,81.05,62235
2022-04-01 00:00:00+05:30,81.9,84.75,79.55,82.45,81013
2022-04-04 00:00:00+05:30,85.55,90,85.55,88.4,365926
2022-04-05 00:00:00+05:30,90.95,90.95,87.15,88.9,139088
2022-04-06 00:00:00+05:30,89,94.9,89,92.85,335107
2022-04-07 00:00:00+05:30,92.85,93.45,88.05,89.25,204269
2022-04-08 00:00:00+05:30,90.4,92,88.95,91.85,94090
