date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,42,43.3,40,40.7,32472
2022-01-04 00:00:00+05:30,40,41.8,39,39.25,22940
2022-01-05 00:00:00+05:30,39.8,39.95,38,38.3,9727
2022-01-06 00:00:00+05:30,38.9,39.65,37,39.55,14404
2022-01-07 00:00:00+05:30,39.7,41.5,38.5,41.5,46397
2022-01-10 00:00:00+05:30,43.55,43.55,42,43.55,52474
2022-01-11 00:00:00+05:30,45.3,45.7,43.6,45.1,60551
2022-01-12 00:00:00+05:30,46.7,47.35,43.2,43.4,47036
2022-01-13 00:00:00+05:30,43.55,45.45,41.6,43.95,28349
2022-01-14 00:00:00+05:30,43.15,44.65,42.3,44.2,40089
2022-01-17 00:00:00+05:30,45.1,45.1,43,44.1,31857
2022-01-18 00:00:00+05:30,45.45,46,43.15,44.1,43867
2022-01-19 00:00:00+05:30,43.1,46.3,42.7,46,34672
2022-01-20 00:00:00+05:30,47.85,48.3,45.5,48.3,81724
2022-01-21 00:00:00+05:30,48.9,50.7,46.5,47.9,110281
2022-01-24 00:00:00+05:30,47,47.25,45.55,45.55,29227
2022-01-25 00:00:00+05:30,43.7,44.9,43.3,43.75,34265
2022-01-27 00:00:00+05:30,42.3,43.45,42,43.25,17748
2022-01-28 00:00:00+05:30,42.7,45.4,42.7,45.25,12981
2022-01-31 00:00:00+05:30,47.25,47.5,43.75,45.05,33979
2022-02-01 00:00:00+05:30,46.35,47.3,44.15,46.3,32618
2022-02-02 00:00:00+05:30,47.65,48.6,45.1,47.55,44474
2022-02-03 00:00:00+05:30,48.85,49.5,46.15,48.35,34315
2022-02-04 00:00:00+05:30,49.25,49.25,46.6,47.5,14656
2022-02-07 00:00:00+05:30,50.3,50.3,47.15,49.05,24788
2022-02-08 00:00:00+05:30,47.3,49.1,44.55,46,26397
2022-02-09 00:00:00+05:30,46,47,43.2,44.95,30304
2022-02-10 00:00:00+05:30,45.95,46.85,45.1,45.95,10066
2022-02-11 00:00:00+05:30,46.85,47.5,44.7,46.55,21242
2022-02-14 00:00:00+05:30,47.7,47.7,41.9,42,58664
2022-02-15 00:00:00+05:30,42.8,42.9,39.6,41.7,25567
2022-02-16 00:00:00+05:30,44.5,44.5,41.9,42.65,9569
2022-02-17 00:00:00+05:30,44.85,44.85,41.6,42.1,10056
2022-02-18 00:00:00+05:30,42.1,42.1,39.1,39.8,21644
2022-02-21 00:00:00+05:30,41.75,41.75,37.85,39.45,31956
2022-02-22 00:00:00+05:30,37.75,39,36.4,37,10476
2022-02-23 00:00:00+05:30,38.15,38.95,37.7,38.45,6419
2022-02-24 00:00:00+05:30,39.35,39.35,34.65,34.85,23549
2022-02-25 00:00:00+05:30,35.05,36.65,33.55,34.15,26694
2022-02-28 00:00:00+05:30,33.5,36.65,33,35.45,7842
2022-03-02 00:00:00+05:30,35.45,35.7,33.95,34.95,33164
2022-03-03 00:00:00+05:30,36,38.2,34.65,37.35,19576
2022-03-04 00:00:00+05:30,36.05,37.4,35.2,35.55,41395
2022-03-07 00:00:00+05:30,35,38.5,33.05,34.2,27169
2022-03-08 00:00:00+05:30,33.6,35.7,33.6,34.6,15738
2022-03-09 00:00:00+05:30,34.5,36,34.3,35.6,11487
2022-03-10 00:00:00+05:30,36,38.75,35.95,37.45,21281
2022-03-11 00:00:00+05:30,37.45,38,35.65,37.3,8377
2022-03-14 00:00:00+05:30,37.3,37.95,36,37.4,13314
2022-03-15 00:00:00+05:30,36.5,37.65,35.15,36,15642
2022-03-16 00:00:00+05:30,35.85,37.75,35.85,36.8,15690
2022-03-17 00:00:00+05:30,37.75,37.9,35.9,36.55,12367
2022-03-21 00:00:00+05:30,37.95,37.95,35.25,36.95,16399
2022-03-22 00:00:00+05:30,34.7,37.45,34.7,37.2,13172
2022-03-23 00:00:00+05:30,37.2,39,36.3,38.7,21329
2022-03-24 00:00:00+05:30,38.95,38.95,37.7,37.9,19440
2022-03-25 00:00:00+05:30,39.7,39.7,37.15,38.1,8754
2022-03-28 00:00:00+05:30,37.5,38.85,36.35,37.2,10592
2022-03-29 00:00:00+05:30,36.95,38.95,36.85,37.55,17855
2022-03-30 00:00:00+05:30,36.2,39.2,36.2,37.2,7788
2022-03-31 00:00:00+05:30,36.2,38.2,36.2,37,11762
2022-04-01 00:00:00+05:30,37.15,38.9,36.6,38.35,10455
2022-04-04 00:00:00+05:30,37.2,41,37.2,40.15,21953
2022-04-05 00:00:00+05:30,41.15,43,38.95,42.5,46128
2022-04-06 00:00:00+05:30,43.25,43.25,40.7,42.35,14879
2022-04-07 00:00:00+05:30,41.5,50.8,41.5,46.35,285494
2022-04-08 00:00:00+05:30,46.2,48,44.35,44.9,55816
