date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,42.6,43.95,42.05,43.4,707395
2022-01-04 00:00:00+05:30,43.4,43.9,42.3,42.95,617309
2022-01-05 00:00:00+05:30,42.9,43.7,42.2,42.7,342811
2022-01-06 00:00:00+05:30,42.2,44.25,41.8,43.7,595419
2022-01-07 00:00:00+05:30,44,44.85,42.85,43.9,1053824
2022-01-10 00:00:00+05:30,44.5,45.65,44.05,44.4,882552
2022-01-11 00:00:00+05:30,44.5,46.45,43.8,45.8,1266304
2022-01-12 00:00:00+05:30,46.3,47.1,44.6,45.15,988776
2022-01-13 00:00:00+05:30,45.35,45.35,44.05,44.75,435002
2022-01-14 00:00:00+05:30,44.5,45.2,44.25,44.65,260174
2022-01-17 00:00:00+05:30,44.75,46.95,44.75,46.4,1010590
2022-01-18 00:00:00+05:30,46.75,47.75,44.55,45.25,1071766
2022-01-19 00:00:00+05:30,45,46.2,44.4,44.85,578356
2022-01-20 00:00:00+05:30,45,46.45,44.95,45.6,558059
2022-01-21 00:00:00+05:30,45.4,47.15,44,45.05,1004190
2022-01-24 00:00:00+05:30,45.35,46,42.05,42.8,674195
2022-01-25 00:00:00+05:30,41.8,43.6,41.35,42.7,279439
2022-01-27 00:00:00+05:30,42.65,43.85,41.8,42.9,311042
2022-01-28 00:00:00+05:30,43.5,44.55,43.1,43.8,420521
2022-01-31 00:00:00+05:30,43.85,45.45,43.85,44.7,371741
2022-02-01 00:00:00+05:30,45.5,45.6,43.9,44.4,374316
2022-02-02 00:00:00+05:30,44.5,45.7,44.2,44.5,473796
2022-02-03 00:00:00+05:30,44.8,45.75,44.8,45.1,457654
2022-02-04 00:00:00+05:30,45.5,46.4,44.5,45.2,374164
2022-02-07 00:00:00+05:30,45.15,45.75,43.65,43.95,265114
2022-02-08 00:00:00+05:30,44.8,44.8,42.1,42.35,388902
2022-02-09 00:00:00+05:30,43.4,43.9,42.15,43.55,568205
2022-02-10 00:00:00+05:30,43.55,43.6,42.2,42.7,311785
2022-02-11 00:00:00+05:30,42.85,42.85,40.7,41,483304
2022-02-14 00:00:00+05:30,40.15,40.2,35.15,35.75,1630790
2022-02-15 00:00:00+05:30,36.85,37,35,36.05,939292
2022-02-16 00:00:00+05:30,37,37.25,35.8,36.25,667789
2022-02-17 00:00:00+05:30,37,37,35.4,35.7,452664
2022-02-18 00:00:00+05:30,35.45,36,35.15,35.55,260457
2022-02-21 00:00:00+05:30,35.3,35.5,32.75,34.1,477888
2022-02-22 00:00:00+05:30,32.2,35.25,30.1,34.85,626526
2022-02-23 00:00:00+05:30,35,35.95,34.4,34.65,259483
2022-02-24 00:00:00+05:30,33.2,33.7,31.25,32.3,559139
2022-02-25 00:00:00+05:30,32.95,34,32.95,33.5,295384
2022-02-28 00:00:00+05:30,33.5,34.4,32.6,33.75,238069
2022-03-02 00:00:00+05:30,34.15,34.6,33.35,33.9,233227
2022-03-03 00:00:00+05:30,34.2,35.5,34,34.25,259619
2022-03-04 00:00:00+05:30,33.9,34.6,33.7,34.2,171795
2022-03-07 00:00:00+05:30,34.2,36.9,32.9,35.4,633196
2022-03-08 00:00:00+05:30,35.8,36.75,35,35.6,228733
2022-03-09 00:00:00+05:30,35.9,36.05,35,35.85,251686
2022-03-10 00:00:00+05:30,36.65,36.9,35.4,35.6,426643
2022-03-11 00:00:00+05:30,35.6,36.15,35.5,35.95,335428
2022-03-14 00:00:00+05:30,36,36.1,34.85,35,213474
2022-03-15 00:00:00+05:30,35,36.25,34.75,35,355568
2022-03-16 00:00:00+05:30,35.4,35.75,34.8,35.05,240662
2022-03-17 00:00:00+05:30,35.4,35.85,35,35.25,290248
2022-03-21 00:00:00+05:30,35.25,36.1,35.25,35.5,318891
2022-03-22 00:00:00+05:30,35.8,35.8,34.6,34.85,246324
2022-03-23 00:00:00+05:30,35,35.65,33.4,33.95,412550
2022-03-24 00:00:00+05:30,34,34.5,33.7,33.95,258325
2022-03-25 00:00:00+05:30,34.45,34.45,33.35,33.55,298254
2022-03-28 00:00:00+05:30,33.2,33.5,32.25,32.45,417077
2022-03-29 00:00:00+05:30,32.65,32.95,31.75,32.05,571078
2022-03-30 00:00:00+05:30,32.6,33.6,32.5,32.65,333281
2022-03-31 00:00:00+05:30,32.8,33.4,31.45,31.85,649594
2022-04-01 00:00:00+05:30,31.85,34.5,31.8,34.3,490939
2022-04-04 00:00:00+05:30,35,35.75,34.5,35.6,336778
2022-04-05 00:00:00+05:30,36,36.25,35.5,35.75,407435
2022-04-06 00:00:00+05:30,36,36.9,35.7,36.05,1118308
2022-04-07 00:00:00+05:30,36.75,38.75,35.4,37.85,2990469
2022-04-08 00:00:00+05:30,38.05,39.7,37.4,37.8,1648088
