date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,595,596.65,575,585.75,134976
2022-01-04 00:00:00+05:30,590,590,576.1,578.8,98381
2022-01-05 00:00:00+05:30,594,594,576,587.4,139574
2022-01-06 00:00:00+05:30,588,603,576.3,597.85,143168
2022-01-07 00:00:00+05:30,610,620,601,611.1,797559
2022-01-10 00:00:00+05:30,633,666.3,626.65,652.2,1019216
2022-01-11 00:00:00+05:30,659,663,635.9,644,378677
2022-01-12 00:00:00+05:30,645,655,631.3,637.45,166990
2022-01-13 00:00:00+05:30,644.8,644.8,625,627.15,146524
2022-01-14 00:00:00+05:30,632,645.55,618.05,637.1,165965
2022-01-17 00:00:00+05:30,644.9,650,641.5,643.3,139713
2022-01-18 00:00:00+05:30,655.8,671.7,611,623.9,1096719
2022-01-19 00:00:00+05:30,602.1,623.8,602.05,606.95,298329
2022-01-20 00:00:00+05:30,623,624.5,600,603.2,235927
2022-01-21 00:00:00+05:30,606.9,609.75,585.1,591.3,165431
2022-01-24 00:00:00+05:30,585.2,591.3,545,552.7,327835
2022-01-25 00:00:00+05:30,551.9,580,528.05,577.3,158968
2022-01-27 00:00:00+05:30,577,587.15,564.65,578,115985
2022-01-28 00:00:00+05:30,579,594.4,579,585.75,88237
2022-01-31 00:00:00+05:30,614.95,614.95,571.1,573.35,161400
2022-02-01 00:00:00+05:30,580,584.5,570,575.85,67528
2022-02-02 00:00:00+05:30,584,589,576,580.4,67759
2022-02-03 00:00:00+05:30,584.95,584.95,576.15,579.45,45923
2022-02-04 00:00:00+05:30,580,583,571.2,572.4,46329
2022-02-07 00:00:00+05:30,581.9,583.95,561.3,565.4,70961
2022-02-08 00:00:00+05:30,569.95,576.2,554.2,561.95,61172
2022-02-09 00:00:00+05:30,569,569.7,554.9,559.9,54348
2022-02-10 00:00:00+05:30,568,575.85,557,569.4,59521
2022-02-11 00:00:00+05:30,568.5,568.5,546.6,558.4,56963
2022-02-14 00:00:00+05:30,539,545,520,527.35,115517
2022-02-15 00:00:00+05:30,545,545,514,540.15,98243
2022-02-16 00:00:00+05:30,550,573,541.2,559.4,113667
2022-02-17 00:00:00+05:30,569,569,550,551.45,49828
2022-02-18 00:00:00+05:30,551.5,558,545.15,548.9,33948
2022-02-21 00:00:00+05:30,540,545,529.7,531.7,70227
2022-02-22 00:00:00+05:30,504.5,521.6,495,512.25,98008
2022-02-23 00:00:00+05:30,520,524.6,514,516.95,94797
2022-02-24 00:00:00+05:30,501.05,509.95,435.65,466.25,186620
2022-02-25 00:00:00+05:30,471,500,470,475.05,148602
2022-02-28 00:00:00+05:30,488.7,506.85,450,499.4,154389
2022-03-02 00:00:00+05:30,503,521.55,491.4,502.2,174473
2022-03-03 00:00:00+05:30,519,519,503,506.25,74956
2022-03-04 00:00:00+05:30,506,508.65,496.4,500.45,69205
2022-03-07 00:00:00+05:30,499,507.5,485.95,489.9,113007
2022-03-08 00:00:00+05:30,485.1,500.5,485.1,494.95,77781
2022-03-09 00:00:00+05:30,506.85,510.7,501.4,504.15,90707
2022-03-10 00:00:00+05:30,514.5,522,505.1,508.75,91853
2022-03-11 00:00:00+05:30,516,520,506.9,519.05,60749
2022-03-14 00:00:00+05:30,522,527,519.3,521.4,43129
2022-03-15 00:00:00+05:30,526.75,526.75,500,504.35,124155
2022-03-16 00:00:00+05:30,507,513.95,503.5,508.25,70590
2022-03-17 00:00:00+05:30,517.95,534.5,510.95,519.3,112798
2022-03-21 00:00:00+05:30,528,528,511.75,516.5,95061
2022-03-22 00:00:00+05:30,520,520.9,506.95,512.4,70050
2022-03-23 00:00:00+05:30,515,523,509.4,511.2,91019
2022-03-24 00:00:00+05:30,515,515,506.1,508.1,59445
2022-03-25 00:00:00+05:30,511,516.55,500.65,502.55,80303
2022-03-28 00:00:00+05:30,497.5,509,480,482.5,166776
2022-03-29 00:00:00+05:30,494.7,497.75,480,481.9,273414
2022-03-30 00:00:00+05:30,494.9,494.9,479.9,481.75,258169
2022-03-31 00:00:00+05:30,489.95,489.95,464,465.65,341141
2022-04-01 00:00:00+05:30,467,485,467,481.9,142171
2022-04-04 00:00:00+05:30,496,508.25,487.45,500.1,122131
2022-04-05 00:00:00+05:30,507,508.8,498.2,505.6,101228
2022-04-06 00:00:00+05:30,505.45,513,499,501.6,91158
2022-04-07 00:00:00+05:30,502,504.85,496.5,497.45,73160
2022-04-08 00:00:00+05:30,499.5,524.9,496.85,511.65,285166
