date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,4.85,4.85,4.85,4.85,520218
2022-01-04 00:00:00+05:30,5.05,5.05,4.65,4.7,2636745
2022-01-05 00:00:00+05:30,4.8,4.9,4.8,4.9,680148
2022-01-06 00:00:00+05:30,5.1,5.1,5,5.1,495737
2022-01-07 00:00:00+05:30,5.35,5.35,5.35,5.35,143324
2022-01-10 00:00:00+05:30,5.6,5.6,5.6,5.6,111909
2022-01-11 00:00:00+05:30,5.85,5.85,5.6,5.85,1050071
2022-01-12 00:00:00+05:30,6.1,6.1,5.9,6.1,1127002
2022-01-13 00:00:00+05:30,6.35,6.4,5.8,6.05,1213850
2022-01-14 00:00:00+05:30,6.05,6.1,5.75,5.75,1423395
2022-01-17 00:00:00+05:30,5.55,5.7,5.5,5.5,648239
2022-01-18 00:00:00+05:30,5.25,5.25,5.25,5.25,194212
2022-01-19 00:00:00+05:30,5,5,5,5,154748
2022-01-20 00:00:00+05:30,4.75,4.75,4.75,4.75,226070
2022-01-21 00:00:00+05:30,4.55,4.95,4.55,4.9,1245919
2022-01-24 00:00:00+05:30,4.7,4.7,4.7,4.7,310658
2022-01-25 00:00:00+05:30,4.5,4.5,4.5,4.5,116463
2022-01-27 00:00:00+05:30,4.4,4.7,4.3,4.7,904338
2022-01-28 00:00:00+05:30,4.85,4.9,4.5,4.9,593846
2022-01-31 00:00:00+05:30,5.1,5.1,4.9,5.1,898363
2022-02-01 00:00:00+05:30,5.35,5.35,4.85,4.9,912209
2022-02-02 00:00:00+05:30,4.75,4.75,4.7,4.7,200461
2022-02-03 00:00:00+05:30,4.5,4.9,4.5,4.85,689062
2022-02-04 00:00:00+05:30,4.95,4.95,4.65,4.7,466853
2022-02-07 00:00:00+05:30,4.9,4.9,4.9,4.9,398337
2022-02-08 00:00:00+05:30,5.1,5.1,4.7,4.85,788497
2022-02-09 00:00:00+05:30,4.9,5,4.65,4.7,321872
2022-02-10 00:00:00+05:30,4.5,4.8,4.5,4.5,244771
2022-02-11 00:00:00+05:30,4.45,4.45,4.3,4.3,156001
2022-02-14 00:00:00+05:30,4.4,4.4,4.1,4.1,157079
2022-02-15 00:00:00+05:30,3.9,4.3,3.9,4.25,303065
2022-02-16 00:00:00+05:30,4.3,4.45,4.3,4.45,343696
2022-02-17 00:00:00+05:30,4.65,4.65,4.25,4.4,324948
2022-02-18 00:00:00+05:30,4.35,4.5,4.2,4.2,129870
2022-02-21 00:00:00+05:30,4,4.4,4,4,219381
2022-02-22 00:00:00+05:30,3.8,3.8,3.8,3.8,115649
2022-02-23 00:00:00+05:30,3.65,3.95,3.65,3.95,361101
2022-02-24 00:00:00+05:30,3.85,3.85,3.8,3.8,64002
2022-02-25 00:00:00+05:30,3.65,3.95,3.65,3.95,562126
2022-02-28 00:00:00+05:30,3.95,4.1,3.8,3.95,200405
2022-03-02 00:00:00+05:30,3.95,3.95,3.8,3.8,186489
2022-03-03 00:00:00+05:30,3.75,3.95,3.75,3.75,255608
2022-03-04 00:00:00+05:30,3.8,3.9,3.6,3.9,163447
2022-03-07 00:00:00+05:30,4.05,4.05,3.75,3.75,203420
2022-03-08 00:00:00+05:30,3.75,3.9,3.75,3.9,133407
2022-03-09 00:00:00+05:30,4,4.05,3.85,4.05,232666
2022-03-10 00:00:00+05:30,4.15,4.25,4.1,4.25,184891
2022-03-11 00:00:00+05:30,4.4,4.45,4.2,4.4,501500
2022-03-14 00:00:00+05:30,4.55,4.6,4.45,4.6,329346
2022-03-15 00:00:00+05:30,4.8,4.8,4.65,4.8,321452
2022-03-16 00:00:00+05:30,5,5,4.6,4.75,472989
2022-03-17 00:00:00+05:30,4.65,4.95,4.55,4.9,462998
2022-03-21 00:00:00+05:30,4.9,4.95,4.7,4.75,277770
2022-03-22 00:00:00+05:30,4.6,4.7,4.55,4.55,191718
2022-03-23 00:00:00+05:30,4.5,4.5,4.35,4.35,149292
2022-03-24 00:00:00+05:30,4.2,4.3,4.15,4.15,170982
2022-03-25 00:00:00+05:30,3.95,4.2,3.95,3.95,430395
2022-03-28 00:00:00+05:30,3.9,4.05,3.8,3.8,193096
2022-03-29 00:00:00+05:30,3.7,3.9,3.65,3.7,548057
2022-03-30 00:00:00+05:30,3.65,3.85,3.6,3.85,377621
2022-03-31 00:00:00+05:30,4,4,3.85,4,248994
2022-04-01 00:00:00+05:30,4.2,4.2,3.8,3.9,1199103
2022-04-04 00:00:00+05:30,3.95,4.05,3.95,4.05,281302
2022-04-05 00:00:00+05:30,4.25,4.25,3.9,4,623562
2022-04-06 00:00:00+05:30,4.05,4.1,3.9,3.95,271102
2022-04-07 00:00:00+05:30,4.1,4.1,3.9,3.95,324856
2022-04-08 00:00:00+05:30,4.05,4.3,3.9,4.25,700662
