date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,777.6,786,768.35,780.5,19598
2022-01-04 00:00:00+05:30,784.7,784.7,770,773.55,13844
2022-01-05 00:00:00+05:30,780,786,775.05,778.5,13637
2022-01-06 00:00:00+05:30,771.05,782.95,767.25,771.6,10969
2022-01-07 00:00:00+05:30,796.5,796.5,770.1,773.15,13803
2022-01-10 00:00:00+05:30,773.15,796,769.65,789.45,34518
2022-01-11 00:00:00+05:30,789,799.1,777.15,778.65,13814
2022-01-12 00:00:00+05:30,781,788.8,779.3,782.65,8869
2022-01-13 00:00:00+05:30,780,783.25,774.95,777.35,9225
2022-01-14 00:00:00+05:30,782.8,782.8,772,775.1,8899
2022-01-17 00:00:00+05:30,775.1,780.55,770.45,772.05,10356
2022-01-18 00:00:00+05:30,778.9,793.05,768.95,780.95,28360
2022-01-19 00:00:00+05:30,785,787.55,771.1,779.9,10018
2022-01-20 00:00:00+05:30,780,784.5,770,772.6,6096
2022-01-21 00:00:00+05:30,772.6,774,760,763.25,10063
2022-01-24 00:00:00+05:30,762,765.95,734.05,744.55,14253
2022-01-25 00:00:00+05:30,753,754,727.05,737.5,9410
2022-01-27 00:00:00+05:30,741.35,741.35,726,734.4,8058
2022-01-28 00:00:00+05:30,741,761.4,736.35,741.55,10956
2022-01-31 00:00:00+05:30,748,760.05,737.1,738.95,10972
2022-02-01 00:00:00+05:30,741,744,735,738.3,7341
2022-02-02 00:00:00+05:30,745,752.9,736.05,740.15,11697
2022-02-03 00:00:00+05:30,747,754.4,740.5,746.35,8113
2022-02-04 00:00:00+05:30,744.15,757.4,744.1,750.9,9091
2022-02-07 00:00:00+05:30,757,780,753.25,776.5,26338
2022-02-08 00:00:00+05:30,777.85,781.75,760.1,773.15,12726
2022-02-09 00:00:00+05:30,773,797.1,765,782.65,12943
2022-02-10 00:00:00+05:30,789,823,743.3,772,100543
2022-02-11 00:00:00+05:30,765.8,768,742,744.8,15332
2022-02-14 00:00:00+05:30,742.7,742.9,712.8,723.55,30671
2022-02-15 00:00:00+05:30,729.05,736,694.85,710.3,15659
2022-02-16 00:00:00+05:30,725,725,703,711,8787
2022-02-17 00:00:00+05:30,711.7,719.85,706.15,709.3,6064
2022-02-18 00:00:00+05:30,711.15,714.95,702,703.55,6782
2022-02-21 00:00:00+05:30,700,700.55,676.3,677.15,13870
2022-02-22 00:00:00+05:30,667,676.05,640,647.4,20327
2022-02-23 00:00:00+05:30,660,670,650.05,661.95,10801
2022-02-24 00:00:00+05:30,652.9,652.9,618,623.05,12762
2022-02-25 00:00:00+05:30,630,647.1,630,635.85,9672
2022-02-28 00:00:00+05:30,646.9,646.9,624.9,629.3,8796
2022-03-02 00:00:00+05:30,625.55,634.95,614,620.5,9111
2022-03-03 00:00:00+05:30,622.35,636.9,613.9,616.5,9962
2022-03-04 00:00:00+05:30,616.5,631.1,603.65,611.55,15139
2022-03-07 00:00:00+05:30,609,609,582.15,588.75,13324
2022-03-08 00:00:00+05:30,595,602.75,587,588.5,12168
2022-03-09 00:00:00+05:30,599.8,607.05,588,601.65,10595
2022-03-10 00:00:00+05:30,607.8,623,606.15,614.6,16387
2022-03-11 00:00:00+05:30,616,627,610,621.7,8823
2022-03-14 00:00:00+05:30,624.5,624.5,600,605.4,15597
2022-03-15 00:00:00+05:30,609.8,616,597.2,599.55,15381
2022-03-16 00:00:00+05:30,605,610,595.5,600.45,9964
2022-03-17 00:00:00+05:30,608,614.55,604.85,608.7,15143
2022-03-21 00:00:00+05:30,606.2,629.95,606.2,623.15,26560
2022-03-22 00:00:00+05:30,623.15,655.55,622.1,642.25,27331
2022-03-23 00:00:00+05:30,645,652,629.95,634.05,30993
2022-03-24 00:00:00+05:30,636,644.9,625.4,626.55,27478
2022-03-25 00:00:00+05:30,631.45,633.45,609,611.4,18483
2022-03-28 00:00:00+05:30,612,621.65,590,593.6,28979
2022-03-29 00:00:00+05:30,599,604.7,587.95,591.1,40252
2022-03-30 00:00:00+05:30,596,615.55,590.25,595.55,34040
2022-03-31 00:00:00+05:30,606.9,607,587.25,589.7,34236
2022-04-01 00:00:00+05:30,596.2,625.2,589.25,621,34636
2022-04-04 00:00:00+05:30,625,635,620,632.9,22279
2022-04-05 00:00:00+05:30,635,650,634.9,640.8,21167
2022-04-06 00:00:00+05:30,635,658.15,635,647.4,21340
2022-04-07 00:00:00+05:30,650,655,641.65,648.2,12653
2022-04-08 00:00:00+05:30,650,655,645,648.1,7128
