date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,198.9,202.6,196.45,198.8,968979
2022-01-04 00:00:00+05:30,199,202.5,194.95,196.95,1169971
2022-01-05 00:00:00+05:30,198.9,198.95,194.05,194.95,848201
2022-01-06 00:00:00+05:30,193.4,199,191.4,197.85,1323946
2022-01-07 00:00:00+05:30,199.7,215.95,199.1,214.05,8184529
2022-01-10 00:00:00+05:30,214.05,221,213,215,2385921
2022-01-11 00:00:00+05:30,216.1,217.6,211.7,213,1185100
2022-01-12 00:00:00+05:30,217,222.5,215.6,220.6,2641749
2022-01-13 00:00:00+05:30,222,224.95,221,221.9,1474006
2022-01-14 00:00:00+05:30,220.6,222.35,217.95,218.8,752371
2022-01-17 00:00:00+05:30,222,229.85,222,224.65,1901213
2022-01-18 00:00:00+05:30,226.35,229.75,221.05,224.05,1128240
2022-01-19 00:00:00+05:30,226.5,230.85,224.05,224.9,1808821
2022-01-20 00:00:00+05:30,224.9,227.35,222.65,223.7,693008
2022-01-21 00:00:00+05:30,222.7,226.9,218.4,221.15,2316765
2022-01-24 00:00:00+05:30,222,226.5,215.65,217.3,1212933
2022-01-25 00:00:00+05:30,215.9,226,212.85,224.8,763453
2022-01-27 00:00:00+05:30,225.5,235.9,223.5,229.85,4040568
2022-01-28 00:00:00+05:30,231.2,237.5,229.9,230.55,905552
2022-01-31 00:00:00+05:30,233,240.7,231.5,239.65,1804164
2022-02-01 00:00:00+05:30,240.85,240.85,232.5,233.75,932659
2022-02-02 00:00:00+05:30,234,237.5,231.1,233.5,521077
2022-02-03 00:00:00+05:30,233.5,241.6,230,231.2,1304172
2022-02-04 00:00:00+05:30,234,240.95,224,225,1444856
2022-02-07 00:00:00+05:30,225,235,224.95,231.2,1285820
2022-02-08 00:00:00+05:30,230.15,234.75,221.55,230.05,969686
2022-02-09 00:00:00+05:30,231,235,228.45,232.15,800673
2022-02-10 00:00:00+05:30,232.15,233.55,229.6,230.2,370009
2022-02-11 00:00:00+05:30,228,233.4,227,229.2,1760936
2022-02-14 00:00:00+05:30,230.3,235.7,225,225.75,1860877
2022-02-15 00:00:00+05:30,231,231,224.15,224.7,1514286
2022-02-16 00:00:00+05:30,225,232.9,225,231.05,2293542
2022-02-17 00:00:00+05:30,230.1,236,230.1,231.9,1391522
2022-02-18 00:00:00+05:30,231.9,233.65,228.65,229.95,281226
2022-02-21 00:00:00+05:30,230.8,231.35,225,225.35,670369
2022-02-22 00:00:00+05:30,221.75,225.25,216.15,220.5,1242203
2022-02-23 00:00:00+05:30,222.9,225.45,217.7,220.5,576788
2022-02-24 00:00:00+05:30,220.5,226.4,215.4,218.75,3605130
2022-02-25 00:00:00+05:30,223,227.6,217.5,221.95,2294511
2022-02-28 00:00:00+05:30,225.5,225.7,221,222.95,1049532
2022-03-02 00:00:00+05:30,232.4,246.5,228.25,244.5,6800849
2022-03-03 00:00:00+05:30,252.25,262.9,243.5,245.3,7819565
2022-03-04 00:00:00+05:30,251,257.7,241.7,244.65,3855431
2022-03-07 00:00:00+05:30,251,257.4,245.3,249.2,6788037
2022-03-08 00:00:00+05:30,253.2,254.05,242.15,245.9,2396862
2022-03-09 00:00:00+05:30,250.55,252.25,242.55,243.4,1863229
2022-03-10 00:00:00+05:30,240.85,241,233.95,235.25,3384835
2022-03-11 00:00:00+05:30,235.95,238.25,234.25,235.8,1293487
2022-03-14 00:00:00+05:30,235,239.85,230.3,231.1,1210294
2022-03-15 00:00:00+05:30,226,230.75,223.2,228.05,1307044
2022-03-16 00:00:00+05:30,228,236.9,227.05,234.3,2125819
2022-03-17 00:00:00+05:30,239,239.4,217.1,219.9,4690578
2022-03-21 00:00:00+05:30,223,235.8,222.3,233.2,3645954
2022-03-22 00:00:00+05:30,238,243.45,229,230.35,3100689
2022-03-23 00:00:00+05:30,235,235,228.4,229.6,1300988
2022-03-24 00:00:00+05:30,235,238.85,232.55,235.45,3198005
2022-03-25 00:00:00+05:30,235,236.7,232,234.65,1150658
2022-03-28 00:00:00+05:30,235.6,239,232.5,233.6,992536
2022-03-29 00:00:00+05:30,233.5,235,228.2,231.85,1064260
2022-03-30 00:00:00+05:30,231.6,231.75,224.05,227.7,1547859
2022-03-31 00:00:00+05:30,228.9,239.75,228.25,238.4,1904718
2022-04-01 00:00:00+05:30,238.5,241.55,235.25,238.85,3693530
2022-04-04 00:00:00+05:30,238.85,244.4,236.25,237.15,1077414
2022-04-05 00:00:00+05:30,240.1,240.85,237,237.9,703644
2022-04-06 00:00:00+05:30,238.4,241.9,236.4,237.25,1118406
2022-04-07 00:00:00+05:30,237.5,243.65,237.05,237.95,1340746
2022-04-08 00:00:00+05:30,240.3,240.3,234.3,234.95,799035
