date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,2308.3,2389,2291.25,2363.7,26598
2022-01-04 00:00:00+05:30,2363.7,2836.4,2363.7,2836.4,185187
2022-01-05 00:00:00+05:30,2850,2924.8,2736.65,2772.05,128271
2022-01-06 00:00:00+05:30,2738,2813.65,2707.55,2743.25,37543
2022-01-07 00:00:00+05:30,2727,2910,2727,2841.3,54139
2022-01-10 00:00:00+05:30,2860,2908.8,2810.05,2829.15,23882
2022-01-11 00:00:00+05:30,2850,2850,2713.25,2737.65,32658
2022-01-12 00:00:00+05:30,2760,2798.95,2670,2694.4,12240
2022-01-13 00:00:00+05:30,2714.95,2764.75,2689.95,2694.6,9150
2022-01-14 00:00:00+05:30,2684,3004.9,2684,2871.65,102191
2022-01-17 00:00:00+05:30,2898,2949.9,2862.05,2909.8,24388
2022-01-18 00:00:00+05:30,2934.85,3005,2850,2872.2,32135
2022-01-19 00:00:00+05:30,2880,3046,2852.2,3007.2,52169
2022-01-20 00:00:00+05:30,3044,3125.95,2970.05,3008.3,42171
2022-01-21 00:00:00+05:30,3005.1,3050,2859.1,2889.2,17935
2022-01-24 00:00:00+05:30,2919,2933.55,2655.65,2720.5,22660
2022-01-25 00:00:00+05:30,2765,2821.45,2678.6,2749.9,17257
2022-01-27 00:00:00+05:30,2775.1,2810,2590.75,2707.4,22565
2022-01-28 00:00:00+05:30,2713,2900,2713,2828.85,28010
2022-01-31 00:00:00+05:30,2828.85,2987.95,2736.05,2873.75,38299
2022-02-01 00:00:00+05:30,2892.5,2892.5,2761,2840.15,16924
2022-02-02 00:00:00+05:30,2854.4,2890,2811.4,2827,8707
2022-02-03 00:00:00+05:30,2829.95,2991,2808.8,2905.3,21434
2022-02-04 00:00:00+05:30,2919.85,3080.1,2919.85,2988.05,55994
2022-02-07 00:00:00+05:30,3011,3026,2873,2899.7,15449
2022-02-08 00:00:00+05:30,2914.2,2922.7,2801,2867.2,9970
2022-02-09 00:00:00+05:30,2881.55,2980,2844.95,2928.2,13921
2022-02-10 00:00:00+05:30,2940,2948.55,2870,2888.25,7344
2022-02-11 00:00:00+05:30,2841,2953.95,2822,2857.1,13688
2022-02-14 00:00:00+05:30,2825,2849.95,2677,2703.05,9901
2022-02-15 00:00:00+05:30,2712,2774,2620,2675.4,20287
2022-02-16 00:00:00+05:30,2700,2746.75,2662.35,2678.75,9749
2022-02-17 00:00:00+05:30,2699.95,2723,2667.05,2678.6,8364
2022-02-18 00:00:00+05:30,2642,2692,2601,2628.45,5143
2022-02-21 00:00:00+05:30,2600,2669.95,2535,2547.3,14511
2022-02-22 00:00:00+05:30,2499,2571.2,2411.05,2529.85,12041
2022-02-23 00:00:00+05:30,2542.5,2618.75,2490.2,2514.4,11065
2022-02-24 00:00:00+05:30,2361,2444,2282.45,2306.35,15874
2022-02-25 00:00:00+05:30,2351,2430.9,2351,2413.1,8376
2022-02-28 00:00:00+05:30,2399.95,2469,2355,2448.65,8006
2022-03-02 00:00:00+05:30,2442.9,2569.85,2428.95,2501.65,13077
2022-03-03 00:00:00+05:30,2528,2645.45,2528,2583.85,14386
2022-03-04 00:00:00+05:30,2570,2570,2481,2502.65,15104
2022-03-07 00:00:00+05:30,2440,2470,2389.2,2448.1,7191
2022-03-08 00:00:00+05:30,2477,2513,2384,2433.2,7425
2022-03-09 00:00:00+05:30,2444.95,2875,2444.95,2769.7,125676
2022-03-10 00:00:00+05:30,2775.05,2822,2702.8,2733.6,14573
2022-03-11 00:00:00+05:30,2700.5,2966.6,2700.5,2887.7,41439
2022-03-14 00:00:00+05:30,2887.6,2990.05,2830,2847.65,21011
2022-03-15 00:00:00+05:30,2875,2898.45,2712,2759.6,8996
2022-03-16 00:00:00+05:30,2764,2898.95,2759.2,2789.7,17621
2022-03-17 00:00:00+05:30,2840,2877.55,2750,2787,15405
2022-03-21 00:00:00+05:30,2806,2835,2745.1,2770.45,8272
2022-03-22 00:00:00+05:30,2784.3,2784.3,2715,2734.35,6300
2022-03-23 00:00:00+05:30,2748.05,2810,2700,2714.9,14973
2022-03-24 00:00:00+05:30,2700,2800,2696.65,2737.5,15244
2022-03-25 00:00:00+05:30,2748,2825,2725,2734.8,18862
2022-03-28 00:00:00+05:30,2729.9,2764.1,2650,2728.1,30747
2022-03-29 00:00:00+05:30,2740,2858.9,2716.25,2832.3,33115
2022-03-30 00:00:00+05:30,2875,2915.15,2767.95,2776.95,21912
2022-03-31 00:00:00+05:30,2797.95,2924,2795.6,2849.45,35575
2022-04-01 00:00:00+05:30,2859.9,3100,2849.2,3071.35,80681
2022-04-04 00:00:00+05:30,3100,3184,3044.25,3057.45,48469
2022-04-05 00:00:00+05:30,3080,3120,3027.55,3061.8,27459
2022-04-06 00:00:00+05:30,3050,3151.95,3011,3098.1,38141
2022-04-07 00:00:00+05:30,3075.2,3174.95,3009,3026.45,26382
2022-04-08 00:00:00+05:30,3035,3140.75,3035,3096.75,18739
