date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,13.7,13.7,12.6,13.55,34345
2022-01-04 00:00:00+05:30,14.15,14.15,13.15,13.7,22156
2022-01-05 00:00:00+05:30,13.7,13.9,13.25,13.4,19741
2022-01-06 00:00:00+05:30,13.8,14.05,13.25,13.75,56790
2022-01-07 00:00:00+05:30,14,14.4,13.85,14.4,67467
2022-01-10 00:00:00+05:30,14.9,15.1,14.85,15.1,37311
2022-01-11 00:00:00+05:30,15.85,15.85,15.5,15.85,28670
2022-01-12 00:00:00+05:30,16.6,16.6,15.1,15.1,82281
2022-01-13 00:00:00+05:30,15.1,15.1,14.35,14.65,32575
2022-01-14 00:00:00+05:30,15.1,15.35,14.4,15.35,27730
2022-01-17 00:00:00+05:30,16.1,16.1,16.05,16.1,35184
2022-01-18 00:00:00+05:30,16.85,16.9,15.3,15.55,116199
2022-01-19 00:00:00+05:30,16.05,16.05,15.1,15.2,28273
2022-01-20 00:00:00+05:30,14.7,15.65,14.7,15.35,16181
2022-01-21 00:00:00+05:30,15.8,15.8,15,15.2,11767
2022-01-24 00:00:00+05:30,15.7,15.7,14.45,14.45,24590
2022-01-25 00:00:00+05:30,13.85,14.15,13.75,13.9,23879
2022-01-27 00:00:00+05:30,14.4,14.4,13.3,13.65,13679
2022-01-28 00:00:00+05:30,13.65,14.15,13.65,14.15,17555
2022-01-31 00:00:00+05:30,14.15,14.5,13.7,13.95,10709
2022-02-01 00:00:00+05:30,14.5,14.5,13.6,13.8,7732
2022-02-02 00:00:00+05:30,13.4,13.9,13.3,13.45,12879
2022-02-03 00:00:00+05:30,13.3,13.8,13.1,13.55,14599
2022-02-04 00:00:00+05:30,13.3,14.2,13.3,13.65,19800
2022-02-07 00:00:00+05:30,14.25,15,13.9,15,34436
2022-02-08 00:00:00+05:30,16.45,16.5,16.45,16.5,45870
2022-02-09 00:00:00+05:30,18.15,18.15,17.3,18.15,250854
2022-02-10 00:00:00+05:30,18.8,18.8,17.25,17.25,122742
2022-02-11 00:00:00+05:30,16.4,16.4,16.4,16.4,19208
2022-02-14 00:00:00+05:30,15.6,15.6,15.6,15.6,2171
2022-02-15 00:00:00+05:30,14.85,16,14.85,14.85,42526
2022-02-16 00:00:00+05:30,14.15,15.1,14.15,14.15,96302
2022-02-17 00:00:00+05:30,13.75,14.85,13.7,14.65,48306
2022-02-18 00:00:00+05:30,14.65,14.65,13.95,13.95,29519
2022-02-21 00:00:00+05:30,13.4,13.55,13.3,13.3,13128
2022-02-22 00:00:00+05:30,13.25,13.25,12.65,12.65,14856
2022-02-23 00:00:00+05:30,12.35,13.25,12.25,12.55,47715
2022-02-24 00:00:00+05:30,12.1,12.15,11.95,11.95,10289
2022-02-25 00:00:00+05:30,11.4,12.4,11.4,12.05,20398
2022-02-28 00:00:00+05:30,11.55,12.4,11.45,12.1,17746
2022-03-02 00:00:00+05:30,12.25,12.25,11.55,11.95,8031
2022-03-03 00:00:00+05:30,11.95,12.3,11.85,11.95,11344
2022-03-04 00:00:00+05:30,12.1,12.3,11.55,11.75,7227
2022-03-07 00:00:00+05:30,11.8,12.3,11.5,11.8,12309
2022-03-08 00:00:00+05:30,12.3,12.3,11.45,12.25,14691
2022-03-09 00:00:00+05:30,12.25,12.85,11.9,12.75,13386
2022-03-10 00:00:00+05:30,13.2,13.3,12.3,12.8,16734
2022-03-11 00:00:00+05:30,13,13.4,12.55,13.4,14804
2022-03-14 00:00:00+05:30,13.9,13.9,12.95,13,12058
2022-03-15 00:00:00+05:30,13.5,13.5,12.4,13,8483
2022-03-16 00:00:00+05:30,12.9,13,12.5,12.55,10553
2022-03-17 00:00:00+05:30,12.6,12.95,12.35,12.45,10958
2022-03-21 00:00:00+05:30,12.2,12.6,11.85,11.85,46123
2022-03-22 00:00:00+05:30,11.8,12.1,11.5,11.85,6183
2022-03-23 00:00:00+05:30,12,12.4,11.55,12.4,35449
2022-03-24 00:00:00+05:30,12.7,13,12.1,13,48824
2022-03-25 00:00:00+05:30,13.35,13.65,12.6,13.65,89195
2022-03-28 00:00:00+05:30,13.7,14.3,13.25,13.9,56142
2022-03-29 00:00:00+05:30,14.2,14.2,13.25,13.5,19118
2022-03-30 00:00:00+05:30,13.85,13.85,12.85,12.9,15745
2022-03-31 00:00:00+05:30,13.25,13.5,12.45,13.5,49777
2022-04-01 00:00:00+05:30,13.9,13.9,13,13.5,12027
2022-04-04 00:00:00+05:30,13.95,14.15,12.9,14.15,35035
2022-04-05 00:00:00+05:30,14.2,14.85,13.45,14.4,171757
2022-04-06 00:00:00+05:30,14.8,15.1,14,14.95,94312
2022-04-07 00:00:00+05:30,15.75,15.95,14.55,15.45,37526
2022-04-08 00:00:00+05:30,15.55,15.55,14.55,14.75,30825
