date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,281,298.4,278.1,294.7,12542
2022-01-04 00:00:00+05:30,295,295,286.75,289.35,5814
2022-01-05 00:00:00+05:30,289.8,343.85,285,316.5,198695
2022-01-06 00:00:00+05:30,311.9,329.45,310,322,33180
2022-01-07 00:00:00+05:30,325,328,318,320.35,8954
2022-01-10 00:00:00+05:30,324.8,324.8,312,313.3,14016
2022-01-11 00:00:00+05:30,318.95,359,315.25,332,100949
2022-01-12 00:00:00+05:30,333.85,350,323.05,326.4,17740
2022-01-13 00:00:00+05:30,327.95,344,325,329.25,21212
2022-01-14 00:00:00+05:30,329.95,343.05,326,334.85,18656
2022-01-17 00:00:00+05:30,335.95,341,315.65,319.85,42364
2022-01-18 00:00:00+05:30,319.85,321.95,308,311.65,23193
2022-01-19 00:00:00+05:30,302.4,311,302.4,308.65,8627
2022-01-20 00:00:00+05:30,306,319.5,305,308.5,9529
2022-01-21 00:00:00+05:30,309.85,324.55,303.25,308.75,13689
2022-01-24 00:00:00+05:30,311.95,315,291.5,296.45,15341
2022-01-25 00:00:00+05:30,288.4,320.5,288.4,315.6,16857
2022-01-27 00:00:00+05:30,320.35,320.35,306.95,310.9,8728
2022-01-28 00:00:00+05:30,319.8,348,311.05,313.9,13328
2022-01-31 00:00:00+05:30,316,318,310.5,312,2312
2022-02-01 00:00:00+05:30,310.1,314,306.05,308.05,3428
2022-02-02 00:00:00+05:30,314.95,316.2,306.45,311.4,6678
2022-02-03 00:00:00+05:30,310.15,312.75,306,309.7,2812
2022-02-04 00:00:00+05:30,315,342.4,308.65,329.75,51260
2022-02-07 00:00:00+05:30,334.45,334.45,310.05,316.3,21237
2022-02-08 00:00:00+05:30,316,316.9,306,311.5,5493
2022-02-09 00:00:00+05:30,313.9,321,305.6,307.3,7740
2022-02-10 00:00:00+05:30,310,316,306,307.3,5323
2022-02-11 00:00:00+05:30,306,309.8,302.45,307.7,3139
2022-02-14 00:00:00+05:30,302.4,302.4,293,295.9,10770
2022-02-15 00:00:00+05:30,302.4,302.5,289.4,298.15,2279
2022-02-16 00:00:00+05:30,303,307,281.35,286.15,35593
2022-02-17 00:00:00+05:30,289,292.65,285,285.05,6672
2022-02-18 00:00:00+05:30,286.85,306.4,285.95,295.1,20092
2022-02-21 00:00:00+05:30,297,306,290.1,293.15,21869
2022-02-22 00:00:00+05:30,290,294.15,283.15,285.85,5124
2022-02-23 00:00:00+05:30,287.9,292.05,284.95,285.15,3631
2022-02-24 00:00:00+05:30,280.1,280.1,252.95,255.65,17852
2022-02-25 00:00:00+05:30,256.45,275,256.45,267.9,23138
2022-02-28 00:00:00+05:30,265.9,278.8,258.35,274.2,7014
2022-03-02 00:00:00+05:30,273.65,274.95,270,271.4,3387
2022-03-03 00:00:00+05:30,275.75,279.95,270,271.4,10773
2022-03-04 00:00:00+05:30,271.8,274.8,266.35,269.8,3368
2022-03-07 00:00:00+05:30,257,265.4,256.4,259.85,6002
2022-03-08 00:00:00+05:30,260.4,268.4,260.35,264.3,5884
2022-03-09 00:00:00+05:30,267.7,273,263.55,271.2,3283
2022-03-10 00:00:00+05:30,273.25,283,266.2,269.45,6706
2022-03-11 00:00:00+05:30,273.55,274.15,266.65,269.35,3252
2022-03-14 00:00:00+05:30,270.05,288.4,270.05,282.05,14871
2022-03-15 00:00:00+05:30,284.7,290,276.45,282.4,5555
2022-03-16 00:00:00+05:30,281,287.7,275,277.05,6751
2022-03-17 00:00:00+05:30,280,289.5,280,281.4,8723
2022-03-21 00:00:00+05:30,282.3,284.85,275.2,277.2,4965
2022-03-22 00:00:00+05:30,277.2,284,274,280.35,8213
2022-03-23 00:00:00+05:30,280.8,298,279.05,283.2,37661
2022-03-24 00:00:00+05:30,288.5,324.25,288.5,310.5,170355
2022-03-25 00:00:00+05:30,312.85,328,310.75,313.2,52959
2022-03-28 00:00:00+05:30,313.2,317.5,299.05,300.9,18175
2022-03-29 00:00:00+05:30,307,314.45,297.6,301.6,17557
2022-03-30 00:00:00+05:30,308.75,309,297.75,299.8,19876
2022-03-31 00:00:00+05:30,310,312,293.15,296.7,11686
2022-04-01 00:00:00+05:30,297.1,306,297.1,305.1,8364
2022-04-04 00:00:00+05:30,310,319,300.95,315.8,21190
2022-04-05 00:00:00+05:30,315.5,321.9,315.5,317.55,9735
2022-04-06 00:00:00+05:30,327.4,330,319.1,320.85,28436
2022-04-07 00:00:00+05:30,323.85,330,318.05,322.95,20152
2022-04-08 00:00:00+05:30,324.95,327.5,318,321.15,8900
