date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,16.3,16.75,16,16.45,396665
2022-01-04 00:00:00+05:30,16.75,16.75,16.3,16.45,388605
2022-01-05 00:00:00+05:30,16.45,16.75,16.45,16.6,291291
2022-01-06 00:00:00+05:30,16.6,16.7,16.35,16.6,278346
2022-01-07 00:00:00+05:30,16.6,16.8,16.55,16.6,281184
2022-01-10 00:00:00+05:30,16.9,17.3,16.6,17,982640
2022-01-11 00:00:00+05:30,17.2,17.2,16.7,16.75,381679
2022-01-12 00:00:00+05:30,16.9,17.1,16.55,16.65,538112
2022-01-13 00:00:00+05:30,16.75,17.1,16.65,16.9,456047
2022-01-14 00:00:00+05:30,16.9,17.05,16.8,16.85,269573
2022-01-17 00:00:00+05:30,17.05,17.05,16.8,16.85,309783
2022-01-18 00:00:00+05:30,17,17,16.55,16.65,282970
2022-01-19 00:00:00+05:30,16.55,16.9,15.7,16.75,473749
2022-01-20 00:00:00+05:30,16.9,17.15,16.65,17,769423
2022-01-21 00:00:00+05:30,17,17.15,16.7,16.85,660913
2022-01-24 00:00:00+05:30,16.85,16.95,15.85,16.15,459672
2022-01-25 00:00:00+05:30,15.8,16.65,15.8,16.35,300107
2022-01-27 00:00:00+05:30,16.3,17.5,16.2,17.2,1100318
2022-01-28 00:00:00+05:30,17.2,17.7,17.1,17.25,1249548
2022-01-31 00:00:00+05:30,17.45,17.65,17.1,17.35,357829
2022-02-01 00:00:00+05:30,17.6,17.65,16.9,17.05,539242
2022-02-02 00:00:00+05:30,17.1,17.85,17.05,17.7,929558
2022-02-03 00:00:00+05:30,17.65,17.9,17.35,17.5,878340
2022-02-04 00:00:00+05:30,17.65,17.7,17.4,17.4,394951
2022-02-07 00:00:00+05:30,17.5,18.1,17.1,17.15,4264901
2022-02-08 00:00:00+05:30,17.45,17.65,16.65,16.9,1167874
2022-02-09 00:00:00+05:30,17,17.2,16.75,16.8,242047
2022-02-10 00:00:00+05:30,16.85,17,16.65,16.7,215966
2022-02-11 00:00:00+05:30,16.7,16.8,16.45,16.5,287767
2022-02-14 00:00:00+05:30,16.2,16.3,15.2,15.6,639563
2022-02-15 00:00:00+05:30,16.1,16.1,15.7,15.95,377509
2022-02-16 00:00:00+05:30,16.3,18,16.05,16.5,3224535
2022-02-17 00:00:00+05:30,16.75,17.4,16.4,16.55,1333892
2022-02-18 00:00:00+05:30,16.75,16.9,16.3,16.4,317637
2022-02-21 00:00:00+05:30,16.65,16.65,16.15,16.2,345830
2022-02-22 00:00:00+05:30,15.8,16.1,15.5,15.9,248094
2022-02-23 00:00:00+05:30,16,16.5,15.85,15.95,297862
2022-02-24 00:00:00+05:30,15.6,15.9,14.6,14.75,718392
2022-02-25 00:00:00+05:30,15.05,16.9,15.05,15.3,652546
2022-02-28 00:00:00+05:30,15.3,15.55,15.25,15.35,400050
2022-03-02 00:00:00+05:30,15.25,15.5,15.15,15.4,180275
2022-03-03 00:00:00+05:30,15.5,15.7,15.35,15.4,285653
2022-03-04 00:00:00+05:30,15.4,15.6,15.25,15.4,316714
2022-03-07 00:00:00+05:30,15.15,15.7,14.9,15.15,539770
2022-03-08 00:00:00+05:30,15.1,15.5,15.1,15.35,202832
2022-03-09 00:00:00+05:30,15.45,15.55,15.3,15.5,248800
2022-03-10 00:00:00+05:30,15.75,15.85,15.65,15.7,205439
2022-03-11 00:00:00+05:30,15.6,15.85,15.55,15.8,186946
2022-03-14 00:00:00+05:30,15.8,15.95,15.7,15.75,277781
2022-03-15 00:00:00+05:30,15.7,16,15.6,15.65,190588
2022-03-16 00:00:00+05:30,15.75,15.9,15.65,15.7,114342
2022-03-17 00:00:00+05:30,15.7,17.55,15.7,16.15,579004
2022-03-21 00:00:00+05:30,16.5,16.5,16,16.2,322339
2022-03-22 00:00:00+05:30,16.3,16.35,16.1,16.2,178468
2022-03-23 00:00:00+05:30,16.2,16.3,15.9,16,214909
2022-03-24 00:00:00+05:30,16,16,15.8,15.85,194148
2022-03-25 00:00:00+05:30,15.85,15.95,15.5,15.7,363150
2022-03-28 00:00:00+05:30,15.7,15.8,15.25,15.35,312423
2022-03-29 00:00:00+05:30,15.35,15.75,14.5,15.2,563543
2022-03-30 00:00:00+05:30,15.5,16.35,15.15,15.8,650351
2022-03-31 00:00:00+05:30,15.85,15.9,15.4,15.45,362168
2022-04-01 00:00:00+05:30,15.55,16,15.45,15.85,376887
2022-04-04 00:00:00+05:30,15.95,16.5,15.85,16.35,1147692
2022-04-05 00:00:00+05:30,16.8,16.95,16.5,16.65,587273
2022-04-06 00:00:00+05:30,16.65,17.05,16.4,16.85,655304
2022-04-07 00:00:00+05:30,17.15,17.3,16.65,16.9,1228865
2022-04-08 00:00:00+05:30,17.05,17.35,17.05,17.15,550303
