date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,140.4,142.8,138,139.25,162643
2022-01-04 00:00:00+05:30,140,140.8,137.1,139.65,108828
2022-01-05 00:00:00+05:30,137.5,140.35,137.1,138.75,111805
2022-01-06 00:00:00+05:30,137.95,139.15,136.7,137.65,101290
2022-01-07 00:00:00+05:30,138.65,147.5,138.5,143.2,434028
2022-01-10 00:00:00+05:30,144.35,147.2,143.2,143.95,172591
2022-01-11 00:00:00+05:30,145.1,147.15,141.5,144.9,266381
2022-01-12 00:00:00+05:30,145.9,149.8,144.15,145.45,242613
2022-01-13 00:00:00+05:30,145.4,145.4,139.65,141.55,159498
2022-01-14 00:00:00+05:30,141.55,146.4,140,145.05,190462
2022-01-17 00:00:00+05:30,145.95,148,143.25,146.55,209877
2022-01-18 00:00:00+05:30,147.7,152.9,141.3,143.05,374882
2022-01-19 00:00:00+05:30,144.2,146.8,141.15,145.4,124061
2022-01-20 00:00:00+05:30,146.55,149,144.4,145.6,150489
2022-01-21 00:00:00+05:30,146.75,151.7,144.1,146.75,406744
2022-01-24 00:00:00+05:30,145.5,145.85,133.2,134.4,207254
2022-01-25 00:00:00+05:30,132.95,139.95,130.85,138.95,112204
2022-01-27 00:00:00+05:30,137.9,141.3,133.5,139.3,156200
2022-01-28 00:00:00+05:30,138,143.1,136.85,138,122255
2022-01-31 00:00:00+05:30,139.1,143.35,139.1,141.05,100468
2022-02-01 00:00:00+05:30,142.2,145,140.35,142.95,186500
2022-02-02 00:00:00+05:30,143,146.5,142.05,143.25,122801
2022-02-03 00:00:00+05:30,142.85,143.8,140.15,140.85,84782
2022-02-04 00:00:00+05:30,140.9,142.7,137.1,138.65,82442
2022-02-07 00:00:00+05:30,138.65,141.3,135,135.85,111376
2022-02-08 00:00:00+05:30,135.85,137.5,133.2,134.7,106910
2022-02-09 00:00:00+05:30,135.75,136.8,133,133.95,78962
2022-02-10 00:00:00+05:30,135,136.15,133,134.05,75453
2022-02-11 00:00:00+05:30,134,138,130.95,132.95,72186
2022-02-14 00:00:00+05:30,127.55,128,118.5,120.45,349653
2022-02-15 00:00:00+05:30,122.6,123.6,117.5,121.95,156168
2022-02-16 00:00:00+05:30,123.7,127,122.5,123.15,159668
2022-02-17 00:00:00+05:30,124.6,126,120.2,123.65,321442
2022-02-18 00:00:00+05:30,125,125,120.05,121.1,133962
2022-02-21 00:00:00+05:30,120.6,121,103.85,105.1,828028
2022-02-22 00:00:00+05:30,102.95,109.75,101.55,107.85,301173
2022-02-23 00:00:00+05:30,110,112.9,109.1,110.85,264769
2022-02-24 00:00:00+05:30,103.65,107.8,99.6,100.5,240511
2022-02-25 00:00:00+05:30,104.95,111.8,103.05,110.75,272060
2022-02-28 00:00:00+05:30,112.9,113.1,103.45,111.95,153100
2022-03-02 00:00:00+05:30,110.6,114,108.95,113.1,141428
2022-03-03 00:00:00+05:30,113.5,115.45,111.6,112.5,123180
2022-03-04 00:00:00+05:30,110.05,113.15,107.8,108.95,85523
2022-03-07 00:00:00+05:30,107,108.85,103.4,106.8,132836
2022-03-08 00:00:00+05:30,106.8,117,103.8,110.7,132737
2022-03-09 00:00:00+05:30,114.5,114.8,110.7,113.55,105337
2022-03-10 00:00:00+05:30,115.95,117.65,111.65,113.75,101188
2022-03-11 00:00:00+05:30,113.7,115.75,111.25,112.85,79093
2022-03-14 00:00:00+05:30,110.35,112.8,110,110.8,54359
2022-03-15 00:00:00+05:30,111.35,113,106.4,107.7,133849
2022-03-16 00:00:00+05:30,108.95,113.9,108.95,112.95,157813
2022-03-17 00:00:00+05:30,113.6,114.95,112.8,113.4,81110
2022-03-21 00:00:00+05:30,113.4,116.7,112.65,114.2,137101
2022-03-22 00:00:00+05:30,114.05,115.4,111.65,114.45,58077
2022-03-23 00:00:00+05:30,114.95,116.65,106.65,108.5,179914
2022-03-24 00:00:00+05:30,106.9,110,106.9,107.85,143241
2022-03-25 00:00:00+05:30,108.4,109.6,103.95,105.9,141448
2022-03-28 00:00:00+05:30,104.25,106.45,100.95,102.65,205240
2022-03-29 00:00:00+05:30,103.15,107.65,103.05,105.7,182336
2022-03-30 00:00:00+05:30,106.25,111.5,106.25,108.05,240419
2022-03-31 00:00:00+05:30,108.6,110,106.2,106.7,75359
2022-04-01 00:00:00+05:30,107.45,109.9,106.5,109.25,159569
2022-04-04 00:00:00+05:30,114.9,118.9,114,114.55,738544
2022-04-05 00:00:00+05:30,115.45,115.45,113.3,113.65,222046
2022-04-06 00:00:00+05:30,112.85,116.05,111.45,115.05,138431
2022-04-07 00:00:00+05:30,115.5,117.35,111,113.05,240642
2022-04-08 00:00:00+05:30,113.95,116.9,113.55,115.75,215047
