date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,739.9,867,739.9,852.55,2423953
2022-01-04 00:00:00+05:30,843,854,796.85,808.6,766918
2022-01-05 00:00:00+05:30,812.2,818.1,798,808.25,303288
2022-01-06 00:00:00+05:30,803.95,849,787.7,832.5,460922
2022-01-07 00:00:00+05:30,841,865,812,822.05,623464
2022-01-10 00:00:00+05:30,824.85,836,813.15,819.75,250214
2022-01-11 00:00:00+05:30,817.5,839.2,813,832.75,371212
2022-01-12 00:00:00+05:30,836,865.95,830.4,856.95,394050
2022-01-13 00:00:00+05:30,864.4,865,834.3,840,229937
2022-01-14 00:00:00+05:30,842,855,840,850.35,153180
2022-01-17 00:00:00+05:30,849.25,994.7,845.05,950.95,3006769
2022-01-18 00:00:00+05:30,939,948.65,908,916.35,457590
2022-01-19 00:00:00+05:30,919.6,959,904.45,925.75,512628
2022-01-20 00:00:00+05:30,929.75,940.2,880.5,885.75,253683
2022-01-21 00:00:00+05:30,885,898.9,835.6,844.35,272981
2022-01-24 00:00:00+05:30,844.4,853.6,806,821.7,160271
2022-01-25 00:00:00+05:30,822.45,869.95,804.6,844.4,189581
2022-01-27 00:00:00+05:30,831.7,839,793.5,800.6,170639
2022-01-28 00:00:00+05:30,811.9,855.5,782.5,799.55,280329
2022-01-31 00:00:00+05:30,807.7,852.95,805,842.6,256302
2022-02-01 00:00:00+05:30,842.95,852.95,822.5,826.65,142057
2022-02-02 00:00:00+05:30,834.45,842,827.3,832.85,72170
2022-02-03 00:00:00+05:30,835.85,838.2,815,816.15,68831
2022-02-04 00:00:00+05:30,821,828.35,807.5,810.05,67888
2022-02-07 00:00:00+05:30,810.75,821.15,795,800.15,66423
2022-02-08 00:00:00+05:30,803,838.95,792.55,833.2,264757
2022-02-09 00:00:00+05:30,837,882.95,828,864.05,163923
2022-02-10 00:00:00+05:30,864.1,876,849.05,868.25,84971
2022-02-11 00:00:00+05:30,875.45,909.45,863,884.3,331246
2022-02-14 00:00:00+05:30,879.9,884,815,819.3,110516
2022-02-15 00:00:00+05:30,835,838.05,787.5,820.6,124663
2022-02-16 00:00:00+05:30,834.4,839.25,811.5,818.6,114180
2022-02-17 00:00:00+05:30,822.7,832,811.7,824.5,161871
2022-02-18 00:00:00+05:30,828.5,828.5,811,811.5,46147
2022-02-21 00:00:00+05:30,816.35,817.4,785.5,788.9,75533
2022-02-22 00:00:00+05:30,780,828,770.15,816.25,312857
2022-02-23 00:00:00+05:30,819,828,780,783.45,112731
2022-02-24 00:00:00+05:30,775,775,720,721.75,180748
2022-02-25 00:00:00+05:30,725,737.05,695.5,702,363389
2022-02-28 00:00:00+05:30,688,713.6,677.5,701.8,225741
2022-03-02 00:00:00+05:30,704.9,707.7,680,683.95,93825
2022-03-03 00:00:00+05:30,693,721.9,687.05,707.85,253018
2022-03-04 00:00:00+05:30,707.5,744.95,696,723.75,272431
2022-03-07 00:00:00+05:30,710.95,714.9,688,699.9,73628
2022-03-08 00:00:00+05:30,703,713,693,695.65,87368
2022-03-09 00:00:00+05:30,699,728.35,698.05,710.2,113631
2022-03-10 00:00:00+05:30,718.7,736.45,715,725.85,125880
2022-03-11 00:00:00+05:30,723,731.95,707.05,709.8,95403
2022-03-14 00:00:00+05:30,714.95,719.95,706,710.1,66013
2022-03-15 00:00:00+05:30,711.45,718.6,690,693.7,76439
2022-03-16 00:00:00+05:30,700.65,727.2,693,713.9,97013
2022-03-17 00:00:00+05:30,728.4,785.8,714.35,728.65,872802
2022-03-21 00:00:00+05:30,728.65,737,711.5,715.05,198723
2022-03-22 00:00:00+05:30,718.95,720.75,711.5,713.5,53034
2022-03-23 00:00:00+05:30,716.7,718.6,701.1,704.5,116264
2022-03-24 00:00:00+05:30,705.8,735,701.5,707.6,241328
2022-03-25 00:00:00+05:30,730,730,680,684.8,306140
2022-03-28 00:00:00+05:30,695,695,659.5,661.5,249575
2022-03-29 00:00:00+05:30,664,683.7,664,671.85,128505
2022-03-30 00:00:00+05:30,675,687.65,670.5,673,148083
2022-03-31 00:00:00+05:30,678.2,696.1,673,691.1,112436
2022-04-01 00:00:00+05:30,691.5,699.4,684.55,688.55,141298
2022-04-04 00:00:00+05:30,693.55,697,681,681.75,155265
2022-04-05 00:00:00+05:30,685,686.7,660.55,662.6,183781
2022-04-06 00:00:00+05:30,660.2,674.65,647,649.2,226606
2022-04-07 00:00:00+05:30,650.95,661.55,642.05,649.9,184178
2022-04-08 00:00:00+05:30,654.8,659,646.2,648.2,99565
