date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,970,1090.9,957.75,1018.65,71923
2022-01-04 00:00:00+05:30,1034.7,1047,980.55,1007.3,41151
2022-01-05 00:00:00+05:30,1018.5,1025,972.35,980.1,38453
2022-01-06 00:00:00+05:30,955.55,992.55,955.55,961.95,29454
2022-01-07 00:00:00+05:30,976.4,979,928.7,951.5,35903
2022-01-10 00:00:00+05:30,966.4,966.4,905.1,916.8,39685
2022-01-11 00:00:00+05:30,916.8,988.65,915,956.55,49183
2022-01-12 00:00:00+05:30,960,970,936.9,959.65,38676
2022-01-13 00:00:00+05:30,975,980,950.05,969.55,35893
2022-01-14 00:00:00+05:30,972.2,988.9,969.95,971.1,27906
2022-01-17 00:00:00+05:30,972,1039,971.15,1030.15,76138
2022-01-18 00:00:00+05:30,1038.45,1070,981,994.15,68360
2022-01-19 00:00:00+05:30,1025,1025,990,998.6,31734
2022-01-20 00:00:00+05:30,1018.6,1046.4,998.6,1023.05,40961
2022-01-21 00:00:00+05:30,1039.8,1039.8,981.95,988.65,29397
2022-01-24 00:00:00+05:30,1028.8,1028.8,970.05,978.75,50663
2022-01-25 00:00:00+05:30,1006.7,1006.7,966,975.9,31169
2022-01-27 00:00:00+05:30,977,994.75,944.8,956.6,31313
2022-01-28 00:00:00+05:30,975,982.35,931.55,948.55,25132
2022-01-31 00:00:00+05:30,960.85,978,947,972.1,38114
2022-02-01 00:00:00+05:30,981.05,995,970,981.1,47189
2022-02-02 00:00:00+05:30,996.3,1004.5,982,995.05,37249
2022-02-03 00:00:00+05:30,1005.2,1007.75,975.3,994.7,49528
2022-02-04 00:00:00+05:30,1028,1028,982.85,1001.35,35641
2022-02-07 00:00:00+05:30,1001.35,1034.9,983,1026.25,101038
2022-02-08 00:00:00+05:30,1075,1088.7,947.7,980.65,110573
2022-02-09 00:00:00+05:30,985,1018,932.5,987.7,72947
2022-02-10 00:00:00+05:30,992,999.55,930.15,935.2,44876
2022-02-11 00:00:00+05:30,933,943.2,891.2,910.45,33959
2022-02-14 00:00:00+05:30,853.1,905.8,853.1,865.2,33622
2022-02-15 00:00:00+05:30,878,903.55,850,858,32770
2022-02-16 00:00:00+05:30,880,890,862.8,877.35,28215
2022-02-17 00:00:00+05:30,902,902,835.15,842.15,32014
2022-02-18 00:00:00+05:30,838,862.5,823.65,848.7,43255
2022-02-21 00:00:00+05:30,848.7,873.95,825,862.75,29360
2022-02-22 00:00:00+05:30,860.5,860.5,824.9,845.75,28969
2022-02-23 00:00:00+05:30,870,870,832,840.8,29689
2022-02-24 00:00:00+05:30,855,855,775.05,788,42479
2022-02-25 00:00:00+05:30,820,849.9,780,833.55,35656
2022-02-28 00:00:00+05:30,833,868.35,800.55,841.85,45850
2022-03-02 00:00:00+05:30,832,838.5,810,826.4,31252
2022-03-03 00:00:00+05:30,838.65,848.1,820,822.75,26944
2022-03-04 00:00:00+05:30,820,836.2,801.1,813.3,29643
2022-03-07 00:00:00+05:30,816.35,820.85,776,779.15,27931
2022-03-08 00:00:00+05:30,795.05,798.6,768.8,776.6,28947
2022-03-09 00:00:00+05:30,793,798.95,775,787.2,33914
2022-03-10 00:00:00+05:30,803.05,829.95,792.5,818.35,28561
2022-03-11 00:00:00+05:30,820.5,844.9,809.35,832.5,31778
2022-03-14 00:00:00+05:30,832.5,848,815.5,817.2,28398
2022-03-15 00:00:00+05:30,830.05,830.05,781,785.1,30640
2022-03-16 00:00:00+05:30,797.95,828,786,809.75,31914
2022-03-17 00:00:00+05:30,841,841,786,794.05,29672
2022-03-21 00:00:00+05:30,801,823.8,783.55,790.85,34767
2022-03-22 00:00:00+05:30,794.55,806.25,782.4,796.1,33871
2022-03-23 00:00:00+05:30,804.8,804.8,786,790.8,35104
2022-03-24 00:00:00+05:30,798.7,835.8,786,804.35,44549
2022-03-25 00:00:00+05:30,808.4,826.4,804.05,815.65,40288
2022-03-28 00:00:00+05:30,809,826.95,802,818.6,28628
2022-03-29 00:00:00+05:30,820.5,863.45,810.05,850.4,64649
2022-03-30 00:00:00+05:30,855.15,874.9,840,870.35,48883
2022-03-31 00:00:00+05:30,866,870,840,865.85,44068
2022-04-01 00:00:00+05:30,860,860,806.95,822.6,42401
2022-04-04 00:00:00+05:30,834.8,834.8,789.8,796.95,32247
2022-04-05 00:00:00+05:30,791.1,804.85,782,787.3,42352
2022-04-06 00:00:00+05:30,794,794,776,784.75,40046
2022-04-07 00:00:00+05:30,789.95,793,776.1,778.9,28893
2022-04-08 00:00:00+05:30,787,798.95,770,783.2,35031
