date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,724.6,734.7,721.4,726.6,31765
2022-01-04 00:00:00+05:30,731.95,731.95,714.6,722.2,27213
2022-01-05 00:00:00+05:30,728.2,734.95,710,717.8,33315
2022-01-06 00:00:00+05:30,716,727,701.65,720.05,27316
2022-01-07 00:00:00+05:30,713,737.7,713,723.4,24744
2022-01-10 00:00:00+05:30,730,795,730,757.15,159026
2022-01-11 00:00:00+05:30,774,792,759,765.1,68687
2022-01-12 00:00:00+05:30,777,777,745.25,752.95,25241
2022-01-13 00:00:00+05:30,760,760,735.05,738.85,35881
2022-01-14 00:00:00+05:30,760,762.9,729.6,735.25,80507
2022-01-17 00:00:00+05:30,741,743,716.15,719.5,47194
2022-01-18 00:00:00+05:30,729,729.05,700,702.7,65660
2022-01-19 00:00:00+05:30,704,713.8,691.95,709.05,24748
2022-01-20 00:00:00+05:30,709.6,727.6,703.1,719.55,41261
2022-01-21 00:00:00+05:30,717.95,717.95,694.3,701.8,23920
2022-01-24 00:00:00+05:30,711,711,672.25,681.2,48497
2022-01-25 00:00:00+05:30,670.4,694.9,661.65,690.8,29765
2022-01-27 00:00:00+05:30,690.8,694.7,675,683.15,19776
2022-01-28 00:00:00+05:30,685,696.85,678.95,686.35,16644
2022-01-31 00:00:00+05:30,700,705,682,684.6,13257
2022-02-01 00:00:00+05:30,698,701.55,685,693.9,16790
2022-02-02 00:00:00+05:30,690,715,689.7,702.05,24281
2022-02-03 00:00:00+05:30,705,712.35,687.4,691.55,23945
2022-02-04 00:00:00+05:30,696,701.35,668.75,677.5,26452
2022-02-07 00:00:00+05:30,685.6,687,669,675.5,20109
2022-02-08 00:00:00+05:30,684,684,652.2,672.75,28964
2022-02-09 00:00:00+05:30,665.15,743.75,663,734.9,222238
2022-02-10 00:00:00+05:30,747.4,747.4,704,710.15,92760
2022-02-11 00:00:00+05:30,705,715,670,691.3,29847
2022-02-14 00:00:00+05:30,660,681.3,655.05,667.05,31684
2022-02-15 00:00:00+05:30,670,681.95,657.25,677.35,22435
2022-02-16 00:00:00+05:30,679,690,668.5,673.1,17981
2022-02-17 00:00:00+05:30,679.95,684.95,657.25,662.4,16863
2022-02-18 00:00:00+05:30,662,666.25,642.95,657.85,37292
2022-02-21 00:00:00+05:30,664.95,665,635,642.3,20405
2022-02-22 00:00:00+05:30,606.3,629,603.25,609.95,50653
2022-02-23 00:00:00+05:30,625,625.55,610,614.6,22255
2022-02-24 00:00:00+05:30,604,604,562.25,564.85,62817
2022-02-25 00:00:00+05:30,576,597.8,576,593.15,27572
2022-02-28 00:00:00+05:30,573,600,562.25,591.3,41313
2022-03-02 00:00:00+05:30,590,607,584.7,593.95,30926
2022-03-03 00:00:00+05:30,599.9,620,595,601.95,64894
2022-03-04 00:00:00+05:30,605.95,606.7,585,592.8,16190
2022-03-07 00:00:00+05:30,586.95,594,560.2,565.6,34790
2022-03-08 00:00:00+05:30,574,596.9,571.55,584.7,96577
2022-03-09 00:00:00+05:30,587,639.95,587,628.6,107463
2022-03-10 00:00:00+05:30,647.5,663,615.95,626.8,90101
2022-03-11 00:00:00+05:30,628.7,631.8,612.35,618.65,28788
2022-03-14 00:00:00+05:30,621,632.95,605.5,609.85,26582
2022-03-15 00:00:00+05:30,609,628,597.35,605,76533
2022-03-16 00:00:00+05:30,610,629.95,610,625.65,58425
2022-03-17 00:00:00+05:30,635.9,659,633,636,38748
2022-03-21 00:00:00+05:30,645.55,645.55,621,624.3,28149
2022-03-22 00:00:00+05:30,633.65,635.1,614.5,617.7,26958
2022-03-23 00:00:00+05:30,617.3,634.8,617.3,630,27528
2022-03-24 00:00:00+05:30,629.95,634.95,622,627.3,22588
2022-03-25 00:00:00+05:30,632,632,621.05,623.4,15603
2022-03-28 00:00:00+05:30,625.1,625.6,595,598.75,63506
2022-03-29 00:00:00+05:30,599,608,588.55,594.45,55683
2022-03-30 00:00:00+05:30,601,609.8,581,584.15,58847
2022-03-31 00:00:00+05:30,587.1,609,576,585.3,50132
2022-04-01 00:00:00+05:30,589.05,620,588.95,617.2,40360
2022-04-04 00:00:00+05:30,619.8,663,619.55,639.2,69494
2022-04-05 00:00:00+05:30,645,660,640.8,655.9,44035
2022-04-06 00:00:00+05:30,673.95,690,641.55,646,158861
2022-04-07 00:00:00+05:30,646,668.85,635.45,650.6,49766
2022-04-08 00:00:00+05:30,654.95,658.05,636.75,643.55,29157
