date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,442,451,441.1,447.2,300913
2022-01-04 00:00:00+05:30,445.25,447.95,435.75,439.85,178931
2022-01-05 00:00:00+05:30,440.8,443.3,437.15,438.25,98752
2022-01-06 00:00:00+05:30,434,437.3,430.75,432.45,110980
2022-01-07 00:00:00+05:30,434.75,472.95,433.55,466.1,1123478
2022-01-10 00:00:00+05:30,466.1,478,464,470,1560563
2022-01-11 00:00:00+05:30,505,518.65,490.5,497.6,2555912
2022-01-12 00:00:00+05:30,516,516,498.1,500.5,1856151
2022-01-13 00:00:00+05:30,503,523.8,496.5,516.5,2494473
2022-01-14 00:00:00+05:30,520,525,510.6,518.65,1259165
2022-01-17 00:00:00+05:30,521,534,513.75,522.95,1487313
2022-01-18 00:00:00+05:30,527,542.6,512.85,517.2,2240164
2022-01-19 00:00:00+05:30,518,533.25,514,529.9,1564835
2022-01-20 00:00:00+05:30,533.3,555,530.85,548.2,1951964
2022-01-21 00:00:00+05:30,541.85,561.1,525,533.2,2411181
2022-01-24 00:00:00+05:30,534,534.5,485.5,497.65,1482157
2022-01-25 00:00:00+05:30,487.75,514.7,475,504.55,1258249
2022-01-27 00:00:00+05:30,492,535,486.15,524.3,1650056
2022-01-28 00:00:00+05:30,525.25,536,509,512.2,534719
2022-01-31 00:00:00+05:30,518.6,520.95,503.6,506.95,456752
2022-02-01 00:00:00+05:30,508,522.3,502.2,516.85,505423
2022-02-02 00:00:00+05:30,529,537.9,518,519.55,1098906
2022-02-03 00:00:00+05:30,522.45,548.5,517.65,531,1673924
2022-02-04 00:00:00+05:30,532,538.7,521.05,528.7,923865
2022-02-07 00:00:00+05:30,527.8,541.7,522,531.55,966765
2022-02-08 00:00:00+05:30,534.9,539.25,509.55,516.6,652417
2022-02-09 00:00:00+05:30,534.4,539,516.35,522.95,790879
2022-02-10 00:00:00+05:30,522.95,525.95,494.1,498.7,829847
2022-02-11 00:00:00+05:30,498,500.5,491,491.85,409488
2022-02-14 00:00:00+05:30,481,487.4,465,466.8,634857
2022-02-15 00:00:00+05:30,475,484,451.35,475.2,598177
2022-02-16 00:00:00+05:30,479.95,493,471.9,479.05,396238
2022-02-17 00:00:00+05:30,481.75,487,470,474.5,238261
2022-02-18 00:00:00+05:30,471.95,480,469.15,471.05,127101
2022-02-21 00:00:00+05:30,470.8,470.8,456,461.15,210086
2022-02-22 00:00:00+05:30,445,459,430,449.7,370690
2022-02-23 00:00:00+05:30,458.8,470,452.55,467.65,620099
2022-02-24 00:00:00+05:30,444,457.85,435,444.8,693241
2022-02-25 00:00:00+05:30,459.85,466.9,450,461.15,533489
2022-02-28 00:00:00+05:30,458.8,462.2,447,457.25,440335
2022-03-02 00:00:00+05:30,455.25,459.9,447.1,448.55,520670
2022-03-03 00:00:00+05:30,454.5,457.2,435.25,439.05,421207
2022-03-04 00:00:00+05:30,436.5,438.1,421.95,423.8,598161
2022-03-07 00:00:00+05:30,416.3,418.95,405.1,408.2,409177
2022-03-08 00:00:00+05:30,410.25,420.3,400.1,411.35,636418
2022-03-09 00:00:00+05:30,415,446,412.5,442.85,637721
2022-03-10 00:00:00+05:30,452.7,455.9,426,432.1,398586
2022-03-11 00:00:00+05:30,436.65,473.6,435.45,465.5,939780
2022-03-14 00:00:00+05:30,468.05,470.05,452,452.85,338673
2022-03-15 00:00:00+05:30,456.9,459.65,445.25,451.15,404513
2022-03-16 00:00:00+05:30,457,466.1,456.4,461.65,514135
2022-03-17 00:00:00+05:30,467,472.3,458,462.05,373029
2022-03-21 00:00:00+05:30,465.95,467,456.25,463.25,342940
2022-03-22 00:00:00+05:30,467.1,467.1,448.65,460.2,389211
2022-03-23 00:00:00+05:30,462.55,467.25,451,453.9,195301
2022-03-24 00:00:00+05:30,453,456.95,447.1,451.65,200056
2022-03-25 00:00:00+05:30,454.9,459.8,445.05,446.75,163753
2022-03-28 00:00:00+05:30,451.1,451.3,436.05,438.95,318976
2022-03-29 00:00:00+05:30,439.85,454.8,439.85,447.6,410788
2022-03-30 00:00:00+05:30,454.8,458.85,438,440.15,399977
2022-03-31 00:00:00+05:30,442.4,449.35,435,438.15,294624
2022-04-01 00:00:00+05:30,439,458.8,435,449.75,1236696
2022-04-04 00:00:00+05:30,453.3,456,441.55,443.8,494044
2022-04-05 00:00:00+05:30,446.7,457.4,445.45,447.25,453261
2022-04-06 00:00:00+05:30,446.9,462,445.75,448.35,556542
2022-04-07 00:00:00+05:30,450.5,463.95,440.35,442.9,600090
2022-04-08 00:00:00+05:30,445.9,458.8,443.4,452.35,552044
