date,open,high,low,close,volume
2022-01-03 00:00:00+05:30,106,113,106,109.25,1383627
2022-01-04 00:00:00+05:30,109.8,110.65,107.15,107.65,434034
2022-01-05 00:00:00+05:30,107.9,112.8,107.25,109.3,939724
2022-01-06 00:00:00+05:30,107.6,109.7,107.45,108.05,375828
2022-01-07 00:00:00+05:30,108.85,113.6,108.7,110.4,1040914
2022-01-10 00:00:00+05:30,111.9,119.4,111,118.15,3097769
2022-01-11 00:00:00+05:30,117.6,121.9,115.5,118.55,2342901
2022-01-12 00:00:00+05:30,119,119.8,116,116.95,698596
2022-01-13 00:00:00+05:30,117,117.55,113.15,114.4,561646
2022-01-14 00:00:00+05:30,114,117.5,113.55,115.5,418069
2022-01-17 00:00:00+05:30,116.05,117.45,115.6,116.05,344556
2022-01-18 00:00:00+05:30,116.3,116.85,110.25,112,426999
2022-01-19 00:00:00+05:30,112.4,113,110.6,111.8,328763
2022-01-20 00:00:00+05:30,111.8,114.15,111.2,112.5,326853
2022-01-21 00:00:00+05:30,112.45,112.9,109.2,109.55,228905
2022-01-24 00:00:00+05:30,109.65,110,100.85,103.25,562350
2022-01-25 00:00:00+05:30,104.2,107.4,101.75,106.55,385928
2022-01-27 00:00:00+05:30,106.3,108,102.2,103.85,445005
2022-01-28 00:00:00+05:30,103.5,106.8,103.5,103.9,353199
2022-01-31 00:00:00+05:30,105.4,106,103.25,103.8,232294
2022-02-01 00:00:00+05:30,104.5,108.4,104.05,105.65,444432
2022-02-02 00:00:00+05:30,106.6,111.6,106.55,108.75,729661
2022-02-03 00:00:00+05:30,109,109.9,106.8,108.15,231558
2022-02-04 00:00:00+05:30,108.7,109.2,107,107.55,223030
2022-02-07 00:00:00+05:30,108,108.4,105.25,106.4,161010
2022-02-08 00:00:00+05:30,107.05,107.7,104.65,106.05,213544
2022-02-09 00:00:00+05:30,106.55,109,105.8,107.95,244657
2022-02-10 00:00:00+05:30,108.9,108.9,106.55,107.2,129390
2022-02-11 00:00:00+05:30,112.9,128.6,112.6,128.35,12974995
2022-02-14 00:00:00+05:30,128.5,136.7,123.2,125.65,8679163
2022-02-15 00:00:00+05:30,128,132.35,123.6,126.45,3375262
2022-02-16 00:00:00+05:30,126.45,132.1,124,125.15,2889503
2022-02-17 00:00:00+05:30,127.7,133,125.25,125.85,3633077
2022-02-18 00:00:00+05:30,125.85,130,123.05,123.7,1463641
2022-02-21 00:00:00+05:30,122,126.25,116,117.95,1744601
2022-02-22 00:00:00+05:30,113,115.9,110.4,113.6,1185477
2022-02-23 00:00:00+05:30,113.7,118.6,113.1,114,973582
2022-02-24 00:00:00+05:30,110,111.8,105.95,107.05,1059342
2022-02-25 00:00:00+05:30,110,113.9,110,112.65,796433
2022-02-28 00:00:00+05:30,113,114.5,108.9,112.45,757098
2022-03-02 00:00:00+05:30,112.45,114.6,111,112.6,404292
2022-03-03 00:00:00+05:30,114,117.1,112.5,113.05,757423
2022-03-04 00:00:00+05:30,111.1,112.9,107.5,108.25,672994
2022-03-07 00:00:00+05:30,106.15,108.45,103.7,104.1,690567
2022-03-08 00:00:00+05:30,104.65,109.95,104.6,106.25,1058722
2022-03-09 00:00:00+05:30,106.45,108.5,105.4,106.7,1048065
2022-03-10 00:00:00+05:30,109,111.95,107.15,107.6,771301
2022-03-11 00:00:00+05:30,108.8,109.95,107.65,109.05,404828
2022-03-14 00:00:00+05:30,109.6,110.3,107.45,108.4,321493
2022-03-15 00:00:00+05:30,109,110.6,106,106.5,496517
2022-03-16 00:00:00+05:30,107.8,108.8,107.2,107.75,262135
2022-03-17 00:00:00+05:30,109,112.4,108.75,110.4,672947
2022-03-21 00:00:00+05:30,110.65,111.3,106.8,107.65,497709
2022-03-22 00:00:00+05:30,108.2,117.85,107,116.4,3110823
2022-03-23 00:00:00+05:30,117,118.7,113.7,115.15,1197367
2022-03-24 00:00:00+05:30,114.6,117.5,113.75,115.3,737032
2022-03-25 00:00:00+05:30,115.5,116.4,112.6,113.05,335811
2022-03-28 00:00:00+05:30,112.55,121.95,112.55,118.85,2435494
2022-03-29 00:00:00+05:30,119.3,123.25,116.35,121.55,1318796
2022-03-30 00:00:00+05:30,123.8,124.15,118.15,118.9,797686
2022-03-31 00:00:00+05:30,119.7,120.6,117.2,118.55,550008
2022-04-01 00:00:00+05:30,118.55,125.8,117.25,123.9,1210687
2022-04-04 00:00:00+05:30,125.4,127.8,123.95,124.4,1157176
2022-04-05 00:00:00+05:30,124.9,128.95,124,126.65,1183112
2022-04-06 00:00:00+05:30,125,130.45,124.55,125.25,1006703
2022-04-07 00:00:00+05:30,125.25,128.55,123.3,124.95,668995
2022-04-08 00:00:00+05:30,125.65,129,124.65,127.85,634741
